实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2002-05-15,年度分红,,,3.0,2002-05-20,2002-05-21,2002-05-24,,10派3元(含税),2001年报
2003-07-08,年度分红,,,3.5,2003-07-11,2003-07-14,2003-07-18,,10股派3.50元（含税）,2002年报
2004-05-18,年度分红,,,3.8,2004-05-21,2004-05-24,2004-05-28,,10派3.8元(含税),2003年报
2005-05-17,年度分红,,,6.0,2005-05-20,2005-05-23,2005-05-27,,10派6元(含税),2004年报
2006-03-30,年度分红,2.0,6.0,4.0,2006-04-04,2006-04-05,2006-04-10,2006-04-05,10送2转增6股派4元（含税）,2005年报
2007-06-08,年度分红,,,2.0,2007-06-13,2007-06-14,2007-06-22,,10派2元（含税）,2006年报
2008-06-11,年度分红,,,0.7,2008-06-16,2008-06-17,2008-06-23,,10派0.7元（含税）,2007年报
2009-06-09,年度分红,,,1.0,2009-06-12,2009-06-15,2009-06-19,,10派1元（含税）,2008年报
2010-06-04,年度分红,,,1.5,2010-06-10,2010-06-11,2010-06-21,,10派1.5元（含税）,2009年报
2011-06-14,年度分红,,,2.5,2011-06-20,2011-06-21,2011-06-24,,10派2.5元(含税),2010年报
2012-06-08,年度分红,,,3.0,2012-06-14,2012-06-15,2012-06-20,,10派3元(含税),2011年报
2013-06-14,年度分红,,,4.0,2013-06-19,2013-06-20,2013-06-26,,10派4元(含税),2012年报
2017-06-16,年度分红,,,1.0,2017-06-22,2017-06-23,2017-06-23,,10派1元(含税),2016年报
2018-06-14,年度分红,,,2.2,2018-06-21,2018-06-22,2018-06-22,,10派2.2元(含税),2017年报
2019-06-13,年度分红,,,2.8,2019-06-20,2019-06-21,2019-06-21,,10派2.8元(含税),2018年报
2020-06-11,年度分红,,,2.39,2020-06-18,2020-06-19,2020-06-19,,10派2.39元(含税),2019年报
2021-06-17,年度分红,,,2.78,2021-06-24,2021-06-25,2021-06-25,,10派2.78元(含税),2020年报
2022-07-19,年度分红,,,1.55,2022-07-26,2022-07-27,2022-07-27,,10派1.55元(含税),2021年报
2023-06-29,年度分红,,,7.3,2023-07-06,2023-07-07,2023-07-07,,10派7.3元(含税),2022年报
2024-07-10,年度分红,,,4.1,2024-07-17,2024-07-18,2024-07-18,,10派4.1元(含税),2023年报
2024-09-14,中期分红,,,2.0,2024-09-23,2024-09-24,2024-09-24,,10派2元(含税),2024半年报
2025-07-12,年度分红,,,2.0,2025-07-17,2025-07-18,2025-07-18,,10派2元(含税),2024年报
2025-09-19,中期分红,,,0.9,2025-09-24,2025-09-25,2025-09-25,,10派0.9元(含税),2025半年报
2026-06-10,年度分红,3.0,1.0,2.1,2026-06-16,2026-06-17,2026-06-17,,10送3转增1股派2.1元(含税),2025年报
