实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2010-04-28,年度分红,,7.0,1.0,2010-05-04,2010-05-05,2010-05-05,2010-05-05,10转增7股派1元（含税）,2009年报
2011-06-24,年度分红,,,1.0,2011-06-29,2011-06-30,2011-06-30,,10派1元(含税),2010年报
2012-05-25,年度分红,,,1.5,2012-05-30,2012-05-31,2012-05-31,,10派1.5元(含税),2011年报
2013-05-25,年度分红,,,1.987409,2013-05-30,2013-05-31,2013-05-31,,10派1.987409元(含税),2012年报
2014-05-13,年度分红,,9.990104,1.998021,2014-05-16,2014-05-19,2014-05-19,2014-05-19,10转增9.990104股派1.998021元(含税),2013年报
2015-04-15,年度分红,,11.99329,1.499162,2015-04-21,2015-04-22,2015-04-22,2015-04-22,10转增11.993290股派1.499162元(含税),2014年报
2016-04-22,年度分红,,,2.0,2016-04-28,2016-04-29,2016-04-29,,10派2元(含税),2015年报
2017-04-19,年度分红,,19.95476,2.494345,2017-04-24,2017-04-25,2017-04-25,2017-04-25,10转增19.95476000股派2.49434500元(含税),2016年报
2018-05-24,年度分红,,,0.297343,2018-05-29,2018-05-30,2018-05-30,,10派0.297343元(含税),2017年报
2019-04-17,年度分红,,,0.301004,2019-04-23,2019-04-24,2019-04-24,,10派0.301004元(含税),2018年报
2020-05-23,年度分红,,,0.3,2020-05-29,2020-06-01,2020-06-01,,10派0.3元(含税),2019年报
2021-06-02,年度分红,,,0.100068,2021-06-09,2021-06-10,2021-06-10,,10派0.100068元(含税),2020年报
2022-05-20,年度分红,,,0.3,2022-05-26,2022-05-27,2022-05-27,,10派0.3元(含税),2021年报
2023-06-01,年度分红,,,0.5,2023-06-08,2023-06-09,2023-06-09,,10派0.5元(含税),2022年报
2024-05-16,年度分红,,,2.5,2024-05-22,2024-05-23,2024-05-23,,10派2.5元(含税),2023年报
2025-05-15,年度分红,,,2.5,2025-05-22,2025-05-23,2025-05-23,,10派2.5元(含税),2024年报
2026-06-01,年度分红,,,2.5,2026-06-08,2026-06-09,2026-06-09,,10派2.5元(含税),2025年报
