实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2008-04-17,年度分红,,,1.0,2008-04-23,2008-04-24,2008-04-24,,10派1元（含税）,2007年报
2009-04-29,年度分红,,,0.5,2009-05-07,2009-05-08,2009-05-08,,10派0.5元（含税）,2008年报
2010-04-14,年度分红,,,0.5,2010-04-20,2010-04-21,2010-04-21,,10派0.5元（含税）,2009年报
2011-05-04,年度分红,,5.0,,2011-05-10,2011-05-11,,2011-05-11,10转增5股,2010年报
2012-09-06,中期分红,,,0.5,2012-09-12,2012-09-13,2012-09-13,,10派0.5元(含税),2012半年报
2013-06-20,年度分红,,,0.5,2013-06-25,2013-06-26,2013-06-26,,10派0.5元(含税),2012年报
2014-05-06,年度分红,,,1.0,2014-05-12,2014-05-13,2014-05-13,,10派1元(含税),2013年报
2015-05-18,年度分红,,,1.0,2015-05-25,2015-05-26,2015-05-26,,10派1元(含税),2014年报
2016-06-15,年度分红,,,1.0,2016-06-20,2016-06-21,2016-06-21,,10派1元(含税),2015年报
2017-05-18,年度分红,,10.0,1.0,2017-05-25,2017-05-26,2017-05-26,2017-05-26,10转增10股派1元(含税),2016年报
2018-06-13,年度分红,,,0.8,2018-06-20,2018-06-21,2018-06-21,,10派0.8元(含税),2017年报
2019-05-21,年度分红,,,1.0,2019-05-27,2019-05-28,2019-05-28,,10派1元(含税),2018年报
2020-04-11,年度分红,,,1.5,2020-04-17,2020-04-20,2020-04-20,,10派1.5元(含税),2019年报
2021-06-01,年度分红,,,1.0,2021-06-08,2021-06-09,2021-06-09,,10派1元(含税),2020年报
2022-04-26,年度分红,,,1.0,2022-04-29,2022-05-05,2022-05-05,,10派1元(含税),2021年报
2023-06-02,年度分红,,,1.0,2023-06-08,2023-06-09,2023-06-09,,10派1元(含税),2022年报
2024-06-06,年度分红,4.0,,1.3,2024-06-13,2024-06-14,2024-06-14,2024-06-14,10送4股派1.3元(含税),2023年报
2025-05-29,年度分红,,,0.5,2025-06-05,2025-06-06,2025-06-06,,10派0.5元(含税),2024年报
