实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1994-10-14,年度分红,3.0,0.0,0.0,1994-10-18,1994-10-19,,,10送3股,1993年报
1996-07-04,年度分红,1.0,0.0,0.5,1996-07-15,1996-07-16,1996-07-22,,10送1股派0.50元(含税),1995年报
1997-08-15,年度分红,1.0,0.0,1.0,1997-08-25,1997-08-26,1997-09-01,,10送1股派1元(含税),1996年报
1999-06-05,年度分红,3.0,2.0,0.75,1999-06-10,1999-06-11,,,10送3转增2股派0.75元(含税),1998年报
2008-07-04,年度分红,,,1.0,2008-07-10,2008-07-11,2008-07-11,,10派1元（含税）,2007年报
2011-03-24,年度分红,,,1.0,2011-03-29,2011-03-30,2011-03-30,,10派1元(含税),2010年报
2013-05-04,年度分红,,,0.5,2013-05-10,2013-05-13,2013-05-13,,10派0.5元(含税),2012年报
2014-05-17,年度分红,,,0.5,2014-05-22,2014-05-23,2014-05-23,,10派0.5元(含税),2013年报
2015-07-08,年度分红,,,0.5,2015-07-15,2015-07-16,2015-07-16,,10派0.5元(含税),2014年报
2015-08-22,中期分红,7.0,8.0,0.8,2015-08-28,2015-08-31,2015-08-31,2015-08-31,10送7转增8股派0.8元(含税),2015半年报
2016-07-08,年度分红,,,0.1,2016-07-14,2016-07-15,2016-07-15,,10派0.1元(含税),2015年报
2017-04-21,年度分红,,,0.5,2017-04-27,2017-04-28,2017-04-28,,10派0.5元(含税),2016年报
2018-06-14,年度分红,,,0.2,2018-06-21,2018-06-22,2018-06-22,,10派0.2元(含税),2017年报
2019-05-23,年度分红,,,0.13,2019-05-29,2019-05-30,2019-05-30,,10派0.13元(含税),2018年报
2020-06-12,年度分红,,,0.15,2020-06-18,2020-06-19,2020-06-19,,10派0.15元(含税),2019年报
2021-05-19,年度分红,,,0.25,2021-05-24,2021-05-25,2021-05-25,,10派0.25元(含税),2020年报
2022-04-28,年度分红,,,0.25,2022-05-09,2022-05-10,2022-05-10,,10派0.25元(含税),2021年报
2023-05-31,年度分红,,,0.15,2023-06-06,2023-06-07,2023-06-07,,10派0.15元(含税),2022年报
2024-05-31,年度分红,,,0.15,2024-06-06,2024-06-07,2024-06-07,,10派0.15元(含税),2023年报
2025-06-27,年度分红,,,0.15,2025-07-03,2025-07-04,2025-07-04,,10派0.15元(含税),2024年报
2026-06-30,年度分红,,,0.15,2026-07-03,2026-07-06,2026-07-06,,10派0.15元(含税),2025年报
