实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-06-08,年度分红,,,1.8,2017-06-13,2017-06-14,2017-06-14,,10派1.8元(含税),2016年报
2018-05-09,年度分红,,9.0,2.0,2018-05-16,2018-05-17,2018-05-17,2018-05-17,10转增9股派2元(含税),2017年报
2019-04-13,年度分红,,9.0,1.8,2019-04-18,2019-04-19,2019-04-19,2019-04-19,10转增9股派1.8元(含税),2018年报
2020-05-15,年度分红,,5.0,3.0,2020-05-21,2020-05-22,2020-05-22,2020-05-22,10转增5股派3元(含税),2019年报
2021-05-18,年度分红,,,2.0,2021-05-24,2021-05-25,2021-05-25,,10派2元(含税),2020年报
2022-05-11,年度分红,,,1.0,2022-05-16,2022-05-17,2022-05-17,,10派1元(含税),2021年报
2023-05-06,年度分红,,,0.7,2023-05-11,2023-05-12,2023-05-12,,10派0.7元(含税),2022年报
2024-05-08,年度分红,,,1.5,2024-05-13,2024-05-14,2024-05-14,,10派1.5元(含税),2023年报
2025-05-22,年度分红,,,1.5,2025-05-29,2025-05-30,2025-05-30,,10派1.5元(含税),2024年报
2026-06-05,年度分红,,,0.7,2026-06-11,2026-06-12,2026-06-12,,10派0.7元(含税),2025年报
