实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2019-04-09,年度分红,,,1.1,2019-04-12,2019-04-15,2019-04-15,,10派1.1元(含税),2018年报
2020-05-08,年度分红,,,1.1,2020-05-14,2020-05-15,2020-05-15,,10派1.1元(含税),2019年报
2021-05-06,年度分红,,6.0,2.0,2021-05-12,2021-05-13,2021-05-13,2021-05-13,10转增6股派2元(含税),2020年报
2022-05-31,年度分红,,,2.5,2022-06-06,2022-06-07,2022-06-07,,10派2.5元(含税),2021年报
2023-07-04,年度分红,,6.0,2.6,2023-07-11,2023-07-12,2023-07-12,2023-07-12,10转增6股派2.6元(含税),2022年报
2024-06-18,年度分红,,,2.6,2024-06-24,2024-06-25,2024-06-25,,10派2.6元(含税),2023年报
2024-09-23,中期分红,,,0.8,2024-09-27,2024-09-30,2024-09-30,,10派0.8元(含税),2024半年报
2025-05-30,年度分红,,,1.2,2025-06-06,2025-06-09,2025-06-09,,10派1.2元(含税),2024年报
2025-10-31,中期分红,,,1.8,2025-11-05,2025-11-06,2025-11-06,,10派1.8元(含税),2025半年报
2026-05-01,年度分红,,,2.2,2026-05-11,2026-05-12,2026-05-12,,10派2.2元(含税),2025年报
