实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2020-05-25,年度分红,,,1.76,2020-05-28,2020-05-29,2020-05-29,,10派1.76元(含税),2019年报
2021-05-18,年度分红,,,2.03,2021-05-24,2021-05-25,2021-05-25,,10派2.03元(含税),2020年报
2022-06-02,年度分红,,,0.76,2022-06-09,2022-06-10,2022-06-10,,10派0.76元(含税),2021年报
2023-06-06,年度分红,,,1.96,2023-06-12,2023-06-13,2023-06-13,,10派1.96元(含税),2022年报
2023-12-01,季度分红,,,2.5,2023-12-07,2023-12-08,2023-12-08,,10派2.5元(含税),2023三季报
2024-06-03,年度分红,,,1.89,2024-06-06,2024-06-07,2024-06-07,,10派1.89元(含税),2023年报
2024-08-30,中期分红,,,2.7,2024-09-04,2024-09-05,2024-09-05,,10派2.7元(含税),2024半年报
2025-05-23,年度分红,,,2.6,2025-05-29,2025-05-30,2025-05-30,,10派2.6元(含税),2024年报
2025-09-09,中期分红,,,1.1,2025-09-12,2025-09-15,2025-09-15,,10派1.1元(含税),2025半年报
2026-05-25,年度分红,,,2.65,2026-05-28,2026-05-29,2026-05-29,,10派2.65元(含税),2025年报
