实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2019-09-18,中期分红,,,1.8,2019-09-24,2019-09-25,2019-09-25,,10派1.8元(含税),2019半年报
2020-06-22,年度分红,,,0.8,2020-06-29,2020-06-30,2020-06-30,,10派0.8元(含税),2019年报
2021-06-08,年度分红,,,3.2,2021-06-11,2021-06-15,2021-06-15,,10派3.2元(含税),2020年报
2022-07-01,年度分红,,,6.5,2022-07-06,2022-07-07,2022-07-07,,10派6.5元(含税),2021年报
2023-05-08,年度分红,,4.0,4.6,2023-05-11,2023-05-12,2023-05-12,,10转增4股派4.6元(含税),2022年报
2024-04-16,年度分红,,,2.5,2024-04-19,2024-04-22,2024-04-22,,10派2.5元(含税),2023年报
2024-08-30,中期分红,,,1.6,2024-09-05,2024-09-06,2024-09-06,,10派1.6元(含税),2024半年报
2024-12-20,季度分红,,,1.0,2024-12-25,2024-12-26,2024-12-26,,10派1元(含税),2024三季报
2025-04-18,年度分红,,,2.1,2025-04-23,2025-04-24,2025-04-24,,10派2.1元(含税),2024年报
2025-09-17,中期分红,,,2.3,2025-09-23,2025-09-24,2025-09-24,,10派2.3元(含税),2025半年报
2026-05-07,年度分红,,,1.9,2026-05-14,2026-05-15,2026-05-15,,10派1.9元(含税),2025年报
