实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1998-06-24,年度分红,0.0,0.0,1.2,1998-06-30,1998-07-01,1998-07-07,,10派1.2元(含税),1997年报
1999-08-04,年度分红,0.0,0.0,2.0,1999-08-09,1999-08-10,1999-08-16,,10派2元(含税),1998年报
2000-05-17,年度分红,,,1.5,2000-05-22,2000-05-23,2000-05-24,,10派1.5元(含税),1999年报
2001-06-18,年度分红,2.0,,1.5,2001-06-25,2001-06-26,2001-06-27,,10送2股派1.5元（含税）,2000年报
2002-06-11,年度分红,,3.0,1.0,2002-06-17,2002-06-18,2002-06-18,,10转增3股派1元(含税),2001年报
2003-07-09,年度分红,,2.0,1.0,2003-07-16,2003-07-17,2003-07-17,,10转增2股派1元(含税),2002年报
2004-06-22,年度分红,0.0,2.0,0.0,2004-06-28,2004-06-29,,,10转增2股,2003年报
2005-07-07,年度分红,0.0,0.0,1.0,2005-07-12,2005-07-13,2005-07-13,,10派1元(含税),2004年报
2006-06-09,年度分红,,3.0,1.0,2006-06-15,2006-06-16,2006-06-16,,10转增3股派1元（含税）,2005年报
2007-06-02,年度分红,,5.0,1.0,2007-06-07,2007-06-08,2007-06-08,,10转增5股派1元（含税）,2006年报
2008-07-18,年度分红,,,1.5,2008-07-25,2008-07-28,2008-07-28,,10派1.5元（含税）,2007年报
2009-06-11,年度分红,,3.0,1.5,2009-06-18,2009-06-19,2009-06-19,2009-06-19,10转增3股派1.5元（含税）,2008年报
2010-05-05,年度分红,,,1.0,2010-05-12,2010-05-13,2010-05-13,,10派1元（含税）,2009年报
2011-04-07,年度分红,,,1.0,2011-04-14,2011-04-15,2011-04-15,,10派1元(含税),2010年报
2012-06-28,年度分红,,5.0,1.2,2012-07-05,2012-07-06,2012-07-06,2012-07-06,10转增5股派1.2元(含税),2011年报
2013-06-14,年度分红,,,1.0,2013-06-20,2013-06-21,2013-06-21,,10派1元(含税),2012年报
2014-06-20,年度分红,,,1.8,2014-06-26,2014-06-27,2014-06-27,,10派1.8元(含税),2013年报
2015-06-17,年度分红,,,1.8,2015-06-24,2015-06-25,2015-06-25,,10派1.8元(含税),2014年报
2016-06-15,年度分红,,,1.2,2016-06-22,2016-06-23,2016-06-23,,10派1.2元(含税),2015年报
2017-06-14,年度分红,,,1.5,2017-06-21,2017-06-22,2017-06-22,,10派1.5元(含税),2016年报
2018-06-14,年度分红,,,1.5,2018-06-21,2018-06-22,2018-06-22,,10派1.5元(含税),2017年报
2019-06-14,年度分红,,,1.5,2019-06-20,2019-06-21,2019-06-21,,10派1.5元(含税),2018年报
2020-06-09,年度分红,,,0.8,2020-06-15,2020-06-16,2020-06-16,,10派0.8元(含税),2019年报
2021-06-08,年度分红,,,0.6,2021-06-15,2021-06-16,2021-06-16,,10派0.6元(含税),2020年报
2022-06-10,年度分红,,,0.6,2022-06-15,2022-06-16,2022-06-16,,10派0.6元(含税),2021年报
2023-06-16,年度分红,,,0.7,2023-06-27,2023-06-28,2023-06-28,,10派0.7元(含税),2022年报
2024-07-03,年度分红,,,1.1,2024-07-10,2024-07-11,2024-07-11,,10派1.1元(含税),2023年报
2025-07-04,年度分红,,,1.1,2025-07-10,2025-07-11,2025-07-11,,10派1.1元(含税),2024年报
2026-07-03,年度分红,,,0.65,2026-07-09,2026-07-10,2026-07-10,,10派0.65元(含税),2025年报
