实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1995-06-28,年度分红,4.0,,,1995-07-03,1995-07-04,,,10送4股,1994年报
1996-07-13,年度分红,3.0,0.0,0.0,1996-07-22,1996-07-23,,,10送3股,1995年报
1997-05-13,年度分红,2.5,1.5,0.0,1997-05-19,1997-05-20,,,10送2.5转增1.5股,1996年报
2000-04-15,年度分红,,10.0,,2000-04-19,2000-04-20,,,10转增10股,1999年报
2001-04-28,年度分红,,,3.0,2001-05-14,2001-05-15,2001-05-16,,10派3元（含税）,2000年报
2006-06-22,股改分红,,3.0,,2006-06-23,,,,10转增3股,
2007-02-15,特别分红,,0.2618,,2007-02-26,,,2007-02-27,10转增0.2618股,
2008-12-13,重整转增,,1.34,,,,,2008-12-17,10转增1.3409股,
2025-07-03,年度分红,,,0.5,2025-07-10,2025-07-11,2025-07-11,,10派0.5元(含税),2024年报
2026-07-07,年度分红,,,0.2,2026-07-14,2026-07-15,2026-07-15,,10派0.2元(含税),2025年报
