实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
1998-06-08,年度分红,4.0,0.0,0.0,1998-06-12,1998-06-15,,,10送4股,1997年报
1999-03-12,年度分红,4.0,0.0,0.0,1999-03-17,1999-03-18,,,10送4股,1998年报
2000-04-01,年度分红,3.0,2.0,,2000-04-05,2000-04-06,,,10送3转增2股,1999年报
2001-11-09,中期分红,0.5,5.5,0.125,2001-11-14,2001-11-15,2001-11-15,,10送0.5转增5.5股派0.125元(含税),2001半年报
2022-05-19,年度分红,,,0.7,2022-05-24,2022-05-25,2022-05-25,,10派0.7元(含税),2021年报
2023-05-19,年度分红,,,0.596748,2023-05-24,2023-05-25,2023-05-25,,10派0.596748元(含税),2022年报
2024-05-23,年度分红,,,0.4,2024-05-29,2024-05-30,2024-05-30,,10派0.4元(含税),2023年报
2025-05-23,年度分红,,,0.5,2025-05-29,2025-05-30,2025-05-30,,10派0.5元(含税),2024年报
2026-05-07,年度分红,,,0.63,2026-05-14,2026-05-15,2026-05-15,,10派0.63元(含税),2025年报
2026-09-03,中期分红,,,0.2,2026-09-10,2026-09-11,2026-09-11,,10派0.2元(含税),2026半年报
