实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2012-05-30,年度分红,1.0,,0.36,2012-06-05,2012-06-06,2012-06-06,2012-06-06,10送1股派0.36元(含税),2011年报
2013-06-14,年度分红,,,0.31,2013-06-20,2013-06-21,2013-06-21,,10派0.31元(含税),2012年报
2014-05-15,年度分红,,10.0,0.32,2014-05-20,2014-05-21,2014-05-21,2014-05-21,10转增10股派0.32元(含税),2013年报
2015-06-17,年度分红,,,0.16,2015-06-23,2015-06-24,2015-06-24,,10派0.16元(含税),2014年报
2015-08-07,中期分红,,15.0,,2015-08-13,2015-08-14,,2015-08-14,10转增15股,2015半年报
2016-05-31,年度分红,,,0.09,2016-06-06,2016-06-07,2016-06-07,,10派0.09元(含税),2015年报
2017-06-02,年度分红,,,0.12,2017-06-08,2017-06-09,2017-06-09,,10派0.12元(含税),2016年报
2018-04-20,年度分红,,,0.13,2018-04-25,2018-04-26,2018-04-26,,10派0.13元(含税),2017年报
2019-05-29,年度分红,,,0.13,2019-06-04,2019-06-05,2019-06-05,,10派0.13元(含税),2018年报
2020-06-04,年度分红,,,0.6,2020-06-11,2020-06-12,2020-06-12,,10派0.6元(含税),2019年报
2021-07-02,年度分红,,,1.2,2021-07-08,2021-07-09,2021-07-09,,10派1.2元(含税),2020年报
2022-05-20,年度分红,,,0.1,2022-05-26,2022-05-27,2022-05-27,,10派0.1元(含税),2021年报
2023-06-07,年度分红,,,0.5,2023-06-14,2023-06-15,2023-06-15,,10派0.5元(含税),2022年报
2024-06-18,年度分红,,,0.3,2024-06-24,2024-06-25,2024-06-25,,10派0.3元(含税),2023年报
2025-06-17,年度分红,,,0.12,2025-06-23,2025-06-24,2025-06-24,,10派0.12元(含税),2024年报
