实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2018-06-06,年度分红,,,0.6,2018-06-11,2018-06-12,2018-06-12,,10派0.6元(含税),2017年报
2019-07-11,年度分红,,,0.2,2019-07-17,2019-07-18,2019-07-18,,10派0.2元(含税),2018年报
2020-05-26,年度分红,,,0.199364,2020-06-01,2020-06-02,2020-06-02,,10派0.199364元(含税),2019年报
2021-09-17,中期分红,,8.0,0.2,2021-09-28,2021-09-29,2021-09-29,2021-09-29,10转增8股派0.2元(含税),2021半年报
2022-03-07,年度分红,,,0.4,2022-03-11,2022-03-14,2022-03-14,,10派0.4元(含税),2021年报
2023-04-03,年度分红,,,0.4,2023-04-07,2023-04-10,2023-04-10,,10派0.4元(含税),2022年报
2024-02-21,年度分红,,,1.6,2024-02-27,2024-02-28,2024-02-28,,10派1.6元(含税),2023年报
2025-02-26,年度分红,,,1.6,2025-03-04,2025-03-05,2025-03-05,,10派1.6元(含税),2024年报
2025-08-09,中期分红,,4.5,,2025-08-14,2025-08-15,,2025-08-15,10转增4.5股,2025半年报
2026-04-14,年度分红,,,0.3,2026-04-20,2026-04-21,2026-04-21,,10派0.3元(含税),2025年报
