实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2000-10-10,中期分红,,1.5385,,2000-10-13,2000-10-16,,,10转增1.53846股,2000半年报
2002-06-04,年度分红,,,2.0,2002-06-10,2002-06-11,2002-06-11,,10派2元(含税),2001年报
2004-05-19,年度分红,0.0,2.0,0.0,2004-05-24,2004-05-25,,2004-05-25,10转增2股,2003年报
2005-04-21,年度分红,0.0,3.0,1.0,2005-04-26,2005-04-27,2005-04-27,,10转增3股派1元(含税),2004年报
2006-04-15,年度分红,3.0,7.0,1.0,2006-04-20,2006-04-21,2006-04-21,2006-04-21,10送3转增7股派1元（含税）,2005年报
2007-04-21,年度分红,,,1.0,2007-04-26,2007-04-27,2007-04-27,,10派1元（含税）,2006年报
2008-05-07,年度分红,,,1.0,2008-05-12,2008-05-13,2008-05-13,,10派1元（含税）,2007年报
2009-06-30,年度分红,,,1.0,2009-07-07,2009-07-08,2009-07-08,,10派1元（含税）,2008年报
2012-05-30,年度分红,,,1.0,2012-06-05,2012-06-06,2012-06-06,,10派1元(含税),2011年报
2015-07-01,年度分红,,,3.0,2015-07-08,2015-07-09,2015-07-09,,10派3元(含税),2014年报
2018-06-08,年度分红,,,3.0,2018-06-13,2018-06-14,2018-06-14,,10派3元(含税),2017年报
2019-05-18,年度分红,,,5.0,2019-05-23,2019-05-24,2019-05-24,,10派5元(含税),2018年报
2020-05-09,年度分红,,,5.0,2020-05-14,2020-05-15,2020-05-15,,10派5元(含税),2019年报
2021-04-23,年度分红,,,5.0,2021-04-29,2021-04-30,2021-04-30,,10派5元(含税),2020年报
2022-07-08,年度分红,,,20.0,2022-07-14,2022-07-15,2022-07-15,,10派20元(含税),2021年报
2023-07-13,年度分红,,,6.5,2023-07-19,2023-07-20,2023-07-20,,10派6.5元(含税),2022年报
2024-05-30,年度分红,,,1.3,2024-06-05,2024-06-06,2024-06-06,,10派1.3元(含税),2023年报
2025-06-12,年度分红,,,3.5,2025-06-18,2025-06-19,2025-06-19,,10派3.5元(含税),2024年报
