实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2013-05-23,年度分红,,,1.75,2013-05-28,2013-05-29,2013-06-04,,10派1.75元(含税),2012年报
2014-04-19,年度分红,,,2.08,2014-04-25,2014-04-28,2014-05-05,,10派2.08元(含税),2013年报
2015-04-29,年度分红,,,2.28,2015-05-06,2015-05-07,2015-05-07,,10派2.28元(含税),2014年报
2016-05-11,年度分红,,,2.0,2016-05-18,2016-05-19,2016-05-19,,10派2元(含税),2015年报
2017-05-12,年度分红,5.0,10.0,5.0,2017-05-17,2017-05-18,2017-05-18,,10送5转增10股派5元(含税),2016年报
2018-05-14,年度分红,,,3.3,2018-05-17,2018-05-18,2018-05-18,,10派3.3元(含税),2017年报
2018-09-29,中期分红,,,0.7,2018-10-11,2018-10-12,2018-10-12,,10派0.7元（含税）,2018半年报
2020-07-06,年度分红,,,1.0,2020-07-09,2020-07-10,2020-07-10,,10派1元(含税),2019年报
2021-06-08,年度分红,,,0.8,2021-06-16,2021-06-17,2021-06-17,,10派0.8元(含税),2020年报
2022-06-17,年度分红,,,0.6,2022-06-23,2022-06-24,2022-06-24,,10派0.6元(含税),2021年报
2023-06-02,年度分红,,,0.8,2023-06-08,2023-06-09,2023-06-09,,10派0.8元(含税),2022年报
2024-06-06,年度分红,,,1.0,2024-06-13,2024-06-14,2024-06-14,,10派1元(含税),2023年报
2025-05-29,年度分红,,,4.0,2025-06-04,2025-06-05,2025-06-05,,10派4元(含税),2024年报
2026-01-14,季度分红,,,2.0,2026-01-19,2026-01-20,2026-01-20,,10派2元(含税),2025三季报
2026-05-22,年度分红,,,5.0,2026-05-27,2026-05-28,2026-05-28,,10派5元(含税),2025年报
