实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2013-07-04,年度分红,,,0.5,2013-07-10,2013-07-11,2013-07-11,,10派0.5元(含税),2012年报
2014-06-10,年度分红,,,0.25,2014-06-16,2014-06-17,2014-06-17,,10派0.25元(含税),2013年报
2015-06-05,年度分红,,,0.15,2015-06-10,2015-06-11,2015-06-11,,10派0.15元(含税),2014年报
2016-04-01,年度分红,,,0.08,2016-04-08,2016-04-11,2016-04-11,,10派0.08元(含税),2015年报
2017-06-06,年度分红,,,0.27,2017-06-09,2017-06-12,2017-06-12,,10派0.27元(含税),2016年报
2018-06-04,年度分红,,7.0,0.1,2018-06-08,2018-06-11,2018-06-11,2018-06-11,10转增7股派0.1元(含税),2017年报
2019-07-03,年度分红,,,0.07,2019-07-08,2019-07-09,2019-07-09,,10派0.07元(含税),2018年报
2020-07-03,年度分红,,,0.07,2020-07-09,2020-07-10,2020-07-10,,10派0.07元(含税),2019年报
2022-07-05,年度分红,,,0.08,2022-07-11,2022-07-12,2022-07-12,,10派0.08元(含税),2021年报
2023-07-06,年度分红,,,0.07,2023-07-12,2023-07-13,2023-07-13,,10派0.07元(含税),2022年报
