实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2002-10-22,中期分红,,,2.0,2002-10-28,2002-10-29,2002-11-06,,10派2元(含税),2002半年报
2004-06-15,年度分红,,,2.0,2004-06-18,2004-06-21,2004-06-25,,10派2元(含税),2003年报
2005-06-15,年度分红,,,2.2,2005-06-20,2005-06-21,2005-06-24,,10派2.2元(含税),2004年报
2006-06-09,年度分红,,,2.5,2006-06-14,2006-06-15,2006-06-22,,10派2.5元（含税）,2005年报
2007-06-12,年度分红,,,3.0,2007-06-15,2007-06-18,2007-06-22,,10派3元（含税）,2006年报
2008-05-19,年度分红,,10.0,3.65,2008-05-22,2008-05-23,2008-05-28,,10转增10股派3.65元（含税）,2007年报
2009-06-16,年度分红,,,1.0,2009-06-19,2009-06-22,2009-06-25,,10派1元（含税）,2008年报
2010-06-11,年度分红,,,1.0,2010-06-22,2010-06-23,2010-06-28,,10派1元（含税）,2009年报
2011-06-24,年度分红,,,1.0,2011-07-01,2011-07-04,2011-07-08,,10派1元(含税),2010年报
2012-06-15,年度分红,,,1.0,2012-06-25,2012-06-26,2012-06-29,,10派1元(含税),2011年报
2013-07-13,年度分红,,,1.0,2013-07-18,2013-07-19,2013-07-24,,10派1元(含税),2012年报
2014-07-28,年度分红,,,1.0,2014-08-04,2014-08-05,2014-08-05,,10派1元(含税),2013年报
2015-07-20,年度分红,,,1.0,2015-07-23,2015-07-24,2015-07-24,,10派1元(含税),2014年报
2016-06-24,年度分红,,,1.0,2016-06-29,2016-06-30,2016-06-30,,10派1元(含税),2015年报
2017-06-21,年度分红,,,1.0,2017-06-28,2017-06-29,2017-06-29,,10派1元(含税),2016年报
2018-06-20,年度分红,,,1.0,2018-06-27,2018-06-28,2018-06-28,,10派1元(含税),2017年报
2019-06-14,年度分红,,,1.0,2019-06-20,2019-06-21,2019-06-21,,10派1元(含税),2018年报
2020-06-16,年度分红,,,1.1,2020-06-23,2020-06-24,2020-06-24,,10派1.1元(含税),2019年报
2021-06-18,年度分红,,,1.13,2021-06-24,2021-06-25,2021-06-25,,10派1.13元(含税),2020年报
2022-06-17,年度分红,,,1.22,2022-06-22,2022-06-23,2022-06-23,,10派1.22元(含税),2021年报
2024-06-21,年度分红,,,1.27,2024-06-26,2024-06-27,2024-06-27,,10派1.27元(含税),2023年报
2025-01-15,季度分红,,,0.6,2025-01-21,2025-01-22,2025-01-22,,10派0.6元(含税),2024三季报
2025-06-14,年度分红,,,0.4,2025-06-19,2025-06-20,2025-06-20,,10派0.4元(含税),2024年报
2025-09-20,中期分红,,,0.45,2025-09-25,2025-09-26,2025-09-26,,10派0.45元(含税),2025半年报
