实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2011-02-23,年度分红,,10.0,3.0,2011-03-01,2011-03-02,2011-03-02,2011-03-02,10转增10股派3元(含税),2010年报
2012-05-04,年度分红,,8.0,0.5,2012-05-10,2012-05-11,2012-05-11,2012-05-11,10转增8股派0.5元(含税),2011年报
2013-06-28,年度分红,,10.0,0.2,2013-07-03,2013-07-04,2013-07-04,2013-07-04,10转增10股派0.2元(含税),2012年报
2014-05-28,年度分红,,,0.45,2014-06-03,2014-06-04,2014-06-04,,10派0.45元(含税),2013年报
2015-07-10,年度分红,,,0.3,2015-07-16,2015-07-17,2015-07-17,,10派0.3元(含税),2014年报
2015-10-21,中期分红,,15.0,,2015-10-26,2015-10-27,,2015-10-27,10转增15股,2015半年报
2016-08-05,年度分红,,,0.1,2016-08-11,2016-08-12,2016-08-12,,10派0.1元(含税),2015年报
2017-06-28,年度分红,,,0.4,2017-07-03,2017-07-04,2017-07-04,,10派0.4元(含税),2016年报
2018-06-29,年度分红,,,0.101608,2018-07-04,2018-07-05,2018-07-05,,10派0.101608元(含税),2017年报
2020-05-30,年度分红,,,0.2,2020-06-04,2020-06-05,2020-06-05,,10派0.2元(含税),2019年报
2021-05-18,年度分红,,,1.0,2021-05-24,2021-05-25,2021-05-25,,10派1元(含税),2020年报
2024-05-24,年度分红,,,0.3,2024-05-31,2024-06-03,2024-06-03,,10派0.3元(含税),2023年报
2024-10-26,中期分红,,,0.2,2024-10-31,2024-11-01,2024-11-01,,10派0.2元(含税),2024半年报
2025-07-08,年度分红,,,0.201355,2025-07-14,2025-07-15,2025-07-15,,10派0.201355元(含税),2024年报
2025-10-21,中期分红,,,0.1,2025-10-27,2025-10-28,2025-10-28,,10派0.1元(含税),2025半年报
