代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格估值错误,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
000501,武商集团,8.35,0.48,0.04,58410.0,48659877.3,1.68,0.76,13.01,0.95,8.42,8.28,8.33,8.31,6421089304.0,6414643396.0,0.58,-21.23,-17.49,39.83,8.35,9.540999999999999,-12.4829682423226,True,2026-05-08,39.83,0.58,92.63105835806132,9.940652818991099,True,2026-05-08,6421089304.0,,3.592814371257485,True,2025-10-22,,一般零售,
000521,长虹美菱,5.72,0.53,0.03,98812.0,56473800.44,0.88,1.13,20.97,1.46,5.73,5.68,5.68,5.69,5891163650.0,5007978084.0,0.96,-13.73,-12.67,19.7,5.72,6.411833333333333,-10.789945673364354,True,2026-05-08,19.7,0.96,44.29447852760736,58.40751730959446,False,2026-05-08,5891163650.0,,5.769230769230769,True,2025-06-11,,白色家电,
000568,泸州老窖,99.05,0.73,0.72,110761.0,1100361984.97,2.39,0.75,9.83,1.02,100.35,98.0,98.28,98.33,145795851435.0,145727946123.0,2.83,-19.39,-13.76,14.66,99.05,115.92908333333334,-14.559835071584715,True,2026-05-08,14.66,2.83,17.903066271018794,0.1483679525222552,True,2026-05-08,145795851435.0,,6.007067137809187,True,2026-01-30,,白酒Ⅱ,
000596,古井贡酒,108.22,2.07,2.19,26497.0,286236887.04,2.77,0.65,8.9,0.96,108.95,106.01,106.01,106.03,57205092000.0,44218692000.0,2.19,-21.34,-17.77,20.24,108.22,130.08616666666666,-16.808986863835116,True,2026-05-08,20.24,2.19,24.530168150346192,1.0880316518298714,True,2026-05-08,57205092000.0,,5.544261689151727,True,2026-02-10,,白酒Ⅱ,
000625,长安汽车,9.36,-0.95,-0.09,888611.0,833967038.36,1.48,1.07,66.18,1.23,9.49,9.35,9.43,9.45,92784969688.0,77380176894.0,1.2,-17.75,-21.08,30.19,9.36,11.136166666666668,-15.949533801278138,True,2026-05-08,30.19,1.2,78.34645669291339,27.992087042532148,True,2026-05-08,92784969688.0,,3.6858974358974366,True,2025-11-28,,乘用车,
000858,五 粮 液,92.6,0.37,0.34,536278.0,4986385438.04,1.54,1.38,11.14,1.51,93.85,92.43,92.43,92.26,359436901263.0,359428140007.0,2.81,-16.4,-12.59,28.53,92.6,107.23208333333332,-13.645247652094172,True,2026-05-08,28.53,2.81,52.868447082096935,0.1483679525222552,True,2026-05-08,359436901263.0,,6.206263498920086,True,2025-12-18,,白酒Ⅱ,
000913,钱江摩托,13.44,-0.07,-0.01,51834.0,69433334.35,0.97,1.0,-45.45,0.92,13.48,13.35,13.47,13.45,7074963840.0,6990179952.0,1.33,-14.18,-12.84,8.31,13.44,15.356333333333334,-12.479107425817803,True,2026-05-08,8.31,1.33,0.09891196834817012,0.9396636993076163,True,2026-05-08,7074963840.0,,6.696428571428571,True,2025-09-12,,摩托车及其他,
000915,华特达因,28.81,0.1,0.03,34182.0,97921372.51,1.11,1.46,15.26,0.73,28.84,28.52,28.77,28.78,6751090083.0,6746795952.0,2.27,-9.54,-12.8,14.57,28.81,32.45733333333333,-11.237316682413834,True,2026-05-08,14.57,2.27,27.942631058358064,11.671612265084075,True,2026-05-08,6751090083.0,,8.677542519958347,True,2025-10-17,,化学制药,
001206,依依股份,18.95,-0.37,-0.07,23548.0,44712787.11,1.21,2.2,31.64,0.93,19.14,18.91,19.04,19.02,3503737662.0,2025081479.0,1.88,-24.11,-35.74,22.37,18.95,25.900333333333332,-26.834918469517767,True,2026-05-08,22.37,1.88,45.3941908713693,49.54356846473029,False,2026-05-08,3503737662.0,,4.379947229551451,True,2026-02-04,,个护用品,
001207,联科科技,18.19,-1.2,-0.22,78316.0,143674848.6,3.8,2.68,21.14,1.24,18.85,18.15,18.85,18.41,5514075563.0,5322795853.0,1.63,-4.61,2.42,20.06,18.19,24.87066666666667,-26.861630836862705,True,2026-05-08,20.06,1.63,46.61016949152542,6.864406779661017,True,2026-05-08,5514075563.0,,4.398020890599231,True,2026-04-08,,橡胶,
001299,美能能源,11.0,-0.99,-0.11,75777.0,83372112.35,1.89,2.68,31.21,0.62,11.1,10.89,11.0,11.11,3456367057.0,3111628036.0,2.15,12.59,0.18,33.34,11.0,13.158083333333336,-16.401198249491767,True,2026-05-08,33.34,2.15,63.14553990610329,40.962441314553985,False,2026-05-08,3456367057.0,,5.909090909090909,True,2026-04-29,,燃气Ⅱ,
002088,鲁阳节能,9.93,-1.29,-0.13,34829.0,34677821.68,1.99,0.69,436.93,0.67,10.11,9.91,10.1,10.06,5095307279.0,5021942374.0,2.01,-24.14,-5.16,-358.27,9.93,11.201666666666666,-11.352477309924113,True,2026-05-08,-358.27,2.01,,21.8595450049456,True,2026-05-08,5095307279.0,,8.056394763343404,True,2025-06-13,,装修建材,
002101,广东鸿图,10.0,-0.4,-0.04,61926.0,62139764.33,0.9,0.94,-235.37,1.03,10.09,10.0,10.05,10.04,6628230110.0,6622121990.0,0.83,-17.7,-18.83,21.37,10.0,11.911249999999999,-16.045755063490386,True,2026-05-08,21.37,0.83,58.56749311294765,10.336300692383778,True,2026-05-08,6628230110.0,,3.1300000000000003,True,2025-07-07,,汽车零部件,
002258,利尔化学,12.48,-1.27,-0.16,170582.0,212510389.53,3.24,2.13,21.7,0.79,12.71,12.3,12.64,12.64,9989456605.0,9973373218.0,1.25,-29.69,-4.37,22.66,12.48,14.5055,-13.963668953155695,True,2026-05-08,22.66,1.25,65.5291790306627,19.930761622156282,True,2026-05-08,9989456605.0,,3.2051282051282057,True,2025-09-23,,农化制品,
002270,华明装备,24.51,-0.65,-0.16,352769.0,854807767.87,5.63,3.94,33.69,1.34,24.77,23.38,24.61,24.67,21966485314.0,21966133301.0,7.04,-19.9,-1.29,31.32,24.51,28.285249999999998,-13.34706251491501,True,2026-05-08,31.32,7.04,90.85064292779427,94.46092977250248,False,2026-05-08,21966485314.0,,3.386372909016728,True,2026-04-30,,电网设备,
002303,美盈森,3.45,1.17,0.04,241613.0,82781265.0,2.05,2.5,21.52,1.25,3.47,3.4,3.42,3.41,5283066713.0,3335739647.0,1.18,-16.87,-14.39,21.84,3.45,3.9245000000000005,-12.09071219263601,True,2026-05-08,21.84,1.18,51.48367952522255,47.675568743818005,False,2026-05-08,5283066713.0,,5.710144927536232,True,2025-11-25,,包装印刷,
002304,洋河股份,48.63,-0.1,-0.05,64183.0,312796331.33,1.11,0.43,7.49,1.2,49.1,48.56,48.8,48.68,73258423949.0,73256695152.0,1.49,-18.71,-19.94,72.14,48.63,57.56816666666667,-15.526231221537367,True,2026-05-08,72.14,1.49,99.80217606330366,0.1483679525222552,True,2026-05-08,73258423949.0,,4.764548632531359,True,2025-06-27,,白酒Ⅱ,
002315,焦点科技,32.35,2.6,0.82,94513.0,301768045.66,3.43,3.59,34.06,1.13,32.44,31.36,31.59,31.53,13341354448.0,8505244187.0,3.57,-19.19,-6.66,27.25,32.35,44.280750000000005,-26.943423496666163,True,2026-05-08,27.25,3.57,38.22947576656775,66.81503461918892,False,2026-05-08,13341354448.0,,4.01854714064915,True,2026-04-23,,互联网电商,
002345,潮宏基,10.56,0.96,0.1,241685.0,258036278.96,3.63,2.79,8.9,1.04,10.85,10.47,10.64,10.46,9382694186.0,9157942094.0,2.33,-20.96,-15.52,16.41,10.56,11.982666666666667,-11.872705018359852,True,2026-05-08,16.41,2.33,34.04722679846238,83.13550939663699,False,2026-05-08,9382694186.0,,3.3143939393939394,True,2025-10-15,,饰品,
002367,康力电梯,6.13,-0.65,-0.04,112297.0,68938621.6,1.3,1.41,33.21,0.92,6.19,6.11,6.19,6.17,4890179645.0,4870749231.0,1.34,-22.89,-23.95,16.42,6.13,7.4235,-17.42439550077457,True,2026-05-08,16.42,1.34,39.26805143422354,7.319485657764589,True,2026-05-08,4890179645.0,,4.893964110929852,True,2025-05-23,,专用设备,
002393,力生制药,16.59,-0.78,-0.13,30421.0,50557926.74,1.44,1.01,24.7,0.83,16.79,16.55,16.73,16.72,5125716327.0,4980607396.0,0.93,-5.2,-4.38,12.41,16.59,21.663583333333335,-23.419871289375806,True,2026-05-08,12.41,0.93,6.528189910979229,35.410484668644905,True,2026-05-08,5125716327.0,,5.424954792043399,True,2026-04-28,,化学制药,
002540,亚太科技,6.03,0.33,0.02,114577.0,68870427.0,1.5,1.34,47.57,1.01,6.05,5.96,6.02,6.01,7544397554.0,5174953049.0,1.35,-23.67,-14.83,20.31,6.03,6.988083333333333,-13.710244821541428,True,2026-05-08,20.31,1.35,83.67952522255193,50.19782393669634,False,2026-05-08,7544397554.0,,4.975124378109452,True,2025-09-23,,工业金属,
002543,万和电气,8.3,-0.95,-0.08,36376.0,30264592.06,1.55,0.55,19.38,0.69,8.4,8.27,8.38,8.38,6171880000.0,5491430238.0,1.28,-17.82,-18.71,53.22,8.3,9.699833333333334,-14.431519441914809,True,2026-05-08,53.22,1.28,99.95054401582591,5.934718100890208,True,2026-05-08,6171880000.0,,3.132530120481927,True,2025-09-12,,厨卫电器,
002572,索菲亚,11.88,1.8,0.21,101860.0,120054790.24,2.91,1.56,-74.43,0.76,11.99,11.65,11.71,11.67,11441000308.0,7739387806.0,1.55,-21.32,-12.71,13.45,11.88,13.520166666666666,-12.131260709310776,True,2026-05-08,13.45,1.55,31.05835806132542,0.1483679525222552,True,2026-05-08,11441000308.0,,8.417508417508417,True,2025-05-29,,家居用品,
002601,龙佰集团,16.51,-2.65,-0.45,448189.0,743880253.63,4.95,2.25,52.63,1.24,17.17,16.33,17.15,16.96,39363935405.0,32815321997.0,1.72,-27.04,-15.68,52.81,16.51,19.138416666666664,-13.73372057075427,True,2026-05-08,52.81,1.72,99.80217606330366,6.577645895153314,True,2026-05-08,39363935405.0,,3.6341611144760746,True,2025-12-17,,化学原料,
002736,国信证券,10.81,0.0,0.0,339009.0,366358844.02,1.94,0.35,13.15,0.66,10.96,10.75,10.86,10.81,110713242479.0,103910361565.0,1.1,-14.81,-16.97,10.21,10.81,12.4955,-13.488855988155734,True,2026-05-08,10.21,1.1,7.71513353115727,11.22650840751731,True,2026-05-08,110713242479.0,,4.162812210915819,True,2026-02-11,,证券Ⅱ,
002758,浙农股份,9.0,-1.32,-0.12,105268.0,94997743.99,1.97,2.03,21.55,0.67,9.16,8.98,9.11,9.12,4669222491.0,4663847916.0,0.9,-15.97,-10.63,8.63,9.0,10.05775,-10.516765678208351,True,2026-05-08,8.63,0.9,1.9287833827893175,2.571711177052423,True,2026-05-08,4669222491.0,,3.3333333333333335,True,2025-05-27,,综合Ⅱ,
002852,道道全,9.0,-0.77,-0.07,63870.0,57442943.22,2.32,2.23,54.77,0.58,9.14,8.93,9.07,9.07,3095714745.0,2572208640.0,1.37,-20.42,-13.71,21.36,9.0,10.594583333333333,-15.050930113658701,True,2026-05-08,21.36,1.37,43.07324840764331,8.061325420375866,True,2026-05-08,3095714745.0,,3.2888888888888883,True,2026-04-21,,农产品加工,
002911,佛燃能源,12.01,-0.74,-0.09,56185.0,67379724.11,1.49,0.44,47.09,0.47,12.11,11.93,12.1,12.1,15591091718.0,15217126392.0,3.69,-13.53,3.53,15.11,12.01,13.463333333333333,-10.794751176033667,True,2026-05-08,15.11,3.69,8.209693372898121,81.25618199802176,True,2026-05-08,15591091718.0,,4.329725228975854,True,2026-04-24,,燃气Ⅱ,
002984,森麒麟,16.75,-1.0,-0.17,144795.0,242792436.2,2.48,2.03,20.69,0.9,17.08,16.66,16.97,16.92,17357805089.0,11958307802.0,1.28,-18.33,-20.88,17.83,16.75,19.876833333333334,-15.731043677312783,True,2026-05-08,17.83,1.28,41.65446559297219,0.14641288433382138,True,2026-05-08,17357805089.0,,3.522388059701493,True,2025-11-10,,汽车零部件,
003012,东鹏控股,5.61,-1.75,-0.1,143955.0,81088161.18,2.1,1.27,-32.46,0.99,5.71,5.59,5.71,5.71,6490664296.0,6364622014.0,0.86,-23.47,-14.35,19.53,5.61,6.753166666666667,-16.927861003479848,True,2026-05-08,19.53,0.86,43.765903307888046,2.3031203566121845,True,2026-05-08,6490664296.0,,4.45632798573975,True,2025-05-23,,家居用品,
300019,硅宝科技,18.24,0.83,0.15,50904.0,92606619.33,1.66,1.38,38.97,0.89,18.3,18.0,18.03,18.09,7170448608.0,6723444685.0,2.6,-16.71,-10.37,28.27,18.24,21.207083333333333,-13.991001434269212,True,2026-05-08,28.27,2.6,50.14836795252226,14.638971315529178,True,2026-05-08,7170448608.0,,3.289473684210526,True,2026-04-30,,化学制品,
