代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,市净率,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,买入,卖出
301109,军信股份,13.47,-0.148,-0.02,4891706.0,65970357.0,,,,,13.72,13.36,13.55,13.49,10629188341.516035,,,,,,13.47,15.19775,-11.3684591469132,True,2026-06-19,13.925932304038003,,37.37474949899799,44.88977955911824,False,2026-06-19,10629188341.516035,,,,沿用上一版：当前数据待补齐,1.3757957244655588,4.847809948032665,True,2026-05-11,,未知,所属行业批量超时,13.47,13.48
301175,中科环保,5.24,-1.132,-0.06,12942433.0,67837712.0,,,,,5.3,5.21,5.26,5.3,7712651200.000003,,,,,,5.24,6.117583333333333,-14.3452616092956,True,2026-06-19,19.77466458658347,,0.3201707577374599,10.992529348986126,True,2026-06-19,7712651200.000003,,,,沿用上一版：当前数据待补齐,2.027332293291732,3.0534351145038165,True,2026-05-14,,未知,所属行业批量超时,5.24,5.25
301207,华兰疫苗,16.48,0.549,0.09,3557500.0,58528243.0,,,,,16.71,16.12,16.33,16.39,9904933200.0,,,,,,16.48,19.56883333333333,-15.784453169580882,True,2026-06-19,52.82310523832,,78.34456207892204,11.357074109720886,True,2026-06-19,9904933200.0,,,,沿用上一版：当前数据待补齐,1.7265502595563953,8.49514563106796,True,2026-06-15,,未知,所属行业批量超时,16.47,16.48
301262,海看股份,19.62,0.564,0.11,2631800.0,51803783.0,,,,,19.98,19.32,19.45,19.51,8181540000.000003,,,,,,19.62,24.292666666666666,-19.234885699388016,True,2026-06-19,21.095911692559305,,5.8495821727019495,0.5571030640668524,True,2026-06-19,8181540000.000003,,,,沿用上一版：当前数据待补齐,2.149697465249386,3.1600407747196737,True,2026-01-13,,未知,所属行业批量超时,19.62,19.63
301283,聚胶股份,27.77,4.046,1.08,2269074.0,62201898.0,,,,,28.44,26.2,26.38,26.69,2233202916.826885,,,,,,27.77,31.67408333333333,-12.325797379034908,True,2026-06-19,11.424725050916496,,1.54015401540154,6.380638063806381,True,2026-06-19,2233202916.826885,,,,沿用上一版：当前数据待补齐,1.300835030549898,6.121714079942383,True,2026-05-21,,未知,所属行业批量超时,27.77,27.79
301299,卓创资讯,49.9,-1.031,-0.52,722700.0,36153743.0,,,,,50.67,49.4,50.38,50.42,3027064737.6830206,,,,,,49.9,59.78925,-16.54018071810569,True,2026-06-19,46.08043512783863,,14.009111617312072,32.46013667425968,True,2026-06-19,3027064737.6830206,,,,沿用上一版：当前数据待补齐,4.952755280292204,3.0060120240480965,True,2026-05-12,,未知,所属行业批量超时,49.9,49.95
301300,远翔新材,33.82,-0.383,-0.13,789400.0,26617017.0,,,,,34.17,33.1,33.8,33.95,2194512160.0000005,,,,,,33.82,42.840916666666665,-21.05677788562725,True,2026-06-19,25.648352472463085,,0.3250270855904659,58.93824485373781,True,2026-06-19,2194512160.0000005,,,,沿用上一版：当前数据待补齐,2.6076353409889843,3.252513305736251,True,2026-05-29,,未知,所属行业批量超时,33.82,33.86
301509,金凯生科,27.24,0.964,0.26,1613200.0,43828854.0,,,,,27.62,26.52,27.0,26.98,3280967263.791501,,,,,,27.24,36.25608333333333,-24.867780809197537,True,2026-06-19,44.31708781869691,,50.505050505050505,10.533910533910534,True,2026-06-19,3280967263.791501,,,,沿用上一版：当前数据待补齐,1.4738923512747888,3.303964757709251,True,2026-06-02,,未知,所属行业批量超时,27.24,27.25
301552,科力装备,24.5,-0.77,-0.19,834682.0,20466014.0,,,,,24.87,24.1,24.55,24.69,2332400000.0,,,,,,24.5,29.24075,-16.212819438625882,True,2026-06-19,16.28321925890962,,0.4329004329004329,0.4329004329004329,True,2026-06-19,2332400000.0,,,,沿用上一版：当前数据待补齐,1.931319329714422,6.122448979591836,True,2026-05-11,,未知,所属行业批量超时,24.46,24.5
301598,博科测试,53.8,-1.357,-0.74,796582.0,42730485.0,,,,,54.68,53.17,53.88,54.54,3168670597.71004,,,,,,53.8,61.92391666666666,-13.119190619671716,True,2026-06-19,25.512981498331808,,3.188405797101449,2.898550724637681,True,2026-06-19,3168670597.71004,,,,沿用上一版：当前数据待补齐,3.1493478920230515,3.1598513011152414,True,2026-05-21,,未知,所属行业批量超时,53.8,53.82
