代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
000028,国药一致,20.0,19.98,20.0,19.8,19.76,20.03,19.7,1577884.0,31451022.0,1.01,0.2,20.0,22.400333333333332,-10.71561435097692,True,2026-09-14,11.179941002949851,0.6588003933136675,31.852913085004776,1.002865329512894,True,2026-09-14,12244431680.432646,,,,正常,12244431680.432646,3.08,True,2026-06-24,,医药流通,
000030,富奥股份,4.06,4.05,4.06,3.97,3.95,4.12,3.95,14400780.0,58500302.0,2.267,0.09,4.06,4.515333333333333,-10.084157684925454,True,2026-09-14,10.51110576923076,0.839326923076923,16.73779042200095,0.8060692271218587,True,2026-09-14,6982432030.504807,,,,正常,6982432030.504807,3.6945812807881775,True,2026-06-26,,底盘与发动机系统,
000157,中联重科,6.52,6.52,6.53,6.52,6.49,6.53,6.48,16013029.0,104262086.0,0.0,0.0,6.52,7.5065,-13.141943648837684,True,2026-09-14,13.014058355437662,0.9944297082228112,29.30298719772404,25.983878615457563,True,2026-09-14,56388449738.33956,,,,正常,56388449738.33956,6.134969325153375,True,2026-07-22,,工程机械整机,
000513,丽珠集团,27.0,27.0,27.01,26.62,26.56,27.2,26.54,5263925.0,142313393.0,1.427,0.38,27.0,30.794,-12.320581931545105,True,2026-09-14,12.212389380530976,1.8141592920353984,9.90990990990991,1.896633475580844,True,2026-09-14,23973493616.814182,,,,正常,23973493616.814182,5.296296296296297,True,2026-06-16,,化学制剂,
000521,长虹美菱,4.44,4.43,4.44,4.48,4.47,4.48,4.4,13427307.0,59386433.0,-0.893,-0.04,4.44,5.392916666666666,-17.669782894228526,True,2026-09-14,15.292314049586782,0.7797520661157021,36.18382780686446,36.14400757934628,False,2026-09-14,4572861294.966946,,,,正常,4572861294.966946,4.72972972972973,True,2026-06-23,,冰洗,
000568,泸州老窖,73.48,73.48,73.5,73.63,73.8,74.4,73.38,5414223.0,399173133.0,-0.204,-0.15,73.48,88.789,-17.2420006982847,True,2026-09-14,10.86997241379311,2.094602298850575,0.33159639981051636,0.047370914258645196,True,2026-09-14,108155319501.23994,,,,正常,108155319501.23994,7.859446788241698,True,2026-08-28,,白酒Ⅲ,
000600,建投能源,7.47,7.47,7.48,7.5,7.47,7.6,7.42,17439870.0,130973642.0,-0.4,-0.03,7.47,9.120833333333334,-18.099588853357705,True,2026-09-14,6.621533957845438,1.1108782201405163,0.36809815950920244,74.09376510391493,True,2026-09-14,13470160788.685007,,,,正常,13470160788.685007,4.283801874163321,True,2026-06-03,,火电,
000683,博源化工,5.88,5.87,5.88,5.91,5.87,5.92,5.81,39052408.0,228755382.0,-0.508,-0.03,5.88,7.005083333333332,-16.060955734526104,True,2026-09-14,21.363062200956943,1.838086124401916,80.77908764736033,65.50738446879465,False,2026-09-14,21854969572.612434,,,,正常,21854969572.612434,5.1020408163265305,True,2026-07-07,,纯碱,
000786,北新建材,15.96,15.96,15.97,15.8,15.7,15.97,15.6,18418057.0,290686604.0,1.013,0.16,15.96,21.16875,-24.605845881310884,True,2026-09-14,9.475490096495678,1.01320467242255,4.18848167539267,0.09519276534983341,True,2026-09-14,27167687230.336224,,,,正常,27167687230.336224,4.291979949874686,True,2026-06-12,,其他建材,
000858,五 粮 液,69.85,69.85,69.86,69.75,69.76,70.0,69.6,11734039.0,819060255.0,0.143,0.1,69.85,82.71049999999998,-15.548811819539221,True,2026-09-14,21.515294117647056,2.297205882352945,25.153955471340595,0.994789199431549,True,2026-09-14,271130319149.2501,,,,正常,271130319149.2501,7.383944452397998,True,2026-07-16,,白酒Ⅲ,
