代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
000707,双环科技,4.76,4.75,4.76,4.72,4.74,4.77,4.66,5820226.0,27482778.0,0.847,0.04,4.76,6.002583333333334,-20.70080937374187,True,2026-06-16,20.98475997756957,1.008957264957265,79.7608095676173,0.4032258064516129,True,2026-06-16,2783253838.639319,,,,正常,2783253838.639319,3.813025210084034,True,2025-06-17,,纯碱,
000718,苏宁环球,1.94,1.94,1.95,1.99,1.99,1.99,1.93,56935932.0,110783006.0,-2.513,-0.05,1.94,2.212083333333333,-12.299868148427196,True,2026-06-16,316.59708334930247,0.6466666666666667,98.80208333333333,4.69208211143695,True,2026-06-16,5887194584.564814,,,,正常,5887194584.564814,3.608247422680412,True,2025-12-11,,房地产开发,
000726,鲁 泰Ａ,5.84,5.83,5.84,5.9,5.9,5.9,5.8,3781600.0,22043598.0,-1.017,-0.06,5.84,6.943583333333334,-15.893570802779555,True,2026-06-16,8.857333333333338,0.48666666666666597,14.66275659824047,1.5151515151515151,True,2026-06-16,4774349544.703029,,,,正常,4774349544.703029,3.4246575342465757,True,2025-10-23,,棉纺,
000731,四川美丰,5.81,5.81,5.82,5.9,5.9,5.9,5.79,4625280.0,26922553.0,-1.525,-0.09,5.81,6.898833333333333,-15.782861836542416,True,2026-06-16,42.47787765060394,0.8336086956521743,81.2720848056537,0.14691478942213515,True,2026-06-16,3188678478.999998,,,,正常,3188678478.999998,4.647160068846817,True,2025-10-20,,氮肥,
000786,北新建材,20.56,20.56,20.57,20.91,20.9,20.92,20.53,10556231.0,217966331.0,-1.674,-0.35,20.56,25.65458333333333,-19.85837488427994,True,2026-06-16,12.20553516819571,1.2496330275229357,15.848871442590776,0.04906771344455348,True,2026-06-16,34997973023.74005,,,,正常,34997973023.74005,3.3317120622568095,True,2026-06-12,,其他建材,
000788,北大医药,5.44,5.43,5.44,5.48,5.49,5.53,5.39,14212700.0,77597947.0,-0.73,-0.04,5.44,6.054833333333334,-10.154422087037906,True,2026-06-16,50.4691612903226,2.176000000000002,24.547677261613693,6.601466992665037,True,2026-06-16,3242171592.000001,,,,正常,3242171592.000001,4.191176470588235,True,2026-03-10,,化学制剂,
000789,万年青,4.21,4.21,4.23,4.25,4.25,4.25,4.19,3110635.0,13109403.0,-0.941,-0.04,4.21,5.212833333333333,-19.23777855932475,True,2026-06-16,115.69447164520794,0.5198582995951417,92.25464190981432,1.2218963831867058,True,2026-06-16,3357089162.0222673,,,,正常,3357089162.0222673,7.1258907363420425,True,2026-06-12,,水泥制造,
000807,云铝股份,25.38,25.38,25.39,26.9,26.4,26.4,25.31,121719905.0,3141911026.0,-5.651,-1.52,25.38,31.568249999999995,-19.602765436791703,True,2026-06-16,10.137506345177664,2.4719733502538084,15.995525727069351,81.82266009852216,True,2026-06-16,88016758939.22206,,,,正常,88016758939.22206,3.463356973995271,True,2026-06-10,,铝,
000858,五 粮 液,78.33,78.32,78.33,79.63,79.39,79.5,78.15,21756586.0,1708709322.0,-1.633,-1.3,78.33,99.59458333333332,-21.351144431382217,True,2026-06-16,24.12900683816349,2.3720905242591996,35.546875,0.048828125,True,2026-06-16,304046355031.94763,,,,正常,304046355031.94763,7.336907953529938,True,2025-12-18,,白酒Ⅲ,
000869,张 裕Ａ,17.27,17.22,17.27,17.63,17.63,17.63,17.15,992248.0,17130779.0,-2.042,-0.36,17.27,19.7245,-12.443914928135058,True,2026-06-16,187.546297255308,1.0821698601760739,99.01816396661758,0.049091801669121256,True,2026-06-16,11350537010.846193,,,,正常,11350537010.846193,3.763752171395484,True,2026-06-12,,其他酒类,
000888,峨眉山Ａ,9.88,9.86,9.88,9.94,9.9,9.91,9.78,4624702.0,45590551.0,-0.604,-0.06,9.88,12.482333333333333,-20.84813202659759,True,2026-06-16,23.62945169712794,1.9089295039164498,27.731591448931113,53.955078125,True,2026-06-16,5205901447.7772,,,,正常,5205901447.7772,3.3400809716599187,True,2025-12-26,,自然景区,
000897,津滨发展,1.82,1.82,1.83,1.86,1.86,1.87,1.82,18386200.0,33714648.0,-2.151,-0.04,1.82,2.1613333333333333,-15.792720542874761,True,2026-06-16,18.9525198421801,0.9812903225806454,69.45551128818062,0.04897159647404505,True,2026-06-16,2943435466.064516,,,,正常,2943435466.064516,5.21978021978022,True,2025-07-28,,房地产开发,
000910,大亚圣象,5.89,5.89,5.9,5.89,5.92,5.92,5.81,2349600.0,13767445.0,0.0,0.0,5.89,7.16775,-17.82637508283632,True,2026-06-16,241.74568129868587,0.4922727272727273,97.8952520802741,1.46484375,True,2026-06-16,3224171275.0,,,,正常,3224171275.0,3.225806451612903,True,2026-05-15,,瓷砖地板,
000913,钱江摩托,12.03,12.02,12.03,12.29,12.2,12.28,11.98,6351515.0,76725973.0,-2.116,-0.26,12.03,14.500666666666666,-17.03829708978898,True,2026-06-16,7.435582959641259,1.186816143497758,0.68359375,0.87890625,True,2026-06-16,6332724329.999996,,,,正常,6332724329.999996,9.143807148794682,True,2026-05-27,,摩托车,
000923,河钢资源,14.15,14.15,14.16,14.46,14.3,14.4,14.04,13730600.0,194505451.0,-2.144,-0.31,14.15,19.821583333333333,-28.613169987261355,True,2026-06-16,19.908720930232594,0.9166943521594683,55.859375,6.640625,True,2026-06-16,9236114798.416399,,,,正常,9236114798.416399,7.773851590106008,True,2026-06-15,,铁矿石,
000928,中钢国际,5.78,5.78,5.79,5.8,5.74,5.85,5.71,18442285.0,106654844.0,-0.345,-0.02,5.78,6.6176666666666675,-12.65803656878054,True,2026-06-16,18.31049034175335,0.9619019316493309,94.89445262641138,2.160039273441335,True,2026-06-16,8292245909.096584,,,,正常,8292245909.096584,3.633217993079585,True,2026-06-05,,国际工程承包,
000933,神火股份,24.91,24.9,24.91,26.44,26.02,26.02,24.7,103661818.0,2624161122.0,-5.787,-1.53,24.91,30.31158333333333,-17.820195249890713,True,2026-06-16,10.02828387096774,2.081190322580645,60.51167964404895,51.55248891079349,False,2026-06-16,56022699579.09,,,,正常,56022699579.09,3.211561621838619,True,2026-05-29,,铝,
000963,华东医药,28.26,28.26,28.27,29.0,28.95,28.96,28.2,11994650.0,340866104.0,-2.552,-0.74,28.26,34.965500000000006,-19.177474939583316,True,2026-06-16,14.155490078171969,1.9287492483463593,5.224609375,0.244140625,True,2026-06-16,49560603324.07217,,,,正常,49560603324.07217,3.290870488322718,True,2026-06-10,,化学制剂,
000987,越秀资本,7.76,7.75,7.76,7.75,7.7,7.82,7.66,36476276.0,282579781.0,0.129,0.01,7.76,8.841916666666666,-12.236223292461101,True,2026-06-16,9.359189189189186,1.1709909909909917,7.188577055637617,25.455440669620877,True,2026-06-16,38932947905.50451,,,,正常,38932947905.50451,3.350515463917526,True,2025-11-12,,金融控股,
000999,华润三九,24.25,24.25,24.26,24.55,24.45,24.53,24.15,6308293.0,153018518.0,-1.222,-0.3,24.25,27.52808333333333,-11.90814229105428,True,2026-06-16,12.503020265003896,1.7388932190179271,2.4914509037616024,5.37371763556424,True,2026-06-16,40357283056.235374,,,,正常,40357283056.235374,4.288659793814433,True,2026-05-29,,中药,
001206,依依股份,17.62,17.62,17.63,17.55,17.47,17.93,17.1,7347036.0,128607302.0,0.399,0.07,17.62,22.708000000000002,-22.40620045798838,True,2026-06-16,20.799479979199184,1.7500884035361417,29.975629569455727,40.861088545897644,True,2026-06-16,3257828897.1066036,,,,正常,3257828897.1066036,4.313280363223609,True,2026-05-18,,生活用纸,
001219,青岛食品,12.52,12.51,12.52,12.76,12.77,12.77,12.43,2120435.0,26567492.0,-1.881,-0.24,12.52,14.247916666666667,-12.127504021055714,True,2026-06-16,21.67266364225534,2.239481529488011,0.09025270758122744,4.332129963898916,True,2026-06-16,2441196550.405703,,,,正常,2441196550.405703,5.1916932907348246,True,2026-06-02,,烘焙食品,
001229,魅视科技,28.38,28.38,28.39,27.72,27.45,28.5,26.77,6058560.0,169061928.0,2.381,0.66,28.38,37.589000000000006,-24.49918859240737,True,2026-06-16,49.33582175622541,2.871475753604194,80.43243243243244,12.756756756756756,True,2026-06-16,2907573570.0000005,,,,正常,2907573570.0000005,3.1712473572938693,True,2026-06-09,,其他计算机设备,
001318,阳光乳业,10.89,10.89,10.9,10.92,10.98,11.0,10.75,1627600.0,17683466.0,-0.275,-0.03,10.89,14.104416666666667,-22.790142567635428,True,2026-06-16,30.330666666666662,2.0812000000000013,23.606889564336374,1.4184397163120568,True,2026-06-16,3078167399.999999,,,,正常,3078167399.999999,3.7649219467401283,True,2026-06-16,,乳品,
001323,慕思股份,18.47,18.46,18.47,18.64,18.63,18.77,18.36,857660.0,15860403.0,-0.912,-0.17,18.47,24.784083333333335,-25.47636419879695,True,2026-06-16,15.885689516129043,1.7427338709677427,23.75,0.20833333333333334,True,2026-06-16,8035941710.931049,,,,正常,8035941710.931049,7.850568489442339,True,2026-06-08,,成品家居,
001338,永顺泰,9.42,9.41,9.42,9.66,9.62,9.66,9.35,8134500.0,76581114.0,-2.484,-0.24,9.42,12.428333333333335,-24.205444548746158,True,2026-06-16,23.765536384096038,1.2649512378094523,52.10280373831776,0.35046728971962615,True,2026-06-16,4726304456.124534,,,,正常,4726304456.124534,3.1847133757961785,True,2025-06-19,,其他农产品加工,
001368,通达创智,22.65,22.64,22.65,22.9,22.92,22.97,22.38,1414969.0,32058408.0,-1.092,-0.25,22.65,26.595916666666668,-14.836550723638664,True,2026-06-16,25.190745628505436,1.8233586275156703,53.49740932642487,36.39896373056995,False,2026-06-16,2578406781.86902,,,,正常,2578406781.86902,3.3112582781456954,True,2026-05-13,,娱乐用品,
001386,马可波罗,16.13,16.13,16.14,16.58,16.6,16.6,16.07,4084052.0,66250078.0,-2.714,-0.45,16.13,21.07475,-23.46291177831292,True,2026-06-16,16.442629649030906,1.5800471451021474,5.095541401273886,5.095541401273886,True,2026-06-16,19274059600.000004,,,,正常,19274059600.000004,3.7197768133911966,True,2026-06-10,,瓷砖地板,
001395,亚联机械,27.35,27.34,27.35,28.77,28.5,28.5,27.2,1501627.0,41312454.0,-4.936,-1.42,27.35,41.06458333333333,-33.39759525138247,True,2026-06-16,13.5225662620758,1.9172776814466186,0.30303030303030304,0.30303030303030304,True,2026-06-16,2386014000.0,,,,正常,2386014000.0,5.923217550274222,True,2026-06-16,,其他专用设备,
002004,华邦健康,4.31,4.31,4.32,4.41,4.41,4.41,4.3,22344965.0,97030925.0,-2.268,-0.1,4.31,5.098,-15.45704197724599,True,2026-06-16,12.478644763860366,0.82305954825462,4.4493882091212456,4.509803921568627,True,2026-06-16,8533451713.059552,,,,正常,8533451713.059552,10.440835266821347,True,2026-06-16,,化学制剂,
002007,华兰生物,12.89,12.89,12.9,13.13,13.11,13.12,12.85,8340971.0,107738982.0,-1.828,-0.24,12.89,14.842083333333333,-13.152353948513507,True,2026-06-16,27.464387895460813,2.0124002751031638,24.080431584109856,0.04904364884747425,True,2026-06-16,23555916425.059162,,,,正常,23555916425.059162,9.309542280837858,True,2026-06-15,,疫苗,
002027,分众传媒,5.2,5.2,5.21,5.35,5.33,5.34,5.19,177673300.0,929940908.0,-2.804,-0.15,5.2,6.62325,-21.48869512701468,True,2026-06-16,20.858240000000002,4.858880000000001,47.998046875,10.791015625,True,2026-06-16,75099438575.616,,,,正常,75099438575.616,7.307692307692308,True,2025-11-25,,广告媒体,
002035,华帝股份,4.96,4.96,4.97,5.02,5.0,5.02,4.92,5027350.0,24910729.0,-1.195,-0.06,4.96,5.992499999999999,-17.22987067167291,True,2026-06-16,14.214736842105271,1.094736842105264,47.57946210268948,0.24449877750611246,True,2026-06-16,4204361945.2631593,,,,正常,4204361945.2631593,8.06451612903226,True,2026-02-04,,厨房电器,
002043,兔 宝 宝,12.06,12.06,12.07,12.29,12.25,12.27,11.95,9016288.0,108739320.0,-1.871,-0.23,12.06,14.631916666666665,-17.577442007483633,True,2026-06-16,13.355766990291254,2.903766990291264,29.4953454189123,28.123468887800097,True,2026-06-16,10006839028.799997,,,,正常,10006839028.799997,4.908789386401327,True,2026-06-01,,其他建材,
002078,太阳纸业,13.24,13.22,13.24,13.58,13.57,13.6,13.16,21183020.0,281653624.0,-2.504,-0.34,13.24,15.183250000000003,-12.798643241730211,True,2026-06-16,11.312714962762358,1.1832633716993917,33.691931540342296,0.58679706601467,True,2026-06-16,36999644975.891685,,,,正常,36999644975.891685,3.0211480362537766,True,2025-12-10,,大宗用纸,
002101,广东鸿图,8.63,8.58,8.63,8.61,8.59,8.63,8.43,5329682.0,45326272.0,0.232,0.02,8.63,11.103916666666667,-22.279676090268442,True,2026-06-16,18.44769306930694,0.7177425742574262,40.68441064638783,0.732421875,True,2026-06-16,5720162584.844553,,,,正常,5720162584.844553,3.6268829663962916,True,2025-07-07,,其他汽车零部件,
002107,沃华医药,6.04,6.04,6.05,6.03,6.03,6.1,5.91,8782560.0,52581254.0,0.166,0.01,6.04,6.843416666666667,-11.73999342433727,True,2026-06-16,31.84130434782608,5.153695652173912,25.82552981764416,60.670280926564814,True,2026-06-16,3486345983.9999995,,,,正常,3486345983.9999995,4.403973509933775,True,2026-03-05,,中药,
002116,中国海诚,9.06,9.06,9.07,9.03,9.04,9.09,8.86,3200500.0,28724755.0,0.332,0.03,9.06,10.243666666666666,-11.55510722072174,True,2026-06-16,12.555228426395946,1.4992690355329947,2.7221366204417055,0.6845965770171148,True,2026-06-16,4220094084.2619324,,,,正常,4220094084.2619324,3.414779249448123,True,2025-06-26,,其他专业工程,
002117,东港股份,8.82,8.81,8.82,9.04,9.04,9.04,8.69,11186491.0,98383885.0,-2.434,-0.22,8.82,10.976666666666665,-19.647737625265705,True,2026-06-16,30.62523047977424,3.119774223894639,68.84765625,36.9140625,False,2026-06-16,4619218823.390405,,,,正常,4619218823.390405,3.401360544217687,True,2026-05-15,,印刷,
002128,电投能源,24.95,24.95,24.96,26.99,26.59,26.75,24.8,42273784.0,1081490914.0,-7.558,-2.04,24.95,29.231583333333333,-14.647113994851457,True,2026-06-16,9.538293778062862,1.408338678640154,78.79387048937222,81.75976272862086,False,2026-06-16,55927258650.558044,,,,正常,55927258650.558044,8.41683366733467,True,2026-05-20,,动力煤,
002152,广电运通,10.05,10.04,10.05,10.14,10.1,10.12,9.94,19838455.0,198956635.0,-0.888,-0.09,10.05,12.235666666666669,-17.863077887051524,True,2026-06-16,29.480000000000018,1.9603703703703712,40.37236648701617,19.843214110730035,True,2026-06-16,24957998125.148186,,,,正常,24957998125.148186,3.6815920398009947,True,2026-05-28,,其他计算机设备,
002159,三特索道,13.53,13.52,13.53,13.9,13.88,13.88,13.44,3802090.0,51448119.0,-2.662,-0.37,13.53,16.772,-19.32983544001907,True,2026-06-16,17.91991950464397,1.6168978328173382,20.566860465116278,24.9386352479136,True,2026-06-16,2398886927.459445,,,,正常,2398886927.459445,3.9172209903917223,True,2026-06-10,,自然景区,
002223,鱼跃医疗,25.46,25.46,25.5,26.15,26.06,26.09,25.4,9849354.0,252420377.0,-2.639,-0.69,25.46,34.389583333333334,-25.9659538377658,True,2026-06-16,19.858800000000013,1.8670666666666664,37.01171875,0.244140625,True,2026-06-16,25523062612.340004,,,,正常,25523062612.340004,3.927729772191673,True,2026-05-26,,医疗设备,
