代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,振幅,换手率,市盈率-动态,量比,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,市净率_y
000030,富奥股份,4.21,4.21,4.22,4.15,4.15,4.23,4.13,9127266.0,38258490.0,1.446,0.06,4.21,4.872,-13.587848932676517,True,2026-07-23,10.905421686746987,0.872433734939759,20.50168837433671,1.2542209358417753,True,2026-07-23,7240403657.703614,,,,正常,7240403657.703614,3.5629453681710213,True,2026-06-26,,底盘与发动机系统,,,,,,,,,,,
000411,英特集团,9.35,9.34,9.35,9.14,9.15,9.36,9.07,4333500.0,40026315.0,2.298,0.21,9.35,10.990999999999998,-14.93039759803474,True,2026-07-23,10.986761487964989,1.0127461706783367,7.785888077858881,1.2652068126520681,True,2026-07-23,5281339514.649891,,,,正常,5281339514.649891,3.7860962566844916,True,2026-07-10,,医药流通,,,,,,,,,,,
000419,通程控股,4.68,4.68,4.69,4.55,4.53,4.7,4.51,6397800.0,29441820.0,2.857,0.13,4.68,5.5960833333333335,-16.370080264470698,True,2026-07-23,17.845714285714287,0.7405714285714285,44.138929088277855,7.766521948866377,True,2026-07-23,2543966825.142857,,,,正常,2543966825.142857,3.2051282051282057,True,2025-08-08,,多业态零售,,,,,,,,,,,
000498,山东路桥,5.01,5.0,5.01,4.95,4.95,5.01,4.93,7140000.0,35566992.0,1.212,0.06,5.01,5.582583333333333,-10.256601633055185,True,2026-07-23,3.623393939393939,0.4756969696969696,8.011583011583012,1.3996138996138996,True,2026-07-23,7777734540.442423,,,,正常,7777734540.442423,4.431135728542914,True,2026-07-06,,基建市政工程,,,,,,,,,,,
000521,长虹美菱,4.86,4.86,4.87,4.78,4.78,4.87,4.75,10015399.0,48198672.0,1.674,0.08,4.86,5.875916666666666,-17.289500928933055,True,2026-07-23,16.745648535564854,0.8540585774058577,38.44325609031492,46.40963855421687,False,2026-07-23,5005429255.205021,,,,正常,5005429255.205021,4.320987654320988,True,2026-06-23,,冰洗,,,,,,,,,,,
000568,泸州老窖,85.13,85.13,85.14,86.8,85.86,86.38,84.36,11186059.0,951328958.0,-1.924,-1.67,85.13,97.26225000000001,-12.473750093175939,True,2026-07-23,12.592963133640552,2.4322857142857144,7.132530120481928,1.4457831325301205,True,2026-07-23,125302971544.7977,,,,正常,125302971544.7977,6.98931046634559,True,2026-01-30,,白酒Ⅲ,,,,,,,,,,,
000581,威孚高科,17.08,17.08,17.1,16.9,16.8,17.13,16.8,7112048.0,120964669.0,1.065,0.18,17.08,20.042916666666663,-14.782861775772815,True,2026-07-23,15.179976331360946,0.8388402366863904,90.88098918083463,5.393586005830904,True,2026-07-23,16512699636.743195,,,,正常,16512699636.743195,4.683840749414521,True,2026-07-15,,底盘与发动机系统,,,,,,,,,,,
000596,古井贡酒,90.89,90.89,90.9,97.55,93.07,93.96,90.13,10777495.0,987782931.0,-6.827,-6.66,90.89,102.43525,-11.270778369750644,True,2026-07-23,17.004023577652486,1.9752619169656587,17.10843373493976,2.2650602409638556,True,2026-07-23,48044454000.0,,,,正常,48044454000.0,4.841016613488833,True,2026-07-17,,白酒Ⅲ,,,,,,,,,,,
000625,长安汽车,7.33,7.33,7.34,7.21,7.26,7.34,7.15,76274429.0,554626481.0,1.664,0.12,7.33,9.25,-20.756756756756754,True,2026-07-23,23.647128987517338,0.9556449375866852,60.13107591480066,18.072289156626507,True,2026-07-23,72661597666.75867,,,,正常,72661597666.75867,6.300450204638472,True,2026-07-16,,综合乘用车,,,,,,,,,,,
000655,金岭矿业,6.65,6.65,6.66,6.43,6.43,6.66,6.38,8020162.0,52536064.0,3.421,0.22,6.65,8.419,-21.011996674189337,True,2026-07-23,15.575272161741838,1.1479782270606533,15.384615384615385,22.16867469879518,True,2026-07-23,3959012529.603422,,,,正常,3959012529.603422,5.052631578947368,True,2026-06-25,,铁矿石,,,,,,,,,,,
