代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,市净率,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,买入,卖出
000028,国药一致,19.1,-1.8,-0.35,17946.0,34422616.27,1.95,0.34,10.17,0.6,19.46,19.08,19.45,19.45,11693432254.0,10043890379.0,0.63,-16.23,-12.26,10.68,19.1,24.83833333333333,-23.102730993759636,True,2026-06-26,10.68,0.63,26.238352133398724,0.14713094654242276,True,2026-06-26,11693432254.0,,,,正常,0.63,3.225130890052356,True,2026-06-24,,医药流通,,,
000030,富奥股份,3.93,-2.0,-0.08,90384.0,35915355.03,2.74,0.54,13.55,0.98,4.03,3.92,4.02,4.01,6758856621.0,6566660855.0,0.82,-19.3,-29.7,10.18,3.93,5.120416666666666,-23.248433558466918,True,2026-06-26,10.18,0.82,12.755598831548198,0.04868549172346641,True,2026-06-26,6758856621.0,,,,正常,0.82,7.6335877862595405,True,2026-06-26,,底盘与发动机系统,,,
000089,深圳机场,6.13,-0.33,-0.02,122060.0,74911516.4,2.11,0.6,12.17,0.99,6.19,6.06,6.18,6.15,12571217090.0,12571217090.0,1.09,-7.26,-10.25,20.26,6.13,6.900083333333333,-11.160493230758084,True,2026-06-26,20.26,1.09,1.6118633139909737,0.5899705014749262,True,2026-06-26,12571217090.0,,,,正常,1.09,4.567699836867862,True,2026-06-26,,机场,,,
000090,天健集团,3.15,-2.17,-0.07,209022.0,66567993.32,2.48,1.12,-63.11,0.96,3.23,3.15,3.21,3.22,5885918117.0,5885559017.0,0.52,-12.5,-14.86,36.84,3.15,3.676083333333333,-14.310974089270733,True,2026-06-26,36.84,0.52,97.36970287384315,0.04870920603994155,True,2026-06-26,5885918117.0,,,,正常,0.52,3.1746031746031753,True,2025-07-11,,房地产开发,,,
000157,中联重科,7.31,-0.41,-0.03,716331.0,528407376.87,2.72,1.01,17.88,0.88,7.46,7.26,7.31,7.34,63220792575.0,51679284776.0,1.08,-14.0,-13.29,14.59,7.31,8.413416666666667,-13.11496518457622,True,2026-06-26,14.59,1.08,33.59298928919182,44.01168451801363,False,2026-06-26,63220792575.0,,,,正常,1.08,6.839945280437757,True,2026-01-09,,工程机械整机,,,
000408,藏格矿业,68.05,-2.92,-2.05,171947.0,1184772751.41,4.37,1.1,16.96,0.9,70.95,67.89,70.78,70.1,106764649010.0,106763526185.0,6.98,-13.86,-17.91,22.82,68.05,82.23266666666665,-17.246998354263088,True,2026-06-26,22.82,6.98,50.65685759327378,92.93478260869566,False,2026-06-26,106764649010.0,,,,正常,6.98,3.673769287288758,True,2026-04-17,,锂,,,
000419,通程控股,4.54,-1.3,-0.06,64228.0,29350225.38,3.04,1.18,21.99,0.87,4.64,4.5,4.57,4.6,2467865254.0,2467865254.0,0.72,-21.86,-28.95,17.31,4.54,5.883333333333334,-22.8328611898017,True,2026-06-26,17.31,0.72,39.727361246348586,4.868549172346641,True,2026-06-26,2467865254.0,,,,正常,0.72,3.303964757709251,True,2025-08-08,,多业态零售,,,
000423,东阿阿胶,43.48,-0.57,-0.25,44472.0,193867028.69,2.63,0.69,15.39,0.71,44.16,43.01,43.99,43.73,28000112308.0,27951130740.0,2.84,-20.13,-8.75,15.83,43.48,50.62391666666667,-14.11174230888893,True,2026-06-26,15.83,2.84,16.750418760469014,48.15179891572203,True,2026-06-26,28000112308.0,,,,正常,2.84,6.222590386384545,True,2026-05-25,,中药,,,
000498,山东路桥,4.81,-1.03,-0.05,60788.0,29451162.0,1.44,0.42,11.13,0.92,4.88,4.81,4.85,4.86,7467243427.0,6971360109.0,0.45,-16.35,-20.23,3.48,4.81,5.769166666666666,-16.625740286003175,True,2026-06-26,3.48,0.45,1.948368241597662,0.04870920603994155,True,2026-06-26,7467243427.0,,,,正常,0.45,4.261954261954262,True,2025-12-24,,基建市政工程,,,
000501,武商集团,6.5,-3.27,-0.22,74470.0,49014254.01,3.27,0.97,10.13,1.11,6.72,6.5,6.7,6.72,4998452752.0,4993910292.0,0.46,-21.97,-35.13,31.0,6.5,8.824416666666666,-26.340740181126232,True,2026-06-26,31.0,0.46,77.14007782101167,0.3404669260700389,True,2026-06-26,4998452752.0,,,,正常,0.46,3.076923076923077,True,2026-05-22,,百货,,,
000513,丽珠集团,28.43,-3.5,-1.03,43292.0,124794589.56,3.73,0.76,10.94,0.87,29.53,28.43,29.48,29.46,25243200872.0,16152214343.0,1.91,-12.9,-13.93,12.86,28.43,33.49208333333333,-15.114268297234423,True,2026-06-26,12.86,1.91,9.639727361246349,3.700097370983447,True,2026-06-26,25243200872.0,,,,正常,1.91,5.0298979950756255,True,2026-06-16,,化学制剂,,,
000521,长虹美菱,4.99,-1.38,-0.07,57725.0,28948097.35,2.37,0.66,18.29,0.6,5.08,4.96,5.07,5.06,5139319338.0,4367396802.0,0.87,-15.42,-21.42,17.19,4.99,6.074583333333334,-17.85444817888745,True,2026-06-26,17.19,0.87,38.94230769230769,49.0272373540856,False,2026-06-26,5139319338.0,,,,正常,0.87,4.208416833667335,True,2026-06-23,,冰洗,,,
000528,柳    工,7.57,-1.43,-0.11,295007.0,224641537.03,2.34,1.45,6.36,0.82,7.71,7.53,7.69,7.68,15419807639.0,15398380307.0,0.84,-16.17,-34.46,9.9,7.57,10.1625,-25.510455104551045,True,2026-06-26,9.9,0.84,14.250972762645914,18.04474708171206,True,2026-06-26,15419807639.0,,,,正常,0.84,4.29300924702774,True,2026-06-04,,工程机械整机,,,
000529,广弘控股,4.39,0.92,0.04,72498.0,31968209.94,4.6,1.27,-291.65,1.68,4.51,4.31,4.36,4.35,2562839549.0,2501792415.0,0.81,-22.02,-25.47,24.01,4.39,5.6706666666666665,-22.58405831177992,True,2026-06-26,24.01,0.81,76.76570871894788,0.04870920603994155,True,2026-06-26,2562839549.0,,,,正常,0.81,5.466970387243736,True,2026-06-26,,肉制品,,,
000538,云南白药,47.0,-0.32,-0.15,76740.0,361281011.73,1.72,0.43,10.29,0.74,47.48,46.67,47.14,47.15,83860342341.0,83327868390.0,2.14,-11.02,-14.82,15.95,47.0,53.003249999999994,-11.326192261795253,True,2026-06-26,15.95,2.14,0.04880429477794046,1.610541727672035,True,2026-06-26,83860342341.0,,,,正常,2.14,5.536170212765957,True,2026-04-30,,中药,,,
000544,中原环保,7.13,-1.79,-0.13,39797.0,28752097.67,2.75,0.41,5.0,1.17,7.31,7.11,7.22,7.26,6949500399.0,6949500399.0,0.76,-14.92,-11.43,6.53,7.13,8.358583333333334,-14.698463655124971,True,2026-06-26,6.53,0.76,0.09832841691248771,3.048180924287119,True,2026-06-26,6949500399.0,,,,正常,0.76,3.786816269284713,True,2026-06-18,,水务及水治理,,,
000550,江铃汽车,16.18,-3.0,-0.5,33617.0,54556992.99,3.48,0.65,10.26,1.09,16.73,16.15,16.68,16.68,13966802520.0,8388733929.0,1.16,-7.28,-13.01,11.43,16.18,18.0455,-10.337757335623843,True,2026-06-26,11.43,1.16,2.6493506493506493,16.487279843444227,True,2026-06-26,13966802520.0,,,,正常,1.16,4.444622991347343,True,2025-08-20,,商用载货车,,,
000563,陕国投Ａ,2.81,-3.77,-0.11,510790.0,145246771.3,3.42,1.0,12.39,0.89,2.91,2.81,2.9,2.92,14370256706.0,14370256706.0,0.77,-15.36,-17.11,10.76,2.81,3.2965000000000004,-14.75807674806614,True,2026-06-26,10.76,0.77,0.04868549172346641,0.04868549172346641,True,2026-06-26,14370256706.0,,,,正常,0.77,3.202846975088968,True,2026-04-28,,信托,,,
000568,泸州老窖,75.2,-4.06,-3.18,147263.0,1129284696.09,5.15,1.0,7.46,0.95,79.24,75.2,78.31,78.38,110686990018.0,110623722302.0,2.15,-27.54,-34.53,11.13,75.2,102.89166666666667,-26.91342026403174,True,2026-06-26,11.13,2.15,0.4377431906614786,0.048638132295719845,True,2026-06-26,110686990018.0,,,,正常,2.15,7.912234042553192,True,2026-01-30,,白酒Ⅲ,,,
000589,贵州轮胎,4.11,-2.38,-0.1,231712.0,95744399.94,2.61,1.5,8.86,0.97,4.2,4.09,4.2,4.21,6388543327.0,6346294993.0,0.71,-9.87,-19.25,8.7,4.11,4.7339166666666666,-13.179713767669465,True,2026-06-26,8.7,0.71,18.13953488372093,0.19704433497536944,True,2026-06-26,6388543327.0,,,,正常,0.71,6.32603406326034,True,2026-06-15,,轮胎轮毂,,,
000625,长安汽车,6.86,-2.42,-0.17,928339.0,640009873.59,2.28,1.12,48.5,0.97,6.99,6.83,6.98,7.03,68002532059.0,56713042839.0,0.88,-31.47,-42.16,22.13,6.86,9.990083333333333,-31.33190413827044,True,2026-06-26,22.13,0.88,57.284768211920536,13.278210116731518,True,2026-06-26,68002532059.0,,,,正常,0.88,5.029154518950437,True,2025-11-28,,综合乘用车,,,
000655,金岭矿业,6.4,-4.05,-0.27,62497.0,40458068.0,4.5,1.05,27.12,0.89,6.68,6.38,6.64,6.67,3810177472.0,3810177472.0,1.1,-28.41,-31.7,14.99,6.4,8.953333333333335,-28.518242740134035,True,2026-06-26,14.99,1.1,10.97708082026538,17.315175097276263,True,2026-06-26,3810177472.0,,,,正常,1.1,5.25,True,2026-06-25,,铁矿石,,,
000661,长春高新,62.8,-4.28,-2.81,66587.0,425994543.75,4.97,1.67,23.23,0.71,66.04,62.78,65.2,65.61,25618476821.0,25095794870.0,1.15,-27.28,-32.03,-610.1,62.8,85.71491666666667,-26.73387265343742,True,2026-06-26,27.907515291139315,1.15,46.20284174424302,0.04873294346978557,True,2026-06-26,25618476821.0,,,,正常,1.15,4.3949044585987265,True,2026-05-25,,其他生物制品,,,
000708,中信特钢,12.95,-2.92,-0.39,121286.0,158439682.97,2.85,0.24,10.81,0.72,13.33,12.95,13.29,13.34,65360700723.0,65360409348.0,1.54,-18.91,-18.66,10.79,12.95,15.2175,-14.900607852801052,True,2026-06-26,10.79,1.54,11.957052220595413,28.013665202537823,True,2026-06-26,65360700723.0,,,,正常,1.54,4.986837065637066,True,2026-05-21,,特钢Ⅲ,,,
000718,苏宁环球,1.72,-2.82,-0.05,316180.0,55289938.52,3.95,1.39,262.36,1.02,1.78,1.71,1.76,1.77,5219574580.0,3924747208.0,0.57,-19.63,-24.89,-223.39,1.72,2.17975,-21.091868333524477,True,2026-06-26,288.8540399630234,0.57,98.39128178515828,3.0671859785783835,True,2026-06-26,5219574580.0,,,,正常,0.57,4.069767441860464,True,2025-12-11,,房地产开发,,,
000719,中原传媒,11.27,-2.0,-0.23,36299.0,41246899.58,2.43,0.54,25.94,0.81,11.55,11.27,11.55,11.5,11531506251.0,7518752810.0,0.99,-13.51,-4.17,8.38,11.27,13.004333333333333,-13.336580114320872,True,2026-06-26,8.38,0.99,27.68166089965398,58.08205635195255,True,2026-06-26,11531506251.0,,,,正常,0.99,5.323868677905945,True,2025-06-30,,大众出版,,,
000726,鲁  泰Ａ,5.49,-3.51,-0.2,55186.0,30683593.74,3.51,0.94,11.97,1.28,5.69,5.49,5.65,5.69,4488215582.0,3235457248.0,0.46,-19.74,-21.23,8.33,5.49,6.85225,-19.880331278047347,True,2026-06-26,8.33,0.46,11.39240506329114,0.1460564751703992,True,2026-06-26,4488215582.0,,,,正常,0.46,4.553734061930783,True,2026-06-18,,棉纺,,,
000755,山西高速,4.3,-2.71,-0.12,39462.0,17099319.4,2.26,0.27,14.02,0.48,4.4,4.3,4.38,4.42,6309433843.0,6309433843.0,1.18,-15.69,-10.79,13.42,4.3,5.147916666666666,-16.47106434641845,True,2026-06-26,13.42,1.18,23.50663716814159,1.3254786450662739,True,2026-06-26,6309433843.0,,,,正常,1.18,4.651162790697675,True,2026-06-24,,高速公路,,,
000786,北新建材,18.08,-1.79,-0.33,168655.0,308398460.24,3.37,1.0,9.57,0.84,18.66,18.04,18.39,18.41,30776427639.0,30546301783.0,1.15,-25.47,-25.57,10.73,18.08,25.26925,-28.450587176113263,True,2026-06-26,10.73,1.15,6.940371456500488,0.19550342130987292,True,2026-06-26,30776427639.0,,,,正常,1.15,3.7887168141592924,True,2026-06-12,,其他建材,,,
000788,北大医药,4.81,-4.18,-0.21,142075.0,69587952.0,4.78,2.38,26.55,0.8,5.05,4.81,5.01,5.02,2866699514.0,2866699514.0,1.93,-18.61,-19.02,44.63,4.81,5.983416666666667,-19.611147477054647,True,2026-06-26,44.63,1.93,21.626887481734048,0.34096444227959083,True,2026-06-26,2866699514.0,,,,正常,1.93,4.116424116424117,True,2026-03-10,,化学制剂,,,
