代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
000028,国药一致,20.05,20.04,20.05,20.03,20.04,20.17,19.95,1885977.0,37863727.0,0.1,0.02,20.05,22.725,-11.771177117711773,True,2026-09-03,11.207890855457224,0.6604473942969519,32.10349784379492,1.0541447053186392,True,2026-09-03,12275042759.633728,,,,正常,12275042759.633728,3.0723192019950125,True,2026-06-24,,医药流通,
000030,富奥股份,4.06,4.06,4.07,4.07,4.07,4.11,4.05,7312050.0,29804163.0,-0.246,-0.01,4.06,4.578416666666667,-11.323055641506352,True,2026-09-03,10.511105769230756,0.8393269230769231,16.508087535680303,0.6660323501427212,True,2026-09-03,6982432030.504808,,,,正常,6982432030.504808,3.6945812807881775,True,2026-06-26,,底盘与发动机系统,
000157,中联重科,6.59,6.58,6.59,6.59,6.59,6.63,6.57,34844034.0,229760138.0,0.0,0.0,6.59,7.629166666666666,-13.620972146368103,True,2026-09-03,13.153779840848802,1.0051061007957551,29.448144624167462,27.25975261655566,True,2026-09-03,56993847204.85548,,,,正常,56993847204.85548,6.0698027314112295,True,2026-07-22,,工程机械整机,
000513,丽珠集团,26.61,26.6,26.61,26.55,26.59,26.76,26.5,3093873.0,82391056.0,0.226,0.06,26.61,31.227916666666665,-14.78778336691262,True,2026-09-03,12.035988200589975,1.7879547689282205,9.705042816365367,1.141769743101808,True,2026-09-03,23627209820.126865,,,,正常,23627209820.126865,5.3739195791056,True,2026-06-16,,化学制剂,
000521,长虹美菱,4.85,4.84,4.85,4.85,4.87,4.89,4.84,3968200.0,19303069.0,0.0,0.0,4.85,5.479333333333333,-11.485582187614064,True,2026-09-03,16.70444214876033,0.8517561983471071,38.20093457943925,45.865019011406844,False,2026-09-03,4995130018.150828,,,,正常,4995130018.150828,4.3298969072164954,True,2026-06-23,,冰洗,
000528,柳 工,7.91,7.9,7.91,7.83,7.85,7.98,7.84,31892238.0,253113030.0,1.022,0.08,7.91,8.791916666666667,-10.030994379306756,True,2026-09-03,10.343134502923975,0.8788888888888887,17.870722433460077,21.102661596958175,True,2026-09-03,16119261687.945026,,,,正常,16119261687.945026,4.108480404551201,True,2026-06-04,,工程机械整机,
000568,泸州老窖,76.0,76.0,76.04,77.82,77.84,77.99,75.75,11245730.0,860761601.0,-2.339,-1.82,76.0,90.528,-16.048073524213514,True,2026-09-03,11.242758620689658,2.1664367816091956,0.5703422053231939,0.14258555133079848,True,2026-09-03,111864511187.99997,,,,正常,111864511187.99997,7.5988440789473675,True,2026-08-28,,白酒Ⅲ,
000600,建投能源,7.42,7.41,7.42,7.39,7.41,7.44,7.39,12640497.0,93796682.0,0.406,0.03,7.42,9.248916666666666,-19.774387991386376,True,2026-09-03,6.577213114754102,1.1034426229508207,0.12322858903265559,73.37536372453928,True,2026-09-03,13379999069.885244,,,,正常,13379999069.885244,4.31266846361186,True,2026-06-03,,火电,
000683,博源化工,6.16,6.16,6.17,6.12,6.12,6.19,6.08,91238263.0,560025198.0,0.654,0.04,6.16,7.150999999999999,-13.85820165011885,True,2026-09-03,22.380350877192996,1.9256140350877204,83.1275720164609,71.70172084130019,False,2026-09-03,22895682409.403503,,,,正常,22895682409.403503,4.87012987012987,True,2026-07-07,,纯碱,
000786,北新建材,16.56,16.56,16.57,16.64,16.61,16.88,16.53,17242705.0,287604930.0,-0.481,-0.08,16.56,21.733083333333333,-23.802804480112894,True,2026-09-03,9.831711528694768,1.0512950736414426,4.775549188156638,0.04775549188156638,True,2026-09-03,28189028855.53682,,,,正常,28189028855.53682,4.136473429951691,True,2026-06-12,,其他建材,
000858,五 粮 液,70.68,70.67,70.68,70.82,70.82,71.11,70.55,18006064.0,1273832601.0,-0.198,-0.14,70.68,84.58408333333334,-16.43817936589724,True,2026-09-03,21.77095187165776,2.324502673796795,26.283269961977183,1.0456273764258555,True,2026-09-03,274352053793.4002,,,,正常,274352053793.4002,7.29723429541596,True,2026-07-16,,白酒Ⅲ,
000899,赣能股份,9.4,9.39,9.4,9.37,9.37,9.44,9.33,5602836.0,52659236.0,0.32,0.03,9.4,11.659833333333331,-19.381351934704593,True,2026-09-03,9.032602478550999,1.5054337464251666,0.11389521640091116,62.90400385914134,True,2026-09-03,9171370943.64157,,,,正常,9171370943.64157,6.031914893617021,True,2026-06-15,,火电,
