代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,市净率,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,买入,卖出
000030,富奥股份,4.18,-1.88,-0.08,175523.0,74327079.72,3.29,1.05,14.41,1.35,4.3,4.16,4.23,4.26,7188809332.0,6984387373.0,0.87,-24.28,-25.22,10.83,4.18,4.919750000000001,-15.036333147009529,True,2026-07-17,10.83,0.87,19.623006283228612,1.11164813919768,True,2026-07-17,7188809332.0,,,,正常,0.87,3.588516746411483,True,2026-06-26,,底盘与发动机系统,,,
000157,中联重科,7.19,-1.24,-0.09,512075.0,370170151.12,2.2,0.72,17.58,0.84,7.31,7.15,7.27,7.28,62182968347.0,50830924424.0,1.1,-11.67,-14.71,14.35,7.19,8.243166666666665,-12.776238904951553,True,2026-07-17,14.35,1.1,32.62445625906235,48.525857902368294,False,2026-07-17,62182968347.0,,,,正常,1.1,6.954102920723226,True,2026-01-09,,工程机械整机,,,
000408,藏格矿业,68.6,-2.94,-2.08,130014.0,895765532.09,3.76,0.83,17.1,0.88,70.45,67.79,69.62,70.68,107627552124.0,107626420224.0,7.04,-20.73,-17.25,23.0,68.6,80.38283333333332,-14.658395138265423,True,2026-07-17,23.0,7.04,52.13764337851929,92.69249632172634,False,2026-07-17,107627552124.0,,,,正常,7.04,3.6443148688046647,True,2026-04-17,,钾肥,,,
000411,英特集团,9.4,-3.98,-0.39,80063.0,76345894.12,5.92,1.42,16.56,1.3,9.9,9.32,9.73,9.79,5309581972.0,5299117798.0,1.02,-10.98,-24.19,11.05,9.4,11.143083333333331,-15.642738021343572,True,2026-07-17,11.05,1.02,8.288639687957094,1.1701608971233546,True,2026-07-17,5309581972.0,,,,正常,1.02,3.76595744680851,True,2026-07-10,,医药流通,,,
000419,通程控股,4.76,-2.26,-0.11,85359.0,41198773.0,5.13,1.57,23.06,1.05,4.96,4.71,4.85,4.87,2587453438.0,2587453438.0,0.76,-16.64,-25.51,18.15,4.76,5.660749999999999,-15.912202446672252,True,2026-07-17,18.15,0.76,47.46254229096182,13.146447559207347,True,2026-07-17,2587453438.0,,,,正常,0.76,3.1512605042016806,True,2025-08-08,,多业态零售,,,
000498,山东路桥,5.04,-0.4,-0.02,131334.0,67192770.64,2.37,0.91,11.67,1.6,5.16,5.04,5.07,5.06,7824307801.0,7304712806.0,0.48,-10.8,-13.7,3.65,5.04,5.623666666666666,-10.378756445972371,True,2026-07-17,3.65,0.48,8.51063829787234,1.402321083172147,True,2026-07-17,7824307801.0,,,,正常,0.48,4.404759920634921,True,2026-07-06,,基建市政工程,,,
000521,长虹美菱,5.03,-2.14,-0.11,153370.0,77898682.82,4.09,1.75,18.44,0.8,5.18,4.97,5.12,5.14,5180516286.0,4402405995.0,0.88,-9.86,-20.79,17.33,5.03,5.9384999999999994,-15.298476046139587,True,2026-07-17,17.33,0.88,38.71351995235259,50.02414292612265,False,2026-07-17,5180516286.0,,,,正常,0.88,4.174950298210735,True,2026-06-23,,冰洗,,,
000528,柳    工,8.06,-1.47,-0.12,253609.0,205720106.77,2.69,1.25,6.77,0.86,8.24,8.02,8.19,8.18,16420833592.0,16398019286.0,0.89,-13.05,-30.22,10.54,8.06,9.667166666666668,-16.625002155060955,True,2026-07-17,10.54,0.89,19.507484307098018,22.597778850796715,True,2026-07-17,16420833592.0,,,,正常,0.89,4.032019851116624,True,2026-06-04,,工程机械整机,,,
000568,泸州老窖,82.46,-2.04,-1.72,190965.0,1584338225.54,4.36,1.3,8.18,1.09,85.62,81.95,84.16,84.18,121372994639.0,121303618897.0,2.35,-18.07,-28.21,12.2,82.46,98.14200000000001,-15.97888773409959,True,2026-07-17,12.2,2.35,4.152583293095123,0.9657170449058425,True,2026-07-17,121372994639.0,,,,正常,2.35,7.215619694397284,True,2026-01-30,,白酒Ⅲ,,,
000581,威孚高科,16.72,-2.05,-0.35,99710.0,168781565.94,3.51,1.26,10.8,1.15,17.24,16.64,17.07,17.07,16164656787.0,13274096599.0,0.83,-8.13,-16.06,14.86,16.72,20.189,-17.18262420129775,True,2026-07-17,14.86,0.83,89.98451213216315,3.554040895813048,True,2026-07-17,16164656787.0,,,,正常,0.83,4.784688995215312,True,2026-07-15,,底盘与发动机系统,,,
000596,古井贡酒,85.3,-2.2,-1.92,86643.0,736201251.98,4.54,2.12,7.02,1.28,87.54,83.58,85.58,87.22,45089580000.0,34853580000.0,1.85,-16.86,-33.46,15.95,85.3,103.58891666666665,-17.655283263090393,True,2026-07-17,15.95,1.85,12.216320618058909,1.5934331240946402,True,2026-07-17,45089580000.0,,,,正常,1.85,5.158264947245018,True,2026-07-17,,白酒Ⅲ,,,
000600,建投能源,8.16,1.87,0.15,544563.0,444005743.04,4.62,5.0,6.14,2.18,8.32,7.95,7.97,8.01,14714392508.0,8894815148.0,1.22,-10.03,-0.61,7.23,8.16,9.353083333333334,-12.75604301611768,True,2026-07-17,7.23,1.22,0.44025157232704404,85.55938886150814,True,2026-07-17,14714392508.0,,,,正常,1.22,3.9215686274509802,True,2026-06-03,,火电,,,
000612,焦作万方,10.29,-2.74,-0.29,319905.0,331657925.33,3.69,2.68,6.0,0.69,10.58,10.19,10.53,10.58,12267731764.0,12267731764.0,1.68,-21.81,-3.83,8.64,10.29,12.273833333333334,-16.163111225778426,True,2026-07-17,8.64,1.68,1.255980861244019,72.85575048732943,True,2026-07-17,12267731764.0,,,,正常,1.68,3.15840621963071,True,2026-05-26,,铝,,,
000625,长安汽车,7.11,-1.11,-0.08,927819.0,664919182.73,3.2,1.12,50.27,1.12,7.29,7.06,7.19,7.19,70480758446.0,58779844692.0,0.93,-28.33,-39.44,22.94,7.11,9.396416666666669,-24.33285738357709,True,2026-07-17,22.94,0.93,58.07334428024083,16.755190729116368,True,2026-07-17,70480758446.0,,,,正常,0.93,6.495400843881857,True,2026-07-16,,综合乘用车,,,
000655,金岭矿业,6.5,-1.81,-0.12,68151.0,44799990.35,3.93,1.14,27.54,1.06,6.71,6.45,6.65,6.62,3869711495.0,3869711495.0,1.12,-23.44,-30.63,15.23,6.5,8.542666666666666,-23.91134696425783,True,2026-07-17,15.23,1.12,12.671846981470413,19.410912602607436,True,2026-07-17,3869711495.0,,,,正常,1.12,5.1692307692307695,True,2026-06-25,,铁矿石,,,
000683,博源化工,5.69,4.4,0.24,1284401.0,722976643.55,6.97,3.84,12.59,1.93,5.78,5.4,5.48,5.45,21148771576.0,19016617411.0,1.78,-29.05,-20.31,20.67,5.69,7.90425,-28.01341050700572,True,2026-07-17,20.67,1.78,80.84772370486655,63.76881981544439,False,2026-07-17,21148771576.0,,,,正常,1.78,5.272407732864674,True,2026-07-07,,纯碱,,,
000708,中信特钢,13.39,-1.25,-0.17,148293.0,200820688.22,2.14,0.29,11.18,1.03,13.67,13.38,13.56,13.56,67581454029.0,67581152754.0,1.6,-18.35,-15.89,11.16,13.39,14.918416666666667,-10.24516676814452,True,2026-07-17,11.16,1.6,17.92635658914729,32.80038759689923,True,2026-07-17,67581454029.0,,,,正常,1.6,4.8229678864824495,True,2026-05-21,,特钢Ⅲ,,,
000718,苏宁环球,1.84,-2.65,-0.05,230495.0,43125752.0,4.76,1.01,280.66,0.84,1.92,1.83,1.88,1.89,5583730947.0,4198566780.0,0.61,-13.21,-19.65,-238.97,1.84,2.1095833333333336,-12.778984791625525,True,2026-07-17,308.43736470627925,0.61,98.71134020618557,4.784920251329145,True,2026-07-17,5583730947.0,,,,正常,0.61,3.804347826086956,True,2025-12-11,,房地产开发,,,
000726,鲁  泰Ａ,5.78,-0.86,-0.05,59500.0,34822751.0,3.09,1.01,12.61,1.14,5.93,5.75,5.83,5.83,4725298008.0,3406364826.0,0.49,-11.62,-17.07,8.77,5.78,6.661916666666667,-13.238182204820937,True,2026-07-17,8.77,0.49,14.789753504108266,2.899951667472209,True,2026-07-17,4725298008.0,,,,正常,0.49,4.325259515570934,True,2026-06-18,,棉纺,,,
000786,北新建材,18.53,0.71,0.13,278701.0,519662944.1,4.89,1.65,9.81,1.06,19.02,18.12,18.39,18.4,31542433858.0,31306580312.0,1.18,-25.88,-23.71,11.0,18.53,24.331416666666666,-23.84331642560886,True,2026-07-17,11.0,1.18,8.782144590004853,0.8733624454148471,True,2026-07-17,31542433858.0,,,,正常,1.18,3.69670804101457,True,2026-06-12,,其他建材,,,
000789,万年青,4.02,-1.47,-0.06,54015.0,21996485.2,3.68,0.68,-39.69,1.08,4.15,4.0,4.07,4.08,3205629264.0,3205629264.0,0.51,-18.62,-21.02,-120.88,4.02,4.947666666666667,-18.749578926093115,True,2026-07-17,112.12195826899006,0.51,92.07349081364829,1.2566457225712904,True,2026-07-17,3205629264.0,,,,正常,0.51,3.73134328358209,True,2026-06-12,,水泥制造,,,
000795,英洛华,8.15,-1.09,-0.09,172675.0,141943924.23,2.43,1.55,32.8,0.88,8.32,8.12,8.23,8.24,9097443319.0,9097429570.0,3.52,-12.46,-17.26,36.32,8.15,9.454416666666669,-13.796902682167966,True,2026-07-17,36.32,3.52,6.941747572815533,75.72815533980582,True,2026-07-17,9097443319.0,,,,正常,3.52,3.226993865030675,True,2026-06-03,,磁性材料,,,
000858,五 粮 液,72.76,-1.54,-1.14,427399.0,3130971198.3,3.67,1.1,8.76,0.94,75.06,72.35,74.6,73.9,282425798444.0,282418914329.0,2.39,-26.33,-29.61,22.41,72.76,92.97658333333334,-21.74373655015286,True,2026-07-17,22.41,2.39,30.17865765330758,1.158860453887011,True,2026-07-17,282425798444.0,,,,正常,2.39,7.088627267729522,True,2026-07-16,,白酒Ⅲ,,,
000897,津滨发展,1.7,-2.3,-0.04,305391.0,52983959.6,4.6,1.89,-428.69,0.97,1.78,1.7,1.74,1.74,2749362798.0,2749309078.0,0.91,-19.43,-25.44,-47.14,1.7,2.04725,-16.961777994871174,True,2026-07-17,18.119442046919428,0.91,68.87287024901704,0.6295399515738499,True,2026-07-17,2749362798.0,,,,正常,0.91,5.588235294117648,True,2025-07-28,,房地产开发,,,
000899,赣能股份,10.7,9.97,0.97,381125.0,397280439.37,10.48,3.91,12.92,3.86,10.7,9.68,9.72,9.73,10439752032.0,10439752032.0,1.71,-16.86,14.68,10.28,10.7,11.930499999999999,-10.313901345291477,True,2026-07-17,10.28,1.71,2.089378990133488,81.37254901960785,True,2026-07-17,10439752032.0,,,,正常,1.71,5.299065420560748,True,2026-06-15,,火电,,,
