代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格估值错误,市净率,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
600612,老凤祥,39.16,-0.58,-0.23,5476.0,21464641.0,0.86,0.17,9.36,0.77,39.4,39.06,39.3,39.39,20485291638.0,12418013111.0,1.49,-14.74,-11.94,12.13,39.16,43.81166666666666,-10.61741545250503,True,2026-05-08,12.13,1.49,7.121661721068249,0.04945598417408506,True,2026-05-08,20485291638.0,,1.49,5.234933605720123,True,2025-09-26,,未知,"HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Read timed out. (read timeout=10)"
600690,海尔智家,21.38,-0.28,-0.06,199701.0,427566212.0,1.03,0.32,10.78,0.56,21.54,21.32,21.44,21.44,200493721917.0,133689747427.0,1.6,-14.85,-18.05,10.71,21.38,24.989416666666667,-14.443781200708305,True,2026-05-08,10.71,1.6,1.8793273986152326,0.8902077151335311,True,2026-05-08,200493721917.0,,1.6,5.77287184284378,True,2025-11-07,,白色家电,
600729,重庆百货,21.22,-0.75,-0.16,12777.0,27164886.0,1.26,0.66,8.38,0.81,21.45,21.18,21.33,21.38,9346414294.0,4084485950.0,1.15,-13.74,-17.88,11.0,21.22,24.72958333333333,-14.19184175498306,True,2026-05-08,11.0,1.15,46.93372898120673,0.791295746785361,True,2026-05-08,9346414294.0,,1.15,7.168049010367579,True,2026-01-16,,一般零售,
600866,星湖科技,5.92,1.89,0.11,257368.0,152541589.0,3.79,2.05,-52.44,1.46,6.04,5.82,5.84,5.81,9835917887.0,7434154398.0,1.2,-20.22,-14.82,21.48,5.92,7.10175,-16.640264723483643,True,2026-05-08,21.48,1.2,51.71014492753623,9.050445103857568,True,2026-05-08,9835917887.0,,1.2,6.418918918918918,True,2025-06-23,,化学制品,
600873,梅花生物,9.45,-0.32,-0.03,165039.0,156250298.0,0.95,0.59,56.18,0.8,9.52,9.43,9.5,9.48,26500083593.0,26500083593.0,1.61,-14.17,-6.71,11.13,9.45,10.787916666666666,-12.401992970530296,True,2026-05-08,11.13,1.61,51.137487636003954,20.079129574678536,True,2026-05-08,26500083593.0,,1.61,4.507619047619047,True,2025-05-23,,化学制品,
600970,中材国际,9.22,-3.66,-0.35,358285.0,333729921.0,2.93,1.37,13.29,1.86,9.5,9.22,9.4,9.57,24173176011.0,24173115159.0,1.03,-19.26,-11.26,9.11,9.22,10.27275,-10.247986177021728,True,2026-05-08,9.11,1.03,40.603363006923836,5.489614243323442,True,2026-05-08,24173176011.0,,1.03,4.8806941431670285,True,2025-06-12,,专业工程,
600983,惠而浦,9.3,-0.32,-0.03,28047.0,25897961.0,1.61,0.37,18.72,1.17,9.32,9.17,9.27,9.33,7127882700.0,7127882700.0,2.32,-16.89,-2.72,14.28,9.3,10.604416666666669,-12.300692321595575,True,2026-05-08,14.28,2.32,7.804370447450572,74.97527200791295,True,2026-05-08,7127882700.0,,2.32,3.1182795698924726,True,2025-06-27,,白色家电,
601019,山东出版,7.56,0.0,0.0,76042.0,57810842.0,1.59,0.36,12.01,1.2,7.66,7.54,7.54,7.56,15776964000.0,15776964000.0,1.0,-17.74,-12.5,13.38,7.56,8.669416666666667,-12.79690098334183,True,2026-05-08,13.38,1.0,86.89416419386747,6.973293768545995,True,2026-05-08,15776964000.0,,1.0,4.894179894179895,True,2025-10-13,,出版,
601567,三星电气,19.54,-3.6,-0.73,219634.0,434959832.0,3.85,1.56,41.02,1.29,20.28,19.5,20.28,20.27,27457791676.0,27457791676.0,2.35,-17.31,-15.12,28.84,19.54,25.120166666666666,-22.21389189296781,True,2026-05-08,28.84,2.35,96.78536102868446,63.94658753709199,False,2026-05-08,27457791676.0,,2.35,7.036847492323439,True,2025-10-20,,电网设备,
601717,中创智领,18.09,-0.88,-0.16,95314.0,172550474.0,0.99,0.62,9.05,0.54,18.21,18.03,18.2,18.25,32297884734.0,27897778056.0,1.29,-26.82,-26.31,7.88,18.09,23.004583333333336,-21.363496404701976,True,2026-05-08,7.88,1.29,17.408506429277942,56.6271018793274,True,2026-05-08,32297884734.0,,1.29,6.191265892758429,True,2025-07-25,,专用设备,
601766,中国中车,5.9,-0.67,-0.04,1006754.0,594416904.0,1.18,0.41,12.53,0.83,5.95,5.88,5.95,5.94,169323298119.0,143534008483.0,0.96,-6.5,-13.49,12.54,5.9,6.653249999999999,-11.32153458835905,True,2026-05-08,12.54,0.96,2.324431256181998,4.253214638971316,True,2026-05-08,169323298119.0,,0.96,5.423728813559322,True,2025-11-20,,轨交设备Ⅱ,
601800,中国交建,6.92,-0.29,-0.02,249743.0,172841885.0,0.58,0.21,6.86,0.93,6.94,6.9,6.93,6.94,112620538037.0,81543418693.0,0.39,-15.2,-14.78,8.41,6.92,8.121083333333333,-14.789693493273681,True,2026-05-08,8.41,0.39,74.13452027695351,0.1483679525222552,True,2026-05-08,112620538037.0,,0.39,4.037716763005781,True,2026-01-09,,基础建设,
