代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
000028,国药一致,19.98,19.97,19.98,19.95,19.94,20.0,19.81,1498807.0,29863656.0,0.15,0.03,19.98,22.91408333333333,-12.804716168004383,True,2026-08-28,11.1687610619469,0.6581415929203541,31.781084973595775,0.8641382621219394,True,2026-08-28,12232187248.752214,,,,正常,12232187248.752214,3.0830830830830833,True,2026-06-24,,医药流通,
000030,富奥股份,4.06,4.06,4.07,4.24,4.12,4.13,3.98,27194450.0,109745378.0,-4.245,-0.18,4.06,4.6209999999999996,-12.140229387578449,True,2026-08-28,10.511105769230758,0.8393269230769232,16.491897044804578,0.6196377502383222,True,2026-08-28,6982432030.504807,,,,正常,6982432030.504807,3.6945812807881775,True,2026-06-26,,底盘与发动机系统,
000157,中联重科,6.82,6.82,6.83,7.09,6.97,6.97,6.77,96812476.0,661881466.0,-3.808,-0.27,6.82,7.726166666666667,-11.728541536337556,True,2026-08-28,13.612864721485405,1.0401856763925723,29.694947569113438,34.50905624404194,True,2026-08-28,58983010309.12205,,,,正常,58983010309.12205,5.865102639296188,True,2026-07-22,,工程机械整机,
000513,丽珠集团,26.76,26.76,26.77,26.27,26.72,26.95,26.47,9307799.0,249050372.0,1.865,0.49,26.76,31.502999999999997,-15.055708980097116,True,2026-08-28,12.103834808259592,1.7980334316617503,9.628217349857007,1.2869399428026693,True,2026-08-28,23760395895.77583,,,,正常,23760395895.77583,5.343796711509716,True,2026-06-16,,化学制剂,
000521,长虹美菱,4.85,4.85,4.86,4.86,4.86,4.87,4.83,3885300.0,18848398.0,-0.206,-0.01,4.85,5.5275,-12.256897331524197,True,2026-08-28,16.704442148760332,0.8517561983471071,38.17330210772833,45.80952380952381,False,2026-08-28,4995130018.150827,,,,正常,4995130018.150827,4.3298969072164954,True,2026-06-23,,冰洗,
000528,柳 工,7.87,7.87,7.88,7.95,7.89,7.9,7.82,27958762.0,219699412.0,-1.006,-0.08,7.87,8.880916666666668,-11.383021647540147,True,2026-08-28,10.290830409356724,0.8744444444444441,17.142857142857142,20.38095238095238,True,2026-08-28,16037748354.504091,,,,正常,16037748354.504091,4.12936213468869,True,2026-06-04,,工程机械整机,
000568,泸州老窖,78.44,78.44,78.45,77.51,77.98,78.83,77.05,10116697.0,791044521.0,1.2,0.93,78.44,91.44933333333333,-14.225727907620978,True,2026-08-28,11.60371034482759,2.235990804597701,1.3333333333333335,0.8095238095238094,True,2026-08-28,115455950757.71996,,,,正常,115455950757.71996,7.362470040795512,True,2026-08-28,,白酒Ⅲ,
000600,建投能源,8.0,8.0,8.01,7.97,7.95,8.03,7.89,17738351.0,141333239.0,0.376,0.03,8.0,9.313666666666666,-14.104720661393644,True,2026-08-28,7.091334894613587,1.189695550351289,0.7411982705373688,82.06997084548105,True,2026-08-28,14425875007.962524,,,,正常,14425875007.962524,4.0,True,2026-06-03,,火电,
000683,博源化工,6.36,6.35,6.36,6.22,6.2,6.43,6.13,88027838.0,552451887.0,2.251,0.14,6.36,7.2653333333333325,-12.461002018719014,True,2026-08-28,23.106985645933023,1.9881339712918675,84.5360824742268,75.43103448275862,False,2026-08-28,23639048721.39712,,,,正常,23639048721.39712,4.716981132075471,True,2026-07-07,,纯碱,
000786,北新建材,17.7,17.7,17.71,17.68,17.6,17.97,17.51,17629504.0,311884862.0,0.113,0.02,17.7,22.074499999999997,-19.816983397132425,True,2026-08-28,10.508532249873031,1.1236668359573392,6.507177033492822,0.6220095693779905,True,2026-08-28,30129577943.41798,,,,正常,30129577943.41798,3.870056497175141,True,2026-06-12,,其他建材,
000858,五 粮 液,71.51,71.51,71.52,71.12,71.12,71.69,70.93,23036495.0,1643217893.0,0.548,0.39,71.51,85.61258333333332,-16.47255903775825,True,2026-08-28,22.026609625668456,2.3517994652406444,28.047619047619047,1.2380952380952381,True,2026-08-28,277573788437.5502,,,,正常,277573788437.5502,7.212536987833869,True,2026-07-16,,白酒Ⅲ,
000899,赣能股份,9.65,9.65,9.66,9.68,9.7,9.71,9.62,5735703.0,55364632.0,-0.31,-0.03,9.65,11.8265,-18.40358516890034,True,2026-08-28,9.272831267874164,1.5454718779790273,0.45662100456621,67.81053649105849,True,2026-08-28,9415290383.632038,,,,正常,9415290383.632038,5.875647668393782,True,2026-06-15,,火电,
000910,大亚圣象,5.51,5.51,5.52,5.42,5.42,5.54,5.4,5552800.0,30460268.0,1.661,0.09,5.51,6.154,-10.464738381540462,True,2026-08-28,226.14918573102844,0.4637675350701394,97.51196172248804,2.380952380952381,True,2026-08-28,3016160225.0,,,,正常,3016160225.0,3.4482758620689653,True,2026-05-15,,瓷砖地板,
000915,华特达因,25.04,25.03,25.04,24.87,24.82,25.1,24.77,2470557.0,61664734.0,0.684,0.17,25.04,28.03891666666667,-10.695551123884373,True,2026-08-28,12.664942115768469,2.349061876247506,7.908527870414483,17.627441638875656,True,2026-08-28,5867660384.150102,,,,正常,5867660384.150102,9.984025559105431,True,2026-07-01,,化学制剂,
