代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,振幅,换手率,市盈率-动态,量比,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,市净率_y
000030,富奥股份,4.29,4.29,4.3,4.31,4.31,4.35,4.25,8665377.0,37181600.0,-0.464,-0.02,4.29,4.778333333333332,-10.21974189047783,True,2026-08-05,11.106562499999995,0.886875,23.679154658981748,1.8251681075888568,True,2026-08-05,7377988524.84375,,,,正常,7377988524.84375,3.4965034965034962,True,2026-06-26,,底盘与发动机系统,,,,,,,,,,,
000411,英特集团,9.52,9.51,9.52,9.6,9.6,9.63,9.47,3775240.0,36026742.0,-0.833,-0.08,9.52,10.747166666666667,-11.418513406634311,True,2026-08-05,11.188034188034193,1.0374358974358973,10.222868217054264,1.8410852713178296,True,2026-08-05,5377363870.367521,,,,正常,5377363870.367521,3.7184873949579833,True,2026-07-10,,医药流通,,,,,,,,,,,
000419,通程控股,4.89,4.89,4.9,4.9,4.93,4.96,4.83,7377600.0,36060260.0,-0.204,-0.01,4.89,5.466583333333333,-10.54741688135491,True,2026-08-05,18.642473347547963,0.7819829424307033,52.017291066282425,19.6926032660903,True,2026-08-05,2658119183.002133,,,,正常,2658119183.002133,3.067484662576687,True,2025-08-08,,多业态零售,,,,,,,,,,,
000521,长虹美菱,4.98,4.97,4.98,5.01,5.01,5.02,4.95,8824737.0,43937738.0,-0.599,-0.03,4.98,5.746583333333334,-13.339810612102843,True,2026-08-05,17.15219008264463,0.874586776859504,38.82978723404255,49.520153550863725,False,2026-08-05,5129020101.111571,,,,正常,5129020101.111571,4.216867469879518,True,2026-06-23,,冰洗,,,,,,,,,,,
000581,威孚高科,17.66,17.66,17.67,17.68,17.7,17.76,17.58,6440583.0,113819072.0,-0.113,-0.02,17.66,19.750083333333336,-10.582655769384953,True,2026-08-05,15.687450292397658,0.8675087719298245,92.05128205128204,8.99854862119013,True,2026-08-05,17073435338.07018,,,,正常,17073435338.07018,4.530011325028313,True,2026-07-15,,底盘与发动机系统,,,,,,,,,,,
000655,金岭矿业,6.88,6.88,6.89,6.86,6.84,6.94,6.81,5392500.0,37050967.0,0.292,0.02,6.88,8.121500000000001,-15.286584990457442,True,2026-08-05,16.116452599388378,1.1887461773700303,18.44602609727165,27.49520153550864,True,2026-08-05,4095940782.1896014,,,,正常,4095940782.1896014,3.2848837209302326,True,2026-06-25,,铁矿石,,,,,,,,,,,
000683,博源化工,5.96,5.96,5.97,5.94,5.94,6.06,5.87,107204174.0,640285302.0,0.337,0.02,5.96,7.646083333333333,-22.051595043213844,True,2026-08-05,21.653716108452954,1.8630940988835725,82.38045738045739,67.71235521235522,False,2026-08-05,22152316097.40989,,,,正常,22152316097.40989,5.033557046979865,True,2026-07-07,,纯碱,,,,,,,,,,,
000786,北新建材,18.69,18.69,18.7,18.83,18.81,18.93,18.51,24230235.0,452281566.0,-0.743,-0.14,18.69,23.449583333333337,-20.29709127738588,True,2026-08-05,11.096297613001523,1.1865159979685125,9.257473481195758,0.9643201542912248,True,2026-08-05,31814791624.998997,,,,正常,31814791624.998997,3.665061530230069,True,2026-06-12,,其他建材,,,,,,,,,,,
000789,万年青,4.07,4.07,4.08,4.1,4.1,4.12,4.05,3185600.0,12976601.0,-0.732,-0.03,4.07,4.785083333333333,-14.94401003117325,True,2026-08-05,111.8471495477425,0.5113589743589744,91.8580375782881,1.8731988472622478,True,2026-08-05,3245500275.571795,,,,正常,3245500275.571795,3.6855036855036856,True,2026-06-12,,水泥制造,,,,,,,,,,,
000850,华茂股份,4.05,4.04,4.05,4.04,4.04,4.06,3.99,6513200.0,26244095.0,0.248,0.01,4.05,4.514,-10.279131590607005,True,2026-08-05,77.37525,0.8707499999999999,92.37887860642353,59.26103646833013,False,2026-08-05,3821843286.45,,,,正常,3821843286.45,4.938271604938272,True,2026-07-22,,棉纺,,,,,,,,,,,
000858,五 粮 液,75.5,75.5,75.51,76.88,76.89,76.96,75.2,43327258.0,3275120701.0,-1.795,-1.38,75.5,89.83883333333333,-15.960618366593504,True,2026-08-05,23.25561497326203,2.4830213903743323,34.357005758157385,1.9673704414587334,True,2026-08-05,293061404377.50006,,,,正常,293061404377.50006,6.831371125827815,True,2026-07-16,,白酒Ⅲ,,,,,,,,,,,
000910,大亚圣象,5.23,5.23,5.24,5.23,5.25,5.28,5.18,4484111.0,23456923.0,0.0,0.0,5.23,6.453916666666667,-18.96393662762922,True,2026-08-05,214.65703110222856,0.4402004008016031,96.86595949855352,0.7677543186180422,True,2026-08-05,2862888925.0000005,,,,正常,2862888925.0000005,3.6328871892925427,True,2026-05-15,,瓷砖地板,,,,,,,,,,,
000915,华特达因,25.45,25.45,25.46,25.69,25.9,25.9,25.37,2306408.0,58744617.0,-0.934,-0.24,25.45,28.949083333333338,-12.08702635949902,True,2026-08-05,12.872315369261482,2.3875249500998,9.265482477196352,19.299087854056648,True,2026-08-05,5963736292.996009,,,,正常,5963736292.996009,9.82318271119843,True,2026-07-01,,化学制剂,,,,,,,,,,,
000923,河钢资源,14.97,14.96,14.97,14.51,14.55,15.37,14.55,17825045.0,267429550.0,3.17,0.46,14.97,17.126416666666668,-12.591172506410665,True,2026-08-05,21.05471063257066,1.0074024226110363,61.46833013435701,19.769673704414586,True,2026-08-05,9771352545.706596,,,,正常,9771352545.706596,4.008016032064128,True,2026-06-15,,铁矿石,,,,,,,,,,,
000928,中钢国际,5.17,5.17,5.18,5.19,5.21,5.21,5.15,12462495.0,64481780.0,-0.385,-0.02,5.17,6.166833333333333,-16.164427988432738,True,2026-08-05,16.92559523809524,0.8924404761904763,88.22961890979258,1.3024602026049203,True,2026-08-05,7417112690.734125,,,,正常,7417112690.734125,4.061895551257254,True,2026-06-05,,国际工程承包,,,,,,,,,,,
000932,华菱钢铁,3.84,3.84,3.85,3.88,3.89,3.89,3.81,73607628.0,283174347.0,-1.031,-0.04,3.84,4.640083333333334,-17.242865609453872,True,2026-08-05,11.71456,0.4812799999999997,84.30902111324376,2.2552783109404992,True,2026-08-05,26314019174.400005,,,,正常,26314019174.400005,4.166666666666667,True,2026-06-26,,板材,,,,,,,,,,,
000963,华东医药,27.92,27.92,27.93,28.49,28.49,28.5,27.63,34353913.0,957942285.0,-2.001,-0.57,27.92,32.11300000000001,-13.057017407280558,True,2026-08-05,13.984143894846078,1.9797993773780704,5.08637236084453,0.9117082533589251,True,2026-08-05,48964332796.46904,,,,正常,48964332796.46904,3.330945558739255,True,2026-06-10,,化学制剂,,,,,,,,,,,
001206,依依股份,16.27,16.27,16.28,16.27,16.33,16.37,16.11,5429696.0,88248645.0,0.0,0.0,16.27,19.777083333333334,-17.733066470030558,True,2026-08-05,19.21072670807453,1.6573167701863352,22.257300710339383,31.96527229676401,True,2026-08-05,3008222256.362112,,,,正常,3008222256.362112,4.671173939766442,True,2026-05-18,,生活用纸,,,,,,,,,,,
001207,联科科技,15.54,15.54,15.55,15.49,15.49,15.6,15.42,2691640.0,41724401.0,0.323,0.05,15.54,18.302416666666662,-15.093179862404316,True,2026-08-05,17.141286307053942,1.9451867219917005,33.81642512077295,22.705314009661837,True,2026-08-05,4710760541.502075,,,,正常,4710760541.502075,5.148005148005148,True,2026-04-08,,炭黑,,,,,,,,,,,
001323,慕思股份,17.36,17.36,17.37,17.14,17.04,17.36,16.92,4476965.0,76875785.0,1.284,0.22,17.36,21.866666666666667,-20.609756097560982,True,2026-08-05,14.935605381165914,1.8127354260089688,14.859437751004014,4.116465863453815,True,2026-08-05,7553002062.995513,,,,正常,7553002062.995513,8.352534562211982,True,2026-06-08,,成品家居,,,,,,,,,,,
001368,通达创智,21.29,21.27,21.29,21.06,21.2,21.44,21.02,1336669.0,28384464.0,1.092,0.23,21.29,24.921666666666667,-14.57232662342005,True,2026-08-05,23.52707106598985,1.718329949238579,41.70792079207921,28.71287128712871,True,2026-08-05,2408328291.776143,,,,正常,2408328291.776143,3.5227806481916395,True,2026-05-13,,娱乐用品,,,,,,,,,,,
