代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,振幅,换手率,市盈率-动态,量比,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,市净率_y
000028,国药一致,20.22,20.22,20.24,20.18,20.2,20.36,19.87,2781337.0,56078307.0,0.198,0.04,20.22,24.433583333333335,-17.245048652298934,True,2026-07-10,11.30219220779221,0.6722493506493508,33.772571986334796,1.0736944851146901,True,2026-07-10,12379120428.480001,,,,正常,12379120428.480001,3.04648862512364,True,2026-06-24,,医药流通,,,,,,,,,,,
000030,富奥股份,3.98,3.98,3.99,3.94,3.94,4.03,3.88,10621540.0,42149267.0,1.015,0.04,3.98,4.979916666666667,-20.078983918740278,True,2026-07-10,10.311818181818179,0.8241414141414141,14.728682170542637,0.3391472868217054,True,2026-07-10,6844847162.898991,,,,正常,6844847162.898991,3.7688442211055273,True,2026-06-26,,底盘与发动机系统,,,,,,,,,,,
000090,天健集团,3.25,3.24,3.25,3.05,3.05,3.35,3.02,40173309.0,129811478.0,6.557,0.2,3.25,3.620833333333333,-10.241657077100108,True,2026-07-10,38.00080906148869,0.5364077669902911,97.86718371303927,0.58167716917111,True,2026-07-10,6072772660.436893,,,,正常,6072772660.436893,3.076923076923077,True,2025-07-11,,房地产开发,,,,,,,,,,,
000157,中联重科,7.26,7.25,7.26,7.1,7.1,7.33,7.05,71474344.0,516428261.0,2.254,0.16,7.26,8.307833333333333,-12.612594539290223,True,2026-07-10,14.488885714285715,1.078628571428572,33.28488372093023,43.9437984496124,False,2026-07-10,62788365813.36001,,,,正常,62788365813.36001,6.887052341597796,True,2026-01-09,,工程机械整机,,,,,,,,,,,
000408,藏格矿业,69.3,69.3,69.32,68.84,69.41,72.05,68.26,18445198.0,1291695539.0,0.668,0.46,69.3,81.10124999999998,-14.551255375225391,True,2026-07-10,23.23862704918033,7.110553278688523,52.43073706220596,93.21533923303835,False,2026-07-10,108725792451.91599,,,,正常,108725792451.91599,3.6075036075036078,True,2026-04-17,,钾肥,,,,,,,,,,,
000411,英特集团,9.31,9.31,9.32,9.1,9.13,9.37,9.01,4978847.0,46112114.0,2.308,0.21,9.31,11.30375,-17.637952007077295,True,2026-07-10,10.941752688172043,0.9710430107526881,7.380254154447703,0.2932551319648094,True,2026-07-10,5258745549.460217,,,,正常,5258745549.460217,3.802363050483351,True,2026-07-10,,医药流通,,,,,,,,,,,
000419,通程控股,4.68,4.68,4.69,4.61,4.6,4.74,4.53,9357939.0,43802549.0,1.518,0.07,4.68,5.728083333333332,-18.297278030754892,True,2026-07-10,17.8462660944206,0.743175965665236,44.28294573643411,8.624031007751938,True,2026-07-10,2543966825.0987124,,,,正常,2543966825.0987124,3.2051282051282057,True,2025-08-08,,多业态零售,,,,,,,,,,,
000498,山东路桥,4.87,4.87,4.88,4.85,4.86,4.89,4.77,7616934.0,36869043.0,0.412,0.02,4.87,5.670166666666668,-14.111872079010034,True,2026-07-10,3.521694214876032,0.4628512396694215,3.732428502181289,0.4362578768783325,True,2026-07-10,7560392656.719008,,,,正常,7560392656.719008,8.049279260780287,True,2026-07-06,,基建市政工程,,,,,,,,,,,
000528,柳 工,7.9,7.9,7.91,7.9,7.86,8.0,7.7,29285867.0,230250131.0,0.0,0.0,7.9,9.816083333333333,-19.519835643883752,True,2026-07-10,10.325259067357512,0.8800518134715025,17.81219748305905,21.53920619554695,True,2026-07-10,16094293091.204664,,,,正常,16094293091.204664,4.113681012658227,True,2026-06-04,,工程机械整机,,,,,,,,,,,
000544,中原环保,7.07,7.06,7.07,7.08,7.08,7.14,6.98,6187150.0,43706717.0,-0.141,-0.01,7.07,8.2555,-14.360123553994297,True,2026-07-10,6.474213483146068,0.7546629213483146,0.14677103718199608,3.0821917808219177,True,2026-07-10,6891019330.596909,,,,正常,6891019330.596909,3.818953323903819,True,2026-06-18,,水务及水治理,,,,,,,,,,,
