代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,振幅,换手率,市盈率-动态,量比,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,市净率_y
000661,长春高新,68.96,68.95,68.96,69.11,69.93,70.38,68.12,8128111.0,561812754.0,-0.217,-0.15,68.96,84.67516666666667,-18.55935722988441,True,2026-07-03,29.33245320038054,1.2659513305820405,48.94865525672372,0.9722897423432183,True,2026-07-03,28131372000.00684,,,,正常,28131372000.00684,4.00232018561485,True,2026-05-25,,其他生物制品,,,,,,,,,,,
000708,中信特钢,13.12,13.12,13.13,12.87,12.96,13.23,12.88,12871190.0,168759811.0,1.943,0.25,13.12,15.102833333333333,-13.12888310140482,True,2026-07-03,10.929905956112854,1.5628840125391852,13.875365141187926,29.84420642648491,True,2026-07-03,66218721199.072105,,,,正常,66218721199.072105,4.922221036585366,True,2026-05-21,,特钢Ⅲ,,,,,,,,,,,
000718,苏宁环球,1.76,1.76,1.77,1.74,1.74,1.78,1.73,28560512.0,50245528.0,1.149,0.02,1.76,2.1564166666666664,-18.38312014530277,True,2026-07-03,287.2220962344188,0.58,98.34282755049198,3.5454103933948518,True,2026-07-03,5340960036.0,,,,正常,5340960036.0,3.9772727272727266,True,2025-12-11,,房地产开发,,,,,,,,,,,
000719,中原传媒,11.36,11.36,11.37,11.3,11.2,11.59,11.18,6027034.0,68619093.0,0.531,0.06,11.36,12.981166666666667,-12.48860528714677,True,2026-07-03,8.438857142857145,0.9946543778801842,29.092702169625245,58.97435897435898,True,2026-07-03,11623594589.006453,,,,正常,11623594589.006453,5.809859154929577,True,2026-07-01,,大众出版,,,,,,,,,,,
000726,鲁 泰Ａ,5.7,5.7,5.71,5.69,5.71,5.77,5.65,4456016.0,25414251.0,0.176,0.01,5.7,6.78625,-16.006631055442988,True,2026-07-03,8.646524064171123,0.4775401069518715,13.647401651287034,1.4084507042253522,True,2026-07-03,4659895959.625669,,,,正常,4659895959.625669,4.385964912280701,True,2026-06-18,,棉纺,,,,,,,,,,,
000755,山西高速,4.54,4.54,4.55,4.42,4.4,4.57,4.4,5581593.0,25283360.0,2.715,0.12,4.54,5.117333333333334,-11.281917665450758,True,2026-07-03,14.165219399538108,1.2477136258660506,31.329288472145617,7.051909892262488,True,2026-07-03,6661588290.175519,,,,正常,6661588290.175519,4.405286343612335,True,2026-06-24,,高速公路,,,,,,,,,,,
000786,北新建材,18.1,18.1,18.11,18.25,18.22,18.47,17.92,21989281.0,398975121.0,-0.822,-0.15,18.1,24.993666666666666,-27.581654019018142,True,2026-07-03,10.740659340659343,1.1536263736263734,7.069722086786934,0.29254022428083865,True,2026-07-03,30810472359.802204,,,,正常,30810472359.802204,3.7845303867403306,True,2026-06-12,,其他建材,,,,,,,,,,,
000788,北大医药,5.25,5.25,5.26,5.19,5.25,5.31,5.14,14222148.0,74265129.0,1.156,0.06,5.25,5.943583333333334,-11.669447443321236,True,2026-07-03,48.70605468749999,2.10205078125,24.101068999028183,3.9844509232264333,True,2026-07-03,3128933981.25,,,,正常,3128933981.25,3.7714285714285714,True,2026-03-10,,化学制剂,,,,,,,,,,,
000789,万年青,3.94,3.93,3.94,3.88,3.9,3.99,3.89,3504200.0,13844659.0,1.546,0.06,3.94,5.064416666666667,-22.202293781778103,True,2026-07-03,108.2746361715247,0.4988630490956072,91.93037974683544,0.4371053909664886,True,2026-07-03,3141835647.049096,,,,正常,3141835647.049096,7.614213197969542,True,2026-06-12,,水泥制造,,,,,,,,,,,
000858,五 粮 液,73.21,73.2,73.21,73.5,73.64,74.71,72.6,33825035.0,2488093357.0,-0.395,-0.29,73.21,95.82816666666666,-23.602837718207414,True,2026-07-03,22.556382179280728,2.22027106816962,30.761766132945173,0.1455604075691412,True,2026-07-03,284172522046.443,,,,正常,284172522046.443,7.850020489004235,True,2025-12-18,,白酒Ⅲ,,,,,,,,,,,
