代码,名称,所属行业,现价,半年线,半年线乖离率,股息率,市盈率,市盈率10年分位,市净率,市净率10年分位,总市值,估值数据日期,股息数据日期,价格数据日期
000030,富奥股份,底盘与发动机系统,4.18,4.919750000000001,-15.036333147009529,3.588516746411483,10.829999999999997,19.623006283228612,0.8655555555555553,1.0633156114064766,7188809331.888888,2026-07-17,2026-06-26,2026-07-17
000157,中联重科,工程机械整机,7.19,8.243166666666665,-12.776238904951553,6.954102920723226,14.34918571428572,32.62445625906235,1.068228571428572,41.75930401159981,62182968346.84,2026-07-17,2026-01-09,2026-07-17
000408,藏格矿业,钾肥,68.6,80.38283333333332,-14.658395138265423,3.6443148688046647,23.00389344262296,52.13764337851929,7.038729508196722,92.69249632172634,107627552124.11888,2026-07-17,2026-04-17,2026-07-17
000411,英特集团,医药流通,9.4,11.143083333333331,-15.642738021343572,3.76595744680851,11.047526881720431,8.239882983910288,0.9804301075268812,0.48756704046806437,5309581972.602152,2026-07-17,2026-07-10,2026-07-17
000419,通程控股,多业态零售,4.76,5.660749999999999,-15.912202446672252,3.1512605042016806,18.151330472103,47.46254229096182,0.7558798283261802,12.034799420009666,2587453437.493562,2026-07-17,2025-08-08,2026-07-17
000498,山东路桥,基建市政工程,5.04,5.623666666666666,-10.378756445972371,7.777775793650793,3.6446280991735525,8.413926499032883,0.47900826446280986,1.402321083172147,7824307800.793392,2026-07-17,2026-07-06,2026-07-17
000521,长虹美菱,冰洗,5.03,5.9384999999999994,-15.298476046139587,4.174950298210735,17.322747068676712,38.71351995235259,0.8762479061976548,49.6861419604056,5180516286.829146,2026-07-17,2026-06-23,2026-07-17
000528,柳 工,工程机械整机,8.06,9.667166666666668,-16.625002155060955,4.032019851116624,10.534378238341969,19.410912602607436,0.8978756476683938,23.515210043457266,16420253457.608809,2026-07-17,2026-06-04,2026-07-17
000568,泸州老窖,白酒Ⅲ,82.46,98.14200000000001,-15.97888773409959,7.215619694397284,12.20298025134649,4.200869145340415,2.3475403949730698,0.9657170449058425,121372994639.25488,2026-07-17,2026-01-30,2026-07-17
000581,威孚高科,底盘与发动机系统,16.72,20.189,-17.18262420129775,4.784688995215312,14.857934218118883,89.93288590604027,0.8007847663012116,1.4605647517039921,16164656787.259085,2026-07-17,2026-07-15,2026-07-17
000596,古井贡酒,白酒Ⅲ,85.3,103.58891666666665,-17.655283263090393,5.158264947245018,15.95853172130125,12.264606470304201,1.7223731771157922,1.0622887493964268,45089580000.00001,2026-07-17,2026-07-17,2026-07-17
000600,建投能源,火电,8.16,9.353083333333334,-12.75604301611768,3.9215686274509802,7.231419939577041,0.44025157232704404,1.175105740181269,81.91227205519961,14714392508.422966,2026-07-17,2026-06-03,2026-07-17
000612,焦作万方,铝,10.29,12.273833333333334,-16.163111225778426,3.15840621963071,8.63503311258278,1.255980861244019,1.6744370860927145,72.36842105263158,12267731764.66887,2026-07-17,2026-05-26,2026-07-17
000625,长安汽车,综合乘用车,7.11,9.396416666666669,-24.33285738357709,6.495400843881857,22.931974965229493,58.01860974274767,0.9097635605006962,15.21004345726702,70480758446.16132,2026-07-17,2026-07-16,2026-07-17
000655,金岭矿业,铁矿石,6.5,8.542666666666666,-23.91134696425783,5.1692307692307695,15.223950233281492,12.61207411835027,1.1220839813374808,19.652341863833897,3869711495.101089,2026-07-17,2026-06-25,2026-07-17
000683,博源化工,纯碱,5.69,7.90425,-28.01341050700572,5.272407732864674,20.668803418803417,80.84772370486655,1.7799487179487188,63.76881981544439,21148771576.4,2026-07-17,2026-07-07,2026-07-17
000708,中信特钢,特钢Ⅲ,13.39,14.918416666666667,-10.24516676814452,4.8229678864824495,11.154835423197502,17.829457364341085,1.595047021943574,32.412790697674424,67581454028.626175,2026-07-17,2026-05-21,2026-07-17
000718,苏宁环球,房地产开发,1.84,2.1095833333333336,-12.778984791625525,3.804347826086956,300.27764606325604,98.40288511076764,0.6063636363636363,4.736587723537941,5583730946.727272,2026-07-17,2025-12-11,2026-07-17
000726,鲁 泰Ａ,棉纺,5.78,6.661916666666667,-13.238182204820937,4.325259515570934,8.767878787878788,14.789753504108266,0.4842424242424237,2.319961333977767,4725298008.181818,2026-07-17,2026-06-18,2026-07-17
000786,北新建材,其他建材,18.53,24.331416666666666,-23.84331642560886,3.69670804101457,10.995824175824184,8.782144590004853,1.1810329670329665,0.8733624454148471,31542433857.85276,2026-07-17,2026-06-12,2026-07-17
000789,万年青,水泥制造,4.02,4.947666666666667,-18.749578926093115,3.73134328358209,110.4731059415049,91.9202518363064,0.5089922480620152,1.2566457225712904,3205629264.248062,2026-07-17,2026-06-12,2026-07-17
000795,英洛华,磁性材料,8.15,9.454416666666669,-13.796902682167966,3.226993865030675,36.324002100840325,6.941747572815533,3.5271008403361344,76.01941747572816,9097443318.860294,2026-07-17,2026-06-03,2026-07-17
000858,五 粮 液,白酒Ⅲ,72.76,92.97658333333334,-21.74373655015286,11.44404233095107,22.41773483628556,30.17865765330758,2.2066237251744507,0.1931434089811685,282425798444.1906,2026-07-17,2026-07-16,2026-07-17
000897,津滨发展,房地产开发,1.7,2.04725,-16.961777994871174,5.588235294117648,17.702903149289096,68.04191224623445,0.9153846153846152,0.6779661016949152,2749362797.33728,2026-07-17,2025-07-28,2026-07-17
000899,赣能股份,火电,10.7,11.930499999999999,-10.313901345291477,5.299065420560748,10.2839481555334,2.089378990133488,1.7068793619142564,81.22549019607843,10439752032.21337,2026-07-17,2026-06-15,2026-07-17
