日期,阶段,代码,名称,错误,建议重试
2026-05-25,估值字段,688031,星环科技,估值字段仍缺失：PE分位,否
2026-05-25,估值字段,688062,迈威生物,估值字段仍缺失：PE分位,否
2026-05-25,估值字段,688192,迪哲医药,估值字段仍缺失：PE分位,否
2026-05-25,估值字段,688373,盟科药业,估值字段仍缺失：PE分位,否
2026-05-25,估值字段,688382,益方生物,估值字段仍缺失：PE分位,否
2026-05-25,估值字段,688538,和辉光电,估值字段仍缺失：PE分位,否
2026-05-25,估值字段,688759,必贝特,估值字段仍缺失：PE分位,否
2026-05-25,估值字段,688765,禾元生物,估值字段仍缺失：PE分位,否
2026-05-25,行业,603187,海容冷链,所属行业批量超时,是
2026-05-25,行业,603202,天有为,所属行业批量超时,是
2026-05-25,行业,603207,小方制药,所属行业批量超时,是
2026-05-25,行业,603230,内蒙新华,所属行业批量超时,是
2026-05-25,行业,603277,银都股份,所属行业批量超时,是
2026-05-25,行业,603279,景津装备,所属行业批量超时,是
2026-05-25,行业,603326,我乐家居,所属行业批量超时,是
2026-05-25,行业,603357,设计总院,所属行业批量超时,是
2026-05-25,行业,603369,今世缘,所属行业批量超时,是
2026-05-25,行业,603408,建霖家居,所属行业批量超时,是
2026-05-25,行业,603444,吉比特,所属行业批量超时,是
2026-05-25,行业,603456,九洲药业,所属行业批量超时,是
2026-05-25,行业,603529,爱玛科技,所属行业批量超时,是
2026-05-25,行业,603566,普莱柯,所属行业批量超时,是
2026-05-25,行业,603569,长久物流,所属行业批量超时,是
2026-05-25,行业,603589,口子窖,所属行业批量超时,是
2026-05-25,行业,603605,珀莱雅,所属行业批量超时,是
2026-05-25,行业,603611,诺力股份,所属行业批量超时,是
2026-05-25,行业,603639,海利尔,所属行业批量超时,是
2026-05-25,行业,603676,卫信康,所属行业批量超时,是
2026-05-25,行业,603801,志邦家居,所属行业批量超时,是
2026-05-25,行业,603816,顾家家居,所属行业批量超时,是
2026-05-25,行业,603833,欧派家居,所属行业批量超时,是
2026-05-25,行业,603871,嘉友国际,所属行业批量超时,是
2026-05-25,行业,603886,元祖股份,所属行业批量超时,是
2026-05-25,行业,603899,晨光股份,所属行业批量超时,是
2026-05-25,行业,603983,丸美生物,所属行业批量超时,是
2026-05-25,行业,605009,豪悦护理,所属行业批量超时,是
2026-05-25,行业,605028,世茂能源,所属行业批量超时,是
2026-05-25,行业,605050,福然德,所属行业批量超时,是
2026-05-25,行业,605337,李子园,所属行业批量超时,是
2026-05-25,行业,605338,巴比食品,所属行业批量超时,是
2026-05-25,行业,605368,蓝天燃气,所属行业批量超时,是
2026-05-25,行业,605499,东鹏饮料,所属行业批量超时,是
2026-05-25,行业,605599,菜百股份,所属行业批量超时,是
2026-05-25,行业,688009,中国通号,所属行业批量超时,是
2026-05-25,行业,688013,天臣医疗,所属行业批量超时,是
2026-05-25,行业,688399,硕世生物,所属行业批量超时,是
2026-05-25,行业,688543,国科军工,所属行业批量超时,是
2026-05-25,行业,688606,奥泰生物,所属行业批量超时,是
2026-05-25,行业,688739,成大生物,所属行业批量超时,是
