代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率,60日涨跌幅,年初至今涨跌幅,市盈率TTM
920992,中科美菱,11.73,-3.69,-0.45,9446.0,11203345.1,4.93,1.93,46.88,0.63,12.2,11.6,12.2,12.18,1134653856.0,574972730.0,1.82,-20.64,-32.2,56.46
920985,海泰新能,4.92,-0.81,-0.04,36781.0,18536166.37,5.24,1.68,-9.88,1.05,5.16,4.9,5.03,4.96,1522622904.0,1079043866.0,2.42,-36.6,-31.57,-2.21
920982,锦波生物,126.82,-5.84,-7.87,11166.0,144863930.9,6.6,2.01,25.97,1.14,135.67,126.78,135.67,134.69,14592586419.0,7034084743.0,7.38,-18.9,-45.62,23.38
920981,晶赛科技,46.3,1.94,0.88,100233.0,493990259.05,16.51,26.06,222.56,1.73,52.99,45.49,47.11,45.42,3540468400.0,1780822871.0,6.91,73.28,44.87,280.15
920978,开特股份,20.46,-0.82,-0.17,22300.0,45453051.97,4.99,2.21,28.14,0.92,20.82,19.79,20.72,20.63,3683382455.0,2065129036.0,4.74,-22.59,-44.22,22.22
920976,视声智能,16.97,-3.03,-0.53,7097.0,12163814.25,5.71,1.61,23.42,0.77,17.83,16.83,17.83,17.5,1204079198.0,748709612.0,4.44,-42.18,-35.62,18.54
920974,凯大催化,6.1,-2.4,-0.15,17196.0,10557290.5,4.64,1.34,19.04,0.8,6.29,6.0,6.27,6.25,999180000.0,783555943.0,1.53,-19.42,-22.69,30.48
920971,天马新材,40.8,-2.06,-0.86,93968.0,391762999.19,9.84,10.96,200.82,0.89,43.3,39.2,40.7,41.66,4241894482.0,3496674322.0,9.4,64.45,33.77,99.87
920970,大禹生物,5.68,8.4,0.44,67940.0,38037803.93,21.37,9.7,-9.03,3.21,6.13,5.01,5.21,5.24,629348544.0,398004984.0,2.56,-16.1,-26.14,-14.29
920964,润农节水,4.41,-2.43,-0.11,20150.0,8959521.06,4.87,1.36,96.8,0.74,4.56,4.34,4.55,4.52,1151927280.0,651344815.0,1.32,-25.76,-34.08,-61.09
920961,创远信科,24.2,10.55,2.31,90741.0,212636010.24,21.2,8.73,-97.71,1.24,25.7,21.06,21.51,21.89,3456740294.0,2515598470.0,4.63,8.86,-14.58,-313.66
920957,汉维科技,8.48,-3.09,-0.27,10610.0,9025512.43,4.69,2.48,51.06,1.18,8.73,8.32,8.68,8.75,909915312.0,362136144.0,2.36,-21.63,-31.78,106.77
920953,国子软件,22.81,-4.96,-1.19,14365.0,33466915.09,6.04,2.4,578.99,0.74,24.25,22.8,23.96,24.0,2922325732.0,1365994026.0,4.85,-20.74,-36.2,48.07
920950,迅安科技,12.28,-5.03,-0.65,5471.0,6767574.87,5.26,1.53,22.65,1.59,12.83,12.15,12.83,12.93,900369600.0,438642828.0,2.97,-19.16,-30.58,22.54
920946,森萱医药,9.32,-3.22,-0.31,34567.0,32801052.47,4.47,0.81,21.14,0.95,9.73,9.3,9.52,9.63,3978878929.0,3977655679.0,3.19,-1.17,-10.3,26.61
920943,优机股份,13.15,-4.01,-0.55,8998.0,11932165.76,5.47,1.74,-42.14,1.09,13.75,13.0,13.71,13.7,1335006121.0,681273004.0,2.11,-32.39,-49.9,27.07
920942,恒立钻具,18.3,-4.14,-0.79,8815.0,16345564.49,5.08,2.13,56.6,0.75,19.26,18.29,19.25,19.09,1119312180.0,757894756.0,2.26,-26.62,-40.43,91.37
920932,科达自控,12.53,-5.51,-0.73,23130.0,29923017.6,6.86,2.65,-60.48,0.78,13.44,12.53,13.24,13.26,1320039886.0,1092535507.0,2.19,-19.42,-41.83,-14.76
920931,无锡鼎邦,9.09,-5.31,-0.51,8760.0,8082244.16,6.77,3.04,77.9,1.43,9.66,9.01,9.54,9.6,853823700.0,261572022.0,2.16,-24.25,-36.39,171.63
920926,鸿智科技,10.11,-4.98,-0.53,5404.0,5553443.55,5.26,0.67,504.35,0.72,10.67,10.11,10.56,10.64,893337161.0,810643852.0,3.51,-27.16,-40.14,42.69
920925,锦好医疗,10.74,-4.53,-0.51,18386.0,20124541.7,4.8,3.33,-39.53,0.93,11.28,10.74,11.25,11.25,1058756106.0,593868869.0,2.87,-35.38,-66.28,199.68
920924,广脉科技,14.79,-3.84,-0.59,12033.0,18012863.58,5.4,1.84,99.83,0.95,15.45,14.62,15.38,15.38,1586915235.0,966853965.0,4.94,-26.31,-29.27,110.78
920914,远航精密,18.65,-7.17,-1.44,24895.0,47870437.57,7.67,2.5,25.51,1.21,20.16,18.62,20.12,20.09,1859087950.0,1857619263.0,1.9,-20.09,-28.95,33.59
920906,舜宇精工,17.53,-3.47,-0.63,7800.0,14009306.85,5.67,2.34,660.83,0.87,18.56,17.53,17.9,18.16,1138924100.0,584725824.0,2.0,-24.44,-39.78,36.19
920896,旺成科技,12.8,-3.32,-0.44,6006.0,7843638.28,5.51,1.35,23.17,0.85,13.53,12.8,13.4,13.24,1295670272.0,568343168.0,3.02,-22.66,-39.79,21.07
