代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率,60日涨跌幅,年初至今涨跌幅,市盈率TTM
920992,中科美菱,11.69,-0.76,-0.09,16518.0,19745656.05,6.11,3.37,46.72,1.05,12.3,11.58,12.25,11.78,1130784618.0,573012038.0,1.82,-26.06,-32.43,56.27
920985,海泰新能,4.55,-0.87,-0.04,39737.0,18253713.33,5.66,1.81,-9.13,1.56,4.74,4.48,4.6,4.59,1408116710.0,997896258.0,2.24,-34.91,-36.72,-2.05
920982,锦波生物,130.19,-5.79,-8.0,24232.0,324219834.54,12.42,4.37,26.66,1.41,143.66,126.5,134.1,138.19,14980356615.0,7221002150.0,7.57,-28.73,-44.17,24.0
920981,晶赛科技,30.57,-5.65,-1.83,24419.0,77532472.32,8.55,6.35,146.95,0.64,33.17,30.4,32.1,32.4,2337626760.0,1175804647.0,4.56,-6.94,-4.35,184.97
920978,开特股份,19.27,-3.17,-0.63,19646.0,38540321.87,7.29,1.95,26.5,1.26,20.4,18.95,19.98,19.9,3469148578.0,1945016448.0,4.46,-32.97,-47.46,20.93
920976,视声智能,15.91,-4.21,-0.7,17365.0,28881180.76,8.07,3.94,21.96,1.95,17.24,15.9,16.3,16.61,1128868594.0,701942836.0,4.16,-49.35,-39.64,17.38
920974,凯大催化,5.91,-1.66,-0.1,12752.0,7595536.39,4.16,0.99,18.44,1.06,6.08,5.83,5.98,6.01,968058000.0,759150103.0,1.49,-24.13,-25.1,29.53
920971,天马新材,25.91,-0.27,-0.07,35923.0,94920160.8,6.2,4.19,127.53,0.87,27.12,25.51,25.79,25.98,2693810932.0,2220559600.0,5.97,-11.27,-15.05,63.42
920970,大禹生物,6.36,-0.63,-0.04,76612.0,49700942.39,13.91,10.93,-10.12,1.38,7.01,6.12,6.28,6.4,704693088.0,445653468.0,2.86,-15.87,-17.3,-16.0
920964,润农节水,4.36,-1.58,-0.07,17770.0,7879662.37,4.29,1.2,95.7,0.6,4.53,4.34,4.44,4.43,1138866880.0,643959953.0,1.3,-28.05,-34.83,-60.4
920961,创远信科,21.02,1.79,0.37,32241.0,67601665.75,5.47,3.1,-84.87,0.79,21.58,20.45,20.5,20.65,3002507478.0,2185036357.0,4.02,-13.78,-25.8,-272.44
920957,汉维科技,9.06,3.19,0.28,31380.0,28720453.88,10.14,7.35,54.56,1.68,9.58,8.69,8.69,8.78,972150086.0,386904890.0,2.52,-21.22,-27.11,114.07
920953,XD国子软,20.48,-5.14,-1.11,16017.0,34143811.5,9.63,2.67,519.84,0.78,22.28,20.2,21.68,21.59,2623815475.0,1226460221.0,4.47,-35.0,-42.5,43.16
920950,迅安科技,12.57,0.56,0.07,3184.0,4035530.76,4.08,0.89,23.18,0.88,12.87,12.36,12.6,12.5,921632400.0,449001657.0,3.04,-21.97,-28.94,23.07
920946,森萱医药,9.61,-5.78,-0.59,59011.0,58134087.56,7.84,1.38,21.8,1.13,10.31,9.51,10.09,10.2,4102685247.0,4101423935.0,3.29,-6.06,-7.51,27.44
920943,优机股份,16.99,5.92,0.95,62915.0,102984195.35,14.46,12.14,-54.44,1.0,17.52,15.2,16.04,16.04,1724848212.0,880215083.0,2.73,-21.81,-35.28,34.98
920942,恒立钻具,16.91,0.77,0.13,9350.0,15940268.78,5.72,2.26,52.3,1.36,17.5,16.54,16.87,16.78,1034293386.0,700327887.0,2.09,-36.9,-44.68,84.43
920932,科达自控,11.1,-3.9,-0.45,22185.0,25542291.11,7.36,2.54,-53.58,1.38,11.85,11.0,11.63,11.55,1169388885.0,967848694.0,1.94,-30.97,-48.47,-13.08
920931,XD无锡鼎,9.28,-0.64,-0.06,4156.0,3894305.89,5.03,1.44,79.53,0.86,9.58,9.11,9.3,9.34,871670400.0,267039424.0,2.23,-25.1,-34.83,175.22
920926,鸿智科技,9.76,-0.41,-0.04,4989.0,4944298.53,5.2,0.62,486.89,0.92,10.11,9.6,9.81,9.8,862410553.0,782580019.0,3.39,-34.14,-42.21,41.22
920925,锦好医疗,11.64,1.22,0.14,41542.0,49751887.02,10.35,7.51,-42.84,1.16,12.66,11.47,11.5,11.5,1147478685.0,643634417.0,3.16,-33.98,-63.4,216.42
920924,广脉科技,13.6,-2.72,-0.38,15510.0,21757947.01,6.8,2.37,91.8,0.78,14.45,13.5,14.29,13.98,1459232400.0,889061118.0,4.55,-38.04,-34.96,101.87
920914,远航精密,16.12,-1.95,-0.32,12031.0,19568966.34,4.87,1.21,22.05,0.76,16.74,15.94,16.68,16.44,1606889960.0,1605620510.0,1.65,-37.42,-38.59,29.04
920906,舜宇精工,16.85,-0.41,-0.07,7527.0,12873738.15,6.03,2.26,635.2,1.1,17.48,16.46,17.2,16.92,1094744500.0,562043933.0,1.92,-31.81,-42.12,34.79
920896,旺成科技,11.8,-2.4,-0.29,4741.0,5729856.79,5.54,1.07,21.36,0.92,12.39,11.72,12.19,12.09,1194446032.0,523941358.0,2.79,-33.56,-43.7,19.43
920895,花溪科技,11.7,-0.17,-0.02,5920.0,6961731.45,8.02,2.06,-69.89,0.9,12.2,11.26,11.65,11.72,661330800.0,336221730.0,3.45,-33.3,-42.82,-186.73
920892,广咨国际,10.53,-0.94,-0.1,6214.0,6526844.74,5.36,0.41,61.06,1.11,10.82,10.25,10.55,10.63,1793799747.0,1588477299.0,5.21,-29.04,-30.31,16.56
920885,星辰科技,11.29,-3.5,-0.41,25002.0,29012589.51,7.01,2.82,815.33,0.47,12.0,11.18,11.68,11.7,1928556671.0,999201083.0,4.8,-48.23,-51.75,68.78
920879,基康技术,13.06,-1.43,-0.19,11099.0,14799635.73,4.98,0.74,40.46,0.83,13.66,13.0,13.42,13.25,2623346711.0,1963057990.0,4.2,-32.65,-26.26,33.1
920876,慧为智能,15.7,-10.13,-1.77,32260.0,54586006.33,14.2,8.22,-97.44,1.92,17.98,15.5,16.94,17.47,1007636346.0,616197509.0,4.02,-37.82,-37.87,561.58
920873,中设咨询,6.31,-1.56,-0.1,20496.0,13426718.44,5.77,1.71,-24.57,1.0,6.54,6.17,6.39,6.41,967871983.0,755978352.0,3.9,-23.24,-18.48,-15.85
920871,派特尔,10.73,1.42,0.15,10969.0,11869427.74,10.02,2.33,52.9,2.33,11.49,10.43,10.58,10.58,910518196.0,504461175.0,3.62,-19.81,-28.47,83.21
920870,恒进感应,11.42,-0.26,-0.03,9835.0,11221136.29,5.76,1.49,62.23,1.03,11.69,11.03,11.52,11.45,1530280000.0,753753118.0,3.44,-23.77,-34.52,83.38
920866,绿亨科技,5.68,-1.73,-0.1,13521.0,7644551.86,4.84,1.18,33.27,0.9,5.82,5.54,5.73,5.78,1023569512.0,648157858.0,1.34,-26.04,-29.53,28.57
920857,泓禧科技,15.48,-16.28,-3.01,43015.0,73025207.69,19.58,5.81,-15.63,1.03,18.68,15.06,18.33,18.49,1145630713.0,1145630713.0,3.36,-38.13,-56.26,-27.11
920856,浩淼科技,8.84,1.49,0.13,19255.0,17192364.36,6.43,3.63,-64.15,1.55,9.17,8.61,8.72,8.71,840919392.0,469050727.0,1.85,-36.49,-46.71,166.09
920855,浙江大农,11.53,-1.03,-0.12,3931.0,4589803.12,4.46,0.59,33.73,1.07,11.95,11.43,11.76,11.65,861675329.0,772935584.0,1.51,-30.16,-35.33,31.71
