代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率,60日涨跌幅,年初至今涨跌幅,市盈率TTM
002462,嘉事堂,13.81,1.54,0.21,19592.0,26928441.66,1.76,0.67,26.45,1.15,13.85,13.61,13.64,13.6,4028475327.0,4025206486.0,0.92,-15.79,-3.83,38.99
002461,珠江啤酒,10.22,-0.97,-0.1,76675.0,78868372.96,2.52,0.35,31.57,0.88,10.44,10.18,10.28,10.32,22620217066.0,22620217066.0,2.02,7.92,10.01,24.43
002460,赣锋锂业,85.05,-3.35,-2.95,560722.0,4887855350.52,5.63,4.63,24.26,1.16,89.95,85.0,87.95,88.0,178323859060.0,103014094132.0,3.84,23.98,35.24,46.85
002459,晶澳科技,10.83,-0.28,-0.03,414242.0,445382393.95,2.3,1.25,-8.4,1.42,10.88,10.63,10.81,10.86,35844191530.0,35801583787.0,1.73,-4.24,-5.41,-8.88
002458,益生股份,11.53,-1.28,-0.15,112357.0,131135945.78,3.94,1.5,30.89,0.95,11.94,11.48,11.7,11.68,12756940910.0,8634456226.0,2.88,19.73,37.59,45.26
002457,青龙管业,11.57,-0.77,-0.09,87851.0,101844783.0,1.89,2.64,-152.12,0.53,11.73,11.51,11.68,11.66,3858442276.0,3855937938.0,1.52,-7.29,5.86,29.99
002456,欧菲光,8.97,-0.22,-0.02,352095.0,315883296.03,1.56,1.06,-30.43,1.03,9.03,8.89,8.93,8.99,30121732271.0,29757041322.0,8.0,-8.09,-15.54,-205.11
002455,百川股份,10.32,-2.27,-0.24,298915.0,311334753.95,2.75,4.52,100.52,0.71,10.6,10.31,10.48,10.56,7455813000.0,6819579561.0,2.72,7.61,43.93,-56.72
002454,松芝股份,9.56,0.0,0.0,84142.0,80588053.8,1.88,1.34,21.04,0.8,9.66,9.48,9.55,9.56,6009240096.0,5993604859.0,1.47,3.35,9.76,26.64
002453,华软科技,6.31,-1.1,-0.07,515905.0,326413933.16,9.09,8.56,-33.46,2.04,6.59,6.01,6.05,6.38,5126036565.0,3802723740.0,6.87,8.61,-0.32,-18.74
002452,长高电新,11.18,0.09,0.01,233864.0,260273123.09,3.13,4.54,30.62,1.65,11.35,11.0,11.31,11.17,6935312710.0,5760453858.0,2.5,11.47,35.84,18.96
002451,摩恩电气,9.93,0.2,0.02,67961.0,67358685.23,1.82,1.55,183.78,0.88,9.98,9.8,9.93,9.91,4375853100.0,4360749570.0,5.67,-3.12,-1.97,327.97
002449,国星光电,8.16,-0.85,-0.07,69100.0,56257216.78,1.34,1.12,-37.58,0.91,8.2,8.09,8.16,8.23,5046773699.0,5046773699.0,1.34,-4.0,-3.55,-79.77
002448,中原内配,16.16,0.12,0.02,185428.0,294076175.53,3.84,3.19,11.99,1.13,16.23,15.61,16.0,16.14,9508699879.0,9381033649.0,2.42,22.24,24.98,19.15
002446,盛路通信,10.68,1.42,0.15,295724.0,315156478.12,3.7,3.49,97.73,1.5,10.85,10.46,10.52,10.53,9776639932.0,9054261521.0,3.84,-11.22,1.81,140.55
002445,中南文化,3.95,1.28,0.05,1879479.0,736246180.24,4.36,7.94,89.12,1.58,4.02,3.85,3.94,3.9,9387599747.0,9346908593.0,4.11,42.09,51.92,179.01
002444,巨星科技,36.1,2.38,0.84,140303.0,504251972.72,4.68,1.22,20.92,1.29,36.55,34.9,35.13,35.26,43120662370.0,41396917911.0,2.25,4.79,6.11,16.82
002443,金洲管道,11.74,2.09,0.24,283972.0,333124856.64,9.22,5.47,38.28,1.32,12.3,11.24,11.34,11.5,6111087005.0,6093741120.0,1.74,35.1,43.87,40.36
002442,龙星科技,6.39,-0.47,-0.03,116249.0,74413930.0,3.43,2.36,91.02,0.8,6.52,6.3,6.37,6.42,3216022474.0,3148115822.0,1.75,-2.74,2.9,162.27
