代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率,60日涨跌幅,年初至今涨跌幅,市盈率TTM
920992,中科美菱,11.25,0.36,0.04,11493.0,13008355.4,3.75,2.34,44.96,1.15,11.5,11.08,11.25,11.21,1088223008.0,551444434.0,1.75,-25.0,-34.97,54.15
920985,海泰新能,4.52,0.89,0.04,26503.0,12044773.76,4.46,1.21,-9.07,0.94,4.66,4.46,4.5,4.48,1398832424.0,991316723.0,2.22,-30.14,-37.13,-2.03
920982,锦波生物,124.23,0.67,0.83,7647.0,95014098.29,3.57,1.38,25.44,0.56,125.9,121.5,121.55,123.4,14294567188.0,6890430118.0,7.23,-28.85,-46.73,22.91
920981,晶赛科技,27.88,-1.41,-0.4,17641.0,50290934.56,5.16,4.59,134.02,0.84,29.18,27.72,28.18,28.28,2131927840.0,1072339992.0,4.16,-21.22,-12.77,168.7
920978,开特股份,18.74,0.32,0.06,11470.0,21517275.25,2.62,1.14,25.77,0.82,18.98,18.49,18.5,18.68,3373733490.0,1891520926.0,4.34,-28.47,-48.91,20.35
920976,视声智能,15.4,1.05,0.16,6199.0,9569740.3,4.86,1.4,21.25,0.54,15.74,15.0,15.1,15.24,1092682360.0,679441840.0,4.03,-47.04,-41.58,16.82
920974,凯大催化,5.8,1.05,0.06,15156.0,8750953.14,2.96,1.18,18.1,1.24,5.83,5.66,5.69,5.74,950040000.0,745020405.0,1.46,-29.27,-26.49,28.98
920971,天马新材,24.27,0.29,0.07,46563.0,117081651.05,10.83,5.43,119.46,1.44,26.61,23.99,24.08,24.2,2523303409.0,2080007005.0,5.59,-15.32,-20.43,59.41
920970,大禹生物,5.81,1.4,0.08,21090.0,12201732.35,3.49,3.01,-9.24,0.58,5.85,5.65,5.69,5.73,643752648.0,407114253.0,2.62,-18.51,-24.45,-14.62
920964,润农节水,4.26,1.91,0.08,16742.0,7127162.32,3.35,1.13,93.51,0.83,4.3,4.16,4.16,4.18,1112746080.0,629190230.0,1.27,-29.7,-36.32,-59.01
920961,创远信科,18.09,-2.11,-0.39,15913.0,28975146.21,3.3,1.53,-73.04,0.82,18.57,17.96,18.22,18.48,2583984790.0,1880461832.0,3.46,-8.03,-36.15,-234.46
920957,汉维科技,9.1,2.25,0.2,28130.0,25612050.42,6.52,6.59,54.8,0.66,9.28,8.7,8.89,8.9,976442139.0,388613079.0,2.53,-20.87,-26.79,114.57
920953,国子软件,21.37,6.64,1.33,39343.0,85581056.67,15.17,6.57,542.43,1.75,22.84,19.8,19.8,20.04,2737838706.0,1279758542.0,4.67,-25.64,-40.01,45.03
920950,迅安科技,12.1,1.26,0.15,3732.0,4526102.44,5.52,1.04,22.32,1.51,12.4,11.74,11.84,11.95,887172000.0,432213210.0,2.93,-21.48,-31.6,22.21
920946,森萱医药,9.01,-0.77,-0.07,15362.0,13902949.11,2.31,0.36,20.44,0.55,9.16,8.95,8.99,9.08,3846534243.0,3845351681.0,3.09,-7.3,-13.28,25.73
920943,优机股份,13.38,-3.11,-0.43,27881.0,37066250.16,6.59,5.38,-42.87,0.74,13.76,12.85,13.67,13.81,1358356038.0,693188806.0,2.15,-31.03,-49.03,27.55
920942,恒立钻具,16.02,1.91,0.3,6072.0,9695119.08,4.26,1.47,49.55,0.86,16.17,15.5,15.68,15.72,979856892.0,663468524.0,1.98,-34.26,-47.6,79.99
920932,科达自控,10.88,1.4,0.15,12915.0,14040459.34,4.47,1.48,-52.51,0.88,11.02,10.54,10.57,10.73,1146211808.0,948666107.0,1.9,-23.76,-49.49,-12.82
920931,无锡鼎邦,9.32,1.41,0.13,3738.0,3468889.51,5.01,1.3,79.87,0.97,9.45,8.99,9.1,9.19,875427600.0,268190456.0,2.24,-20.55,-34.55,175.97
920926,鸿智科技,10.57,6.45,0.64,23463.0,24363494.23,9.97,2.93,527.29,1.79,10.76,9.77,9.9,9.93,933983560.0,847527746.0,3.67,-23.07,-37.42,44.64
920925,锦好医疗,11.94,-3.24,-0.4,30259.0,37259329.36,6.81,5.47,-43.95,0.55,12.73,11.89,12.23,12.34,1177052877.0,660222933.0,3.24,-26.61,-62.45,222.0
920924,广脉科技,13.16,0.61,0.08,11875.0,15710330.84,4.28,1.82,88.83,0.96,13.36,12.8,12.89,13.08,1412021940.0,860297376.0,4.4,-34.88,-37.06,98.57
920914,远航精密,18.15,3.13,0.55,19818.0,35552447.15,6.02,1.99,24.83,0.95,18.38,17.32,17.6,17.6,1809246450.0,1807817138.0,1.85,-30.22,-30.86,32.69
920906,舜宇精工,16.01,1.65,0.26,4166.0,6629297.05,3.3,1.25,603.53,0.76,16.1,15.58,15.77,15.75,1040169700.0,534025125.0,1.83,-30.42,-45.0,33.05
920896,旺成科技,11.44,1.15,0.13,5538.0,6406565.14,4.42,1.25,20.71,1.07,11.8,11.3,11.32,11.31,1158005306.0,507956706.0,2.7,-30.75,-45.42,18.83
920895,花溪科技,11.25,0.99,0.11,2904.0,3267267.32,3.32,1.01,-67.2,0.56,11.39,11.02,11.04,11.14,635895000.0,323290125.0,3.32,-30.04,-45.01,-179.55
920892,广咨国际,10.18,0.69,0.07,3898.0,3983547.94,3.46,0.26,59.03,0.71,10.35,10.0,10.0,10.11,1734176774.0,1535678908.0,5.03,-30.56,-32.63,16.01
920885,星辰科技,10.98,-2.75,-0.31,20597.0,23000871.09,3.9,2.33,792.95,0.81,11.37,10.93,11.11,11.29,1875602502.0,971765092.0,4.67,-39.64,-53.08,66.89
920879,基康技术,12.17,-0.81,-0.1,7823.0,9611271.8,2.36,0.52,37.7,0.82,12.4,12.11,12.17,12.27,2444573466.0,1829281450.0,3.91,-27.99,-31.28,30.84
920876,慧为智能,15.4,0.85,0.13,11796.0,18202647.65,4.58,3.01,-95.58,0.78,15.65,14.95,15.12,15.27,988382149.0,604423035.0,3.94,-30.63,-39.06,550.85
920873,中设咨询,6.61,2.48,0.16,18818.0,12386746.4,4.5,1.57,-25.74,1.15,6.69,6.4,6.46,6.45,1013888083.0,791920271.0,4.08,-29.9,-14.6,-16.6
920871,派特尔,10.12,0.9,0.09,3677.0,3725607.85,3.69,0.78,49.89,0.61,10.28,9.91,10.0,10.03,858755279.0,475782581.0,3.41,-19.55,-32.53,78.48
920870,恒进感应,10.7,2.88,0.3,8519.0,9086973.36,5.0,1.29,58.31,1.02,10.8,10.28,10.29,10.4,1433800000.0,706231030.0,3.22,-25.44,-38.65,78.12
920866,绿亨科技,5.52,-0.36,-0.02,20102.0,11158711.63,2.17,1.76,32.33,1.26,5.6,5.48,5.5,5.54,994736568.0,629899890.0,1.31,-26.01,-31.51,27.77
920857,泓禧科技,17.25,2.19,0.37,25105.0,43328994.06,9.89,3.39,-17.42,1.01,18.17,16.5,16.69,16.88,1276623372.0,1276623372.0,3.75,-7.11,-51.26,-30.21
