date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-04-08,5.43,6.09,5.42,6.09,39031095.0,231341738.0,311214882.0,0.1254152589014043
2025-04-09,6.16,6.52,5.61,6.34,50359640.0,307926928.0,311214882.0,0.1618162977180506
2025-04-10,6.3,6.89,6.21,6.6,57641104.0,379133302.0,311214882.0,0.1852131994124882
2025-04-11,6.62,7.13,6.6,6.78,63781736.0,433913934.0,311214882.0,0.2049443638109825
2025-04-14,6.68,7.21,6.6,7.04,60492214.0,421663411.0,311214882.0,0.1943744258348159
2025-04-15,6.88,7.04,6.69,6.73,42130414.0,287276310.0,311214882.0,0.1353740339448163
2025-04-16,6.71,6.82,6.46,6.66,36981371.0,245555595.0,311214882.0,0.1188290571528645
2025-04-17,6.67,6.97,6.55,6.74,41748372.0,283828102.0,311214882.0,0.1341464512612864
2025-04-18,6.76,6.92,6.53,6.86,43353760.0,293156033.0,311214882.0,0.139304906376553
2025-04-21,6.79,7.1,6.68,6.95,46342276.0,322824314.0,311214882.0,0.1489076476747664
2025-04-22,6.92,7.65,6.9,7.33,74367773.0,548616274.0,311214882.0,0.2389595655647341
2025-04-23,7.15,7.15,6.68,6.7,57539046.0,392852993.0,311214882.0,0.1848852652232742
2025-04-24,6.75,6.82,6.29,6.46,39727471.0,259639138.0,311214882.0,0.1276528639784006
2025-04-25,6.35,6.47,6.2,6.35,21208487.0,134523882.0,311214882.0,0.0681474062670306
2025-04-28,6.4,6.41,6.08,6.1,19443600.0,120548985.0,311214882.0,0.0624764467401015
2025-04-29,6.13,6.31,6.05,6.22,21451000.0,131998857.0,311214882.0,0.068926652421461
2025-04-30,6.21,6.66,6.21,6.3,23012400.0,146387128.0,311214882.0,0.073943764681536
2025-05-06,6.33,6.41,6.24,6.4,20873915.0,132612858.0,311214882.0,0.067072354849663
2025-05-07,6.47,6.57,6.4,6.51,25587300.0,165856042.0,311214882.0,0.0822174692789916
2025-05-08,6.48,6.75,6.39,6.67,34017556.0,224751626.0,311214882.0,0.1093056854524071
2025-05-09,6.59,6.61,6.33,6.33,26155856.0,167818607.0,311214882.0,0.084044361349018
2025-05-12,6.4,6.43,6.34,6.38,15336400.0,97839294.0,311214882.0,0.0492791344084888
2025-05-13,6.41,6.46,6.3,6.31,14337000.0,91565332.0,311214882.0,0.0460678483877901
2025-05-14,6.27,6.4,6.24,6.39,15344100.0,96845482.0,311214882.0,0.0493038761558966
2025-05-15,6.34,6.42,6.3,6.37,13871128.0,88334569.0,311214882.0,0.0445709019789098
2025-05-16,6.35,6.39,6.27,6.38,11505300.0,72834535.0,311214882.0,0.0369689904482138
