date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-05-26,35.12,36.18,35.12,36.07,779100.0,27905607.0,72009036.0,0.0108194754891594
2025-05-27,37.01,37.01,35.57,35.78,751400.0,26973076.0,72009036.0,0.0104348015435174
2025-05-28,35.57,36.43,35.14,35.7,1003273.0,35854369.0,72009036.0,0.0139325986810877
2025-05-29,35.7,37.6,35.32,37.4,1576227.0,58104655.0,72009036.0,0.0218892945601993
2025-05-30,36.91,38.25,36.83,37.0,1277400.0,47780789.0,72009036.0,0.0177394403669006
2025-06-03,36.69,37.76,36.59,36.68,845700.0,31331179.0,72009036.0,0.0117443594162265
2025-06-04,37.35,37.7,36.69,37.11,1024700.0,38153718.0,72009036.0,0.0142301585595452
2025-06-05,36.91,39.96,36.91,39.2,3144032.0,121116332.0,72009036.0,0.0436616315763482
2025-06-06,39.65,41.95,39.02,39.29,4700554.0,189025685.0,72009036.0,0.0652772799235918
2025-06-09,38.96,39.43,38.2,38.95,2584586.0,100314327.0,72009036.0,0.0358925232661078
2025-06-10,38.89,39.16,37.43,38.44,2340573.0,89277204.0,72009036.0,0.0325038790965067
2025-06-11,38.75,39.0,38.46,38.58,1853273.0,71775320.0,72009036.0,0.0257366728253382
2025-06-12,38.45,38.94,38.18,38.59,1182700.0,45700378.0,72009036.0,0.0164243276357706
2025-06-13,38.4,39.65,37.85,38.1,1979400.0,76559333.0,72009036.0,0.0274882168954462
2025-06-16,37.81,40.01,37.81,39.62,2495935.0,98156169.0,72009036.0,0.0346614138814467
2025-06-17,39.49,39.76,38.83,39.48,1691527.0,66428974.0,72009036.0,0.0234904825000018
2025-06-18,39.89,44.59,39.89,41.12,4716573.0,196486822.0,72009036.0,0.0654997381161997
2025-06-19,41.85,41.95,39.02,39.08,3336473.0,133502963.0,72009036.0,0.0463340878497526
2025-06-20,38.79,39.19,38.01,38.42,1825200.0,70469581.0,72009036.0,0.0253468189742187
2025-06-23,38.0,39.55,38.0,39.19,1461858.0,56797205.0,72009036.0,0.0203010355533713
2025-06-24,39.19,41.2,39.03,40.47,2447400.0,98801243.0,72009036.0,0.03398740124781
2025-06-25,40.01,40.83,39.88,40.83,2036800.0,82268869.0,72009036.0,0.0282853390788344
2025-06-26,41.06,42.5,40.51,41.74,3272805.0,135986360.0,72009036.0,0.0454499210349101
2025-06-27,41.4,42.1,40.94,41.74,2337751.0,97171322.0,72009036.0,0.0324646895703478
