date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-03-27,25.76,26.25,25.5,26.12,11629000.0,301753428.0,811720074.0,0.014326367392510734
2025-03-28,26.13,26.23,25.24,25.41,10293333.0,262801159.0,811720074.0,0.012680890037961535
2025-03-31,25.25,25.25,24.16,24.42,15663944.0,384141929.0,811720074.0,0.01929722388509022
2025-04-01,24.5,24.79,24.21,24.75,6777850.0,166546188.0,811720074.0,0.00834998445535548
2025-04-02,24.72,25.25,24.67,25.0,5812652.0,145433253.0,811720074.0,0.00716090704934322
2025-04-03,24.8,25.13,24.48,24.96,7340600.0,182071823.0,811720074.0,0.009043265326465242
2025-04-07,23.5,24.09,22.46,22.65,16718135.0,389080728.0,811720074.0,0.020595936376953516
2025-04-08,23.0,23.73,22.85,23.45,15657447.0,366057133.0,811720074.0,0.019289219894295728
2025-04-09,23.38,23.79,22.57,23.69,13071015.0,302941041.0,811720074.0,0.016102860356266117
2025-04-10,23.91,24.56,23.77,24.21,10695600.0,259505736.0,811720074.0,0.01317646358958963
2025-04-11,24.05,25.81,24.05,25.74,19666602.0,499007767.0,811720074.0,0.024228305582103912
2025-04-14,25.68,26.45,25.48,26.08,15588657.0,406754927.0,811720074.0,0.019204473930504274
2025-04-15,26.01,26.2,25.62,25.79,6774426.0,175267582.0,811720074.0,0.008345766252418688
2025-04-16,25.68,27.23,25.5,26.82,18801774.0,497039322.0,811720074.0,0.023162879177483543
2025-04-17,26.75,26.89,26.35,26.48,8560725.0,227866312.0,811720074.0,0.010546400507029964
2025-04-18,26.45,26.69,26.0,26.22,6181219.0,161891333.0,811720074.0,0.0076149638255712275
2025-04-21,26.07,27.05,26.07,26.87,7961490.0,213572966.0,811720074.0,0.009808171874778596
2025-04-22,26.89,27.59,26.73,27.28,10570828.0,288469993.0,811720074.0,0.013022750500562341
2025-04-23,27.14,27.24,26.51,26.95,10822213.0,290112913.0,811720074.0,0.01333244470186652
2025-04-24,28.31,28.57,27.65,28.13,22176380.0,623338937.0,811720074.0,0.02732023108744752
2025-04-25,28.28,29.3,27.91,29.22,18479025.0,531521923.0,811720074.0,0.02276526796847456
2025-04-28,29.16,29.93,29.0,29.8,13980795.0,413609421.0,811720074.0,0.017223665457853393
2025-04-29,29.5,29.69,29.2,29.45,9265850.0,272549466.0,811720074.0,0.01141508051456665
2025-04-30,29.34,29.88,28.72,28.78,13372900.0,389156041.0,811720074.0,0.016474768123080814
2025-05-06,28.92,29.24,28.52,28.66,13830018.0,397867668.0,811720074.0,0.01703791546246767
2025-05-07,28.73,29.36,28.66,29.0,10082540.0,291829928.0,811720074.0,0.012421203223809888
2025-05-08,28.93,28.97,27.68,27.7,21348090.0,599834762.0,811720074.0,0.026299817737413748
2025-05-09,27.7,28.54,27.7,28.25,14142843.0,400027595.0,811720074.0,0.01742330078188999
