日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-18,99.0,25.76,25.41,25.81,25.25,183625.0,471759919.0,2.21,0.32,0.08,2.37
2025-03-19,99.0,25.44,25.07,25.44,24.96,143752.0,364024358.1,1.89,-1.34,-0.34,1.85
2025-03-20,99.0,25.21,25.2,25.6,24.85,191505.0,487735674.26,2.99,0.52,0.13,2.47
2025-03-21,99.0,24.97,24.52,25.18,24.51,181943.0,453912353.74,2.66,-2.7,-0.68,2.35
2025-03-24,99.0,24.52,24.16,24.61,23.64,185268.0,448717425.01,3.96,-1.47,-0.36,2.39
2025-03-25,99.0,24.39,23.94,24.61,23.83,135214.0,329676094.85,3.23,-0.91,-0.22,1.74
2025-03-26,99.0,23.94,24.06,24.33,23.83,115509.0,280459588.84,2.09,0.5,0.12,1.49
2025-03-27,99.0,23.98,23.98,24.18,23.63,110981.0,267847990.64,2.29,-0.33,-0.08,1.43
2025-03-28,99.0,24.01,23.47,24.06,23.47,124697.0,297419815.24,2.46,-2.13,-0.51,1.61
2025-03-31,99.0,23.81,23.63,24.25,23.42,178593.0,426735497.44,3.54,0.68,0.16,2.3
2025-04-01,99.0,23.62,23.41,23.96,23.41,124261.0,295980367.0,2.33,-0.93,-0.22,1.6
2025-04-02,99.0,23.4,23.31,23.49,23.15,94069.0,221252100.76,1.45,-0.43,-0.1,1.21
2025-04-03,99.0,23.08,23.02,23.47,22.97,105807.0,247062798.85,2.15,-1.24,-0.29,1.36
2025-04-07,99.0,21.01,20.7,21.77,20.7,187817.0,396207293.1,4.65,-10.08,-2.32,2.42
2025-04-08,99.0,19.86,20.0,20.68,19.33,329719.0,660910658.04,6.52,-3.38,-0.7,4.25
2025-04-09,99.0,19.8,20.84,20.97,18.71,346911.0,704778676.94,11.3,4.2,0.84,4.47
2025-04-10,99.0,21.21,21.02,21.74,21.01,257739.0,554407487.12,3.5,0.86,0.18,3.32
2025-04-11,99.0,20.81,21.37,21.62,20.72,193834.0,416162288.0,4.28,1.67,0.35,2.5
2025-04-14,99.0,21.64,21.51,21.75,21.43,150818.0,328609462.0,1.5,0.66,0.14,1.94
2025-04-15,99.0,21.52,21.39,21.59,21.18,107864.0,232514437.0,1.91,-0.56,-0.12,1.39
2025-04-16,99.0,21.31,21.1,21.55,20.88,106670.0,228160710.52,3.13,-1.36,-0.29,1.38
2025-04-17,99.0,20.97,21.09,21.32,20.96,92775.0,198203024.31,1.71,-0.05,-0.01,1.2
