date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-03-18,4.91,4.98,4.84,4.88,9499300.0,46561114.0,598276634.0,0.0158777720207605
2025-03-19,4.85,4.91,4.79,4.82,9667000.0,46761450.0,598276634.0,0.0161580771345985
2025-03-20,4.79,4.82,4.73,4.74,9388400.0,44788117.0,598276634.0,0.0156924062656941
2025-03-21,4.73,4.73,4.61,4.63,10259900.0,47877505.0,598276634.0,0.0171490902651565
2025-03-24,4.62,4.69,4.44,4.53,10959102.0,49847852.0,598276634.0,0.0183177837428295
2025-03-25,4.53,4.65,4.45,4.57,13369200.0,60577227.0,598276634.0,0.0223461844241104
2025-03-26,4.55,4.62,4.5,4.59,8579200.0,39291291.0,598276634.0,0.0143398546967154
2025-03-27,4.6,4.62,4.49,4.56,7179900.0,32686520.0,598276634.0,0.012000970106414
2025-03-28,4.55,4.59,4.51,4.52,6636300.0,30165920.0,598276634.0,0.0110923603277476
2025-03-31,4.48,4.5,4.35,4.42,9217471.0,40634193.0,598276634.0,0.0154067039830273
2025-04-01,4.42,4.52,4.42,4.49,7427000.0,33257770.0,598276634.0,0.0124139897464222
2025-04-02,4.47,4.53,4.45,4.47,5281000.0,23699633.0,598276634.0,0.0088270203111425
2025-04-03,4.43,4.53,4.41,4.51,6742200.0,30292852.0,598276634.0,0.011269368744894
2025-04-07,4.35,4.36,4.06,4.06,10243471.0,42285913.0,598276634.0,0.0171216297242188
2025-04-08,3.96,4.09,3.87,3.99,16458802.0,65401237.0,598276634.0,0.0275103540145945
2025-04-09,3.92,4.19,3.7,4.17,18629500.0,74204095.0,598276634.0,0.031138605356264
2025-04-10,4.22,4.29,4.2,4.21,10755100.0,45640059.0,598276634.0,0.0179768010127569
2025-04-11,4.17,4.37,4.17,4.29,10373800.0,44408838.0,598276634.0,0.0173394704229749
2025-04-14,4.35,4.47,4.31,4.4,9469701.0,41534279.0,598276634.0,0.0158282982517415
2025-04-15,4.4,4.45,4.32,4.33,6081001.0,26484287.0,598276634.0,0.0101641960498159
2025-04-16,4.35,4.4,4.24,4.35,10871500.0,47032616.0,598276634.0,0.0181713598395353
2025-04-17,4.3,4.53,4.26,4.49,16152000.0,71655541.0,598276634.0,0.0269975444168859
2025-04-18,4.5,4.54,4.4,4.43,10109900.0,45031508.0,598276634.0,0.0168983701275554
2025-04-21,4.43,4.52,4.36,4.48,11169000.0,49996876.0,598276634.0,0.0186686214457775
2025-04-22,4.48,4.7,4.46,4.66,24855700.0,114666488.0,598276634.0,0.0415454968278102
2025-04-23,4.6,4.72,4.53,4.69,20146701.0,93132818.0,598276634.0,0.0336745576461874
2025-04-24,4.66,4.73,4.53,4.55,12446700.0,57354646.0,598276634.0,0.0208042555778636
2025-04-25,4.74,4.89,4.61,4.72,28771800.0,136543175.0,598276634.0,0.0480911310335412
2025-04-28,4.67,4.76,4.58,4.6,20631700.0,95865478.0,598276634.0,0.0344852177529634
2025-04-29,4.6,4.67,4.56,4.6,9169800.0,42317661.0,598276634.0,0.0153270234518301
2025-04-30,4.61,4.8,4.61,4.73,14423301.0,68322554.0,598276634.0,0.02410808007588
2025-05-06,4.79,4.88,4.75,4.84,13525500.0,65354078.0,598276634.0,0.0226074348074907
2025-05-07,4.86,4.89,4.73,4.78,12121500.0,58072736.0,598276634.0,0.0202606943195444
2025-05-08,4.76,4.83,4.75,4.81,8493300.0,40796360.0,598276634.0,0.0141962756312492
2025-05-09,4.82,4.84,4.75,4.76,7565600.0,36171117.0,598276634.0,0.0126456551535656
2025-05-12,4.81,4.81,4.73,4.75,6687500.0,31770500.0,598276634.0,0.0111779394680488
2025-05-13,4.76,4.8,4.7,4.72,7068100.0,33517345.0,598276634.0,0.011814100030522
2025-05-14,4.72,4.76,4.66,4.7,9342500.0,43863943.0,598276634.0,0.0156156859035882
2025-05-15,4.7,4.71,4.62,4.67,7868200.0,36662724.0,598276634.0,0.0131514412444862
2025-05-16,4.66,4.71,4.64,4.7,6256300.0,29360025.0,598276634.0,0.0104572026458248
2025-05-19,4.71,4.87,4.7,4.82,10763602.0,51667341.0,598276634.0,0.0179910118301561
