date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-05-14,31.51,31.71,31.17,31.33,6216690.0,197596968.0,388694078.0,0.015993786249555365
2025-05-15,31.25,31.34,30.74,30.75,4494630.0,141085945.0,388694078.0,0.011563412602339673
2025-05-16,30.66,30.99,30.55,30.58,3611106.0,112480576.0,388694078.0,0.009290355074563291
2025-05-19,30.62,30.76,30.32,30.76,3581422.0,111041968.0,388694078.0,0.009213986532617046
2025-05-20,30.79,31.16,30.4,31.0,4766794.0,149027513.0,388694078.0,0.012263613648366416
2025-05-21,31.0,31.75,30.92,31.45,8274163.0,264107519.0,388694078.0,0.02128708274274248
2025-05-22,31.36,32.42,31.36,31.77,9672165.0,313124614.0,388694078.0,0.02488374674954528
2025-05-23,31.56,32.29,30.83,30.87,8719151.0,279555239.0,388694078.0,0.022431911092815775
2025-05-26,30.68,30.96,30.25,30.36,6021550.0,186635695.0,388694078.0,0.015491746185029348
2025-05-27,30.36,30.67,30.21,30.43,3697279.0,113985259.0,388694078.0,0.009512053847138881
2025-05-28,30.33,30.42,29.96,29.99,3819069.0,116614989.0,388694078.0,0.009825385093724015
2025-05-29,29.88,30.12,29.78,29.94,7694975.0,233695456.0,388694078.0,0.019796995723716685
2025-05-30,29.97,30.33,29.76,30.21,6677161.0,203711401.0,388694078.0,0.01717844798242591
2025-06-03,30.04,30.14,29.73,29.99,5185461.0,157201204.0,388694078.0,0.013340725504956111
2025-06-04,30.04,31.06,29.97,30.92,9258103.0,287904725.0,388694078.0,0.023818482256372325
2025-06-05,30.74,30.85,30.48,30.65,4179710.0,129825494.0,388694078.0,0.010753212453110747
2025-06-06,30.66,31.11,30.36,30.45,6418020.0,199961521.0,388694078.0,0.016511751434504746
2025-06-09,30.57,30.94,30.41,30.61,6726319.0,209145529.0,388694078.0,0.017304917622130586
2025-06-10,30.79,32.13,30.64,30.74,12610134.0,400941451.0,388694078.0,0.032442310582359836
2025-06-11,30.76,31.47,30.64,31.04,8293440.0,262155571.0,388694078.0,0.021336677015182104
2025-06-12,30.96,30.99,30.49,30.56,7143517.0,221660582.0,388694078.0,0.018378250156926755
2025-06-13,30.43,30.63,29.7,29.86,10582461.0,321576901.0,388694078.0,0.027225681066332066
2025-06-16,29.78,30.05,29.68,29.88,4284184.0,129865746.0,388694078.0,0.011021994525988121
2025-06-17,29.92,30.32,29.79,29.99,5898326.0,179777624.0,388694078.0,0.015174725661758088
2025-06-18,29.93,29.98,29.44,29.66,5899330.0,177236530.0,388694078.0,0.015177308669981847
2025-06-19,29.58,30.15,29.3,29.4,6636390.0,199558454.0,388694078.0,0.017073555723172092
2025-06-20,29.41,29.95,29.31,29.45,6126078.0,183734429.0,388694078.0,0.01576066718464386
2025-06-23,29.28,29.78,29.25,29.63,5311136.0,159395168.0,388694078.0,0.01366405175846286
2025-06-24,29.64,31.06,29.63,30.83,13583360.0,419751401.0,388694078.0,0.03494614600225528
2025-06-25,30.85,31.3,30.66,31.23,10129270.0,318486889.0,388694078.0,0.02605974871580112
2025-06-26,31.12,31.86,31.01,31.09,10089088.0,321808337.0,388694078.0,0.025956371787069006
2025-06-27,31.4,31.85,31.15,31.21,10272678.0,327857281.0,388694078.0,0.02642869696615239
2025-06-30,31.27,31.91,31.17,31.31,7655461.0,243569795.0,388730641.00000006,0.01969348487761735
2025-07-01,31.17,31.26,30.64,30.95,7777515.0,243223920.0,388730641.00000006,0.02000746578657276
2025-07-02,30.95,33.0,30.94,32.85,23428167.0,761897605.0,388730641.00000006,0.060268382599662364
2025-07-03,32.93,33.72,32.12,33.47,21618109.0,726050592.0,388730641.00000006,0.05561205297423415
2025-07-04,33.04,33.27,32.24,32.29,10561414.0,348592343.0,388730641.00000006,0.027168977399957515
2025-07-07,32.15,32.33,31.9,32.02,6648642.0,216080644.0,388730641.00000006,0.017103467796869654
2025-07-08,32.08,34.29,32.08,33.52,18049761.0,610198241.0,388730641.00000006,0.04643256562839356
2025-07-09,33.54,33.86,33.19,33.57,10396864.0,353480333.0,388730641.00000006,0.02674567657762795
2025-07-10,33.46,33.76,33.0,33.44,9087864.0,307677046.0,388730641.00000006,0.023378306316738224
2025-07-11,33.44,34.11,33.23,33.3,11687803.0,398101031.0,388730641.00000006,0.03006658536083858
2025-07-14,34.12,35.15,33.52,33.54,22064863.0,767353162.0,388730641.00000006,0.056761316636215454
2025-07-15,33.04,33.38,32.55,33.07,14625493.0,488698433.0,388730641.00000006,0.037623720534034254
2025-07-16,32.91,33.05,32.35,32.47,9032648.0,298887988.0,388730641.00000006,0.023236264516642513
2025-07-17,32.52,34.14,32.41,33.52,15627574.0,525706164.0,388730641.00000006,0.04020154922647324
2025-07-18,33.56,34.37,33.21,33.66,15032806.0,513778040.0,388730641.00000006,0.038671523194900394
2025-07-21,34.01,34.58,33.43,34.12,13806593.0,475840350.0,388730641.00000006,0.035517120452565505
2025-07-22,34.12,35.71,34.01,35.31,23230069.0,825113914.0,388730641.00000006,0.05975878037358006
2025-07-23,35.6,35.99,34.96,35.14,22629777.0,815777815.0,388730641.00000006,0.05821454398805675
2025-07-24,34.71,38.65,34.71,38.23,39082309.0,1464724383.0,388730641.00000006,0.10053827735179742
2025-07-25,38.28,38.95,37.04,37.29,27105379.0,1037669605.0,388730641.00000006,0.06972791990431235
2025-07-28,36.41,36.74,35.67,35.85,20997755.0,766837899.0,388730641.00000006,0.05401620758781399
2025-07-29,35.62,36.34,35.6,36.07,11665755.0,425316618.0,388730641.00000006,0.03000986742385455
2025-07-30,36.26,36.58,35.54,35.81,13169384.0,482507129.0,388730641.00000006,0.03387791599376391
2025-07-31,35.36,35.78,34.33,34.52,14811901.0,522656313.0,388730641.00000006,0.03810325052302733
2025-08-01,34.52,35.25,34.32,35.04,8797760.0,312068259.0,388730641.00000006,0.02263202092165407
2025-08-04,35.02,35.07,34.48,34.75,6969656.0,245212408.0,388730641.00000006,0.017929268405677337
2025-08-05,34.85,35.11,34.69,35.01,6469657.0,229095406.0,388730641.00000006,0.01664303329255694
2025-08-06,34.99,35.09,34.74,35.07,6352173.0,224856936.0,388730641.00000006,0.016340808596047873
2025-08-07,35.19,35.68,34.54,35.64,12110420.0,432634214.0,388730641.00000006,0.031153757184785438
2025-08-08,35.5,36.17,35.3,35.91,10337589.0,375431890.0,388730641.00000006,0.026593193100000568
2025-08-11,38.45,38.45,36.48,36.92,24079807.0,907378075.0,388730641.00000006,0.061944710450545615
2025-08-12,36.52,36.57,35.66,36.02,14977597.0,546515693.0,388730641.00000006,0.03852949940213228
2025-08-13,35.78,36.27,35.57,35.9,10063590.0,365782135.0,388730641.00000006,0.02588833742076946
2025-08-14,35.9,35.96,34.51,34.57,15268452.0,542867663.0,388730641.00000006,0.03927771672622019
2025-08-15,34.51,35.6,34.41,35.17,9834189.0,349575352.0,388730641.00000006,0.025298208998142748
2025-08-18,35.82,35.94,35.02,35.15,12516443.0,449214703.0,388730641.00000006,0.03219824135242274
2025-08-19,34.91,35.15,34.65,34.76,9772574.0,345460937.0,388730641.00000006,0.025139705928146783
2025-08-20,34.53,34.8,33.82,34.42,13281324.0,461470440.0,388730641.00000006,0.0341658788868151
2025-08-21,34.25,34.65,34.16,34.49,10951414.0,381972115.0,388730641.00000006,0.028172242794722215
2025-08-22,34.41,34.52,34.13,34.43,9896191.0,344507921.0,388730641.00000006,0.025457707616107366
2025-08-25,34.61,35.38,34.61,35.12,14811812.0,524944326.0,388730641.00000006,0.03810302157271929
2025-08-26,35.0,35.67,34.61,35.29,12987600.0,465431091.0,388730641.00000006,0.03341028113088723
2025-08-27,35.34,35.53,34.38,34.39,13457701.0,477583567.0,388730641.00000006,0.03461960437535974
2025-08-28,34.02,34.64,33.43,34.18,11073344.0,381488272.0,388730641.00000006,0.0284859047167316
2025-08-29,34.12,35.11,34.1,34.66,10730640.0,377105811.0,388730641.00000006,0.027604307117122775
2025-09-01,34.61,34.81,34.19,34.59,8864265.0,309843907.0,388730641.00000006,0.022803103396215166
2025-09-02,34.58,34.76,33.75,33.99,7784940.0,269705114.0,388730641.00000006,0.02002656641620386
2025-09-03,33.99,34.61,33.23,33.36,8011287.0,274992656.0,388730641.00000006,0.02060883849904695
2025-09-04,33.36,34.35,32.84,33.36,10948017.0,373792951.0,388730641.00000006,0.028163504095886277
2025-09-05,33.38,35.91,33.23,35.71,26755501.0,949465160.0,388730641.00000006,0.06882786736639059
2025-09-08,35.96,36.37,35.51,36.32,24106741.0,880943398.0,388730641.00000006,0.06201399750219329
2025-09-09,35.99,36.6,35.67,36.09,17635574.0,646244673.0,388730641.00000006,0.04536707977182585
2025-09-10,35.5,35.79,34.93,35.23,12556611.0,449382938.0,388730641.00000006,0.03230157254313276
2025-09-11,35.77,35.87,34.97,35.18,11676315.0,416922282.0,388730641.00000006,0.030037032763774334
2025-09-12,35.23,35.48,34.7,34.98,12897653.0,457953132.0,388730641.00000006,0.033178894688674666
2025-09-15,34.99,35.81,34.86,35.04,13038230.0,467772730.0,388730641.00000006,0.03354052555893066
2025-09-16,35.07,35.29,33.86,34.39,13904202.0,485120200.0,388730641.00000006,0.035768217201072136
2025-09-17,34.26,34.85,34.0,34.67,7664105.0,267772165.0,388730641.00000006,0.019715721354725928
2025-09-18,34.51,34.51,33.34,33.68,13936294.0,479941847.0,388730641.00000006,0.03585077308068441
2025-09-19,33.7,34.81,33.69,34.12,10645363.0,369366589.0,388730641.00000006,0.027384934134893672
2025-09-22,34.13,34.51,33.34,33.63,7886843.0,269169875.0,388730641.00000006,0.02028870937395439
2025-09-23,33.64,33.68,32.66,33.08,8434834.0,282653093.0,388730641.00000006,0.02169840272508901
2025-09-24,33.05,34.08,32.9,34.04,9391695.0,320075343.0,388730641.00000006,0.02415990408124272
2025-09-25,34.06,34.92,34.05,34.8,13791476.0,484564617.0,388730641.00000006,0.0354782323423792
2025-09-26,34.61,35.05,34.04,34.14,9569390.0,334743841.0,388730641.00000006,0.0246170200923266
2025-09-29,34.49,36.33,34.16,35.77,20756340.0,743466665.0,388730641.00000006,0.05339517344607778
2025-09-30,35.84,38.93,35.5,38.22,34806695.0,1331983708.0,388730641.00000006,0.08953936564007568
2025-10-09,38.78,39.92,38.55,39.7,29861580.0,1190700559.0,388730641.00000006,0.07681817909486584
2025-10-10,39.36,39.69,38.77,39.14,17928932.0,712109409.0,388730641.00000006,0.04612173600176786
2025-10-13,37.47,39.44,37.46,39.21,15196318.0,595293858.0,388730641.00000006,0.03909215378779467
2025-10-14,39.64,39.74,37.33,37.61,17977875.0,700819720.0,388730641.00000006,0.046247640663860085
2025-10-15,38.05,38.25,36.78,37.35,12432753.0,471828107.0,388730641.00000006,0.03198295088860772
2025-10-16,37.28,38.51,37.07,38.04,15105346.0,581646597.0,388730641.00000006,0.038858130558326626
2025-10-17,38.14,39.24,37.33,37.35,12393846.0,477964465.0,388730641.00000006,0.03188286358934077
2025-10-20,37.56,37.85,36.76,37.0,8755390.0,330665851.0,388730641.00000006,0.02252302514017669
2025-10-21,37.27,38.01,36.83,37.08,8961660.0,339060003.0,388730641.00000006,0.023053649634992367
