日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-18,521.0,7.9,8.05,8.21,7.77,496472.0,411860975.53,5.6,2.42,0.19,5.67
2025-03-19,521.0,8.0,8.04,8.1,7.89,372915.0,310697970.98,2.61,-0.12,-0.01,4.26
2025-03-20,521.0,8.04,7.88,8.06,7.87,248991.0,206126066.12,2.36,-1.99,-0.16,2.84
2025-03-21,521.0,7.85,7.85,7.99,7.81,205205.0,168572940.6,2.28,-0.38,-0.03,2.34
2025-03-24,521.0,7.87,7.97,8.04,7.83,332267.0,274816638.01,2.68,1.53,0.12,3.79
2025-03-25,521.0,7.95,7.97,8.12,7.92,291633.0,243192157.38,2.51,0.0,0.0,3.33
2025-03-26,521.0,7.95,8.13,8.18,7.85,437266.0,367251487.06,4.14,2.01,0.16,4.99
2025-03-27,521.0,8.11,8.08,8.32,8.06,536998.0,457961311.03,3.2,-0.62,-0.05,6.13
2025-03-28,521.0,8.08,8.17,8.23,8.05,339085.0,288100895.12,2.23,1.11,0.09,3.87
2025-03-31,521.0,8.13,7.98,8.22,7.89,325219.0,272244473.81,4.04,-2.33,-0.19,3.71
2025-04-01,521.0,7.99,7.91,8.02,7.9,232739.0,192850714.38,1.5,-0.88,-0.07,2.66
2025-04-02,521.0,7.9,7.95,8.05,7.83,175715.0,145423686.87,2.78,0.51,0.04,2.01
2025-04-03,521.0,7.76,7.51,7.77,7.47,517871.0,409408178.53,3.77,-5.53,-0.44,5.91
2025-04-07,521.0,7.07,6.73,7.09,6.73,347744.0,247701876.42,4.79,-10.39,-0.78,3.97
2025-04-08,521.0,6.59,6.55,6.78,6.47,345874.0,239560044.16,4.61,-2.67,-0.18,3.95
2025-04-09,521.0,6.41,6.69,6.7,6.05,310670.0,209662923.94,9.92,2.14,0.14,3.55
2025-04-10,521.0,6.96,7.2,7.37,6.93,559636.0,423549434.44,6.58,7.62,0.51,6.39
2025-04-11,521.0,7.07,7.11,7.26,7.07,235698.0,176118694.78,2.64,-1.25,-0.09,2.69
2025-04-14,521.0,7.18,7.1,7.22,7.07,184672.0,137701079.69,2.11,-0.14,-0.01,2.11
2025-04-15,521.0,7.14,7.5,7.5,7.02,424027.0,324591625.72,6.76,5.63,0.4,4.84
2025-04-16,521.0,7.47,7.4,7.5,7.34,165728.0,128200965.0,2.13,-1.33,-0.1,1.89
2025-04-17,521.0,7.37,7.41,7.61,7.33,174176.0,136162360.04,3.78,0.14,0.01,1.99
2025-04-18,521.0,7.43,7.34,7.46,7.27,173982.0,133141089.63,2.56,-0.94,-0.07,1.99
2025-04-21,521.0,7.34,7.49,7.51,7.28,147213.0,114097735.77,3.13,2.04,0.15,1.68
2025-04-22,521.0,7.58,7.48,7.62,7.47,149838.0,117772643.24,2.0,-0.13,-0.01,1.71
2025-04-23,521.0,7.51,7.42,7.54,7.39,168117.0,130687209.42,2.01,-0.8,-0.06,1.92
2025-04-24,521.0,7.41,7.38,7.56,7.36,152234.0,118120564.4,2.7,-0.54,-0.04,1.74
2025-04-25,521.0,7.43,7.42,7.45,7.4,108241.0,83903906.08,0.68,0.54,0.04,1.24
2025-04-28,521.0,7.39,7.33,7.44,7.23,133055.0,101879777.77,2.83,-1.21,-0.09,1.52
2025-04-29,521.0,7.31,7.32,7.39,7.28,84063.0,64401023.88,1.5,-0.14,-0.01,0.96
2025-04-30,521.0,7.33,7.16,7.36,7.15,195739.0,148120838.41,2.87,-2.19,-0.16,2.24
2025-05-06,521.0,7.18,7.27,7.27,7.16,138419.0,104616129.31,1.54,1.54,0.11,1.58
2025-05-07,521.0,7.34,7.36,7.44,7.31,192490.0,148387365.65,1.79,1.24,0.09,2.2
2025-05-08,521.0,7.38,7.42,7.46,7.32,127053.0,98404667.13,1.9,0.82,0.06,1.45
2025-05-09,521.0,7.51,7.48,7.59,7.4,177522.0,138817313.34,2.56,0.81,0.06,2.03
2025-05-12,521.0,7.48,7.54,7.58,7.48,126394.0,99309237.99,1.34,0.8,0.06,1.44
2025-05-13,521.0,7.62,7.48,7.62,7.46,115325.0,90676249.66,2.12,-0.8,-0.06,1.32
2025-05-14,521.0,7.49,7.45,7.5,7.39,113086.0,87764148.38,1.47,-0.4,-0.03,1.29
2025-05-15,521.0,7.43,7.3,7.44,7.3,111442.0,85503022.25,1.88,-2.01,-0.15,1.27
2025-05-16,521.0,7.28,7.36,7.42,7.26,95521.0,73420225.5,2.19,0.82,0.06,1.09
2025-05-19,521.0,7.36,7.54,7.61,7.34,184931.0,144574292.09,3.67,2.45,0.18,2.11
2025-05-20,521.0,7.52,7.6,7.62,7.48,117052.0,92374659.59,1.86,0.8,0.06,1.34
2025-05-21,521.0,7.57,7.53,7.62,7.5,89089.0,70205992.49,1.58,-0.92,-0.07,1.02
2025-05-22,521.0,7.51,7.4,7.54,7.4,82096.0,63884223.51,1.86,-1.73,-0.13,0.94
2025-05-23,521.0,7.4,7.28,7.44,7.28,104798.0,80702364.57,2.16,-1.62,-0.12,1.2
2025-05-26,521.0,7.28,7.27,7.31,7.21,86286.0,65542644.73,1.37,-0.14,-0.01,0.99
2025-05-27,521.0,7.25,7.11,7.26,7.09,138232.0,103265792.0,2.34,-2.2,-0.16,1.58
2025-05-28,521.0,7.13,7.22,7.26,7.11,120555.0,90659198.9,2.11,1.55,0.11,1.38
2025-05-29,521.0,7.21,7.24,7.29,7.18,83287.0,63144413.0,1.52,0.28,0.02,0.95
2025-05-30,521.0,7.24,7.1,7.24,7.09,104153.0,77755947.48,2.07,-1.93,-0.14,1.19
2025-06-03,521.0,7.06,7.0,7.09,6.97,150832.0,110629814.21,1.69,-1.41,-0.1,1.72
2025-06-04,521.0,7.0,7.05,7.07,6.99,104265.0,76810589.63,1.14,0.71,0.05,1.19
