数据日期,当日收盘价,当日涨跌幅,总市值,流通市值,总股本,流通股本,PE(TTM),PE(静),市净率,PEG值,市现率,市销率
2021-10-27,26.21,69.315245478036,4236831036.1,890579210.84,161649410.0,33978604.0,43.34105104,52.04390037,8.01451236,6.01042153,-136.23982199,2.42375577
2021-10-28,27.04,3.166730255628,4371000046.4,918781452.16,161649410.0,33978604.0,44.71354521,53.69199031,8.26831035,6.20075537,-140.55416966,2.50050958
2021-10-29,24.85,-8.099112426036,4016987838.5,844368309.4,161649410.0,33978604.0,41.09214492,49.34341565,7.5986506,5.69854922,-129.17052944,2.29799049
2021-11-01,24.45,-1.609657947686,3952328074.5,830776867.8,161649410.0,33978604.0,40.43070194,48.54915544,7.47633832,5.60682207,-127.09132574,2.26100071
2021-11-02,25.31,3.517382413088,4091346567.1,859998467.24,161649410.0,33978604.0,41.85280434,50.25681489,7.73930972,5.80403544,-131.56161368,2.34052875
2021-11-03,24.9,-1.619913077835,4025070309.0,846067239.6,161649410.0,33978604.0,41.17482529,49.44269818,7.61393963,5.71001511,-129.4304299,2.30261422
2021-11-04,25.71,3.253012048193,4156006331.1,873589908.84,161649410.0,33978604.0,42.51424732,51.0510751,7.86162201,5.89576259,-133.64081738,2.37751853
2021-11-05,26.35,2.489303772851,4259461953.5,895336215.4,161649410.0,33978604.0,43.57255608,52.32189144,8.05732166,6.04252603,-136.96754328,2.43670219
2021-11-08,29.2,10.815939278937,4720162772.0,992175236.8,161649410.0,33978604.0,48.28533729,57.98099545,8.92879668,6.69608198,-151.7818696,2.70025442
2021-11-09,27.33,-6.404109589041,4417878375.3,928635247.32,161649410.0,33978604.0,45.19309137,54.26782896,8.35698676,6.26725755,-142.06159233,2.52732717
2021-11-10,28.3,3.549213318697,4574678303.0,961594493.2,161649410.0,33978604.0,46.79709059,56.19390998,8.65359404,6.48969589,-147.10366129,2.6170274
2021-11-11,28.43,0.459363957597,4595692726.3,966011711.72,161649410.0,33978604.0,47.01205956,56.45204454,8.69334553,6.51950722,-147.77940249,2.62904908
2021-11-12,31.0,9.039746746395,5011131710.0,1053336724.0,161649410.0,33978604.0,51.26183068,61.5551664,9.47920195,7.10885416,-161.13828622,2.86670846
2021-11-15,31.99,3.193548387097,5171164625.9,1086975541.96,161649410.0,33978604.0,52.89890205,63.52096043,9.78192486,7.33587885,-166.28431536,2.95825818
2021-11-16,29.02,-9.28415129728,4691065878.2,986059088.08,161649410.0,33978604.0,47.98768795,57.62357836,8.87375615,6.65480476,-150.84622794,2.68360902
2021-11-17,32.25,11.130254996554,5213193472.5,1095809979.0,161649410.0,33978604.0,53.32883998,64.03722957,9.86142784,7.3955015,-167.63579776,2.98230155
2021-11-18,31.87,-1.178294573643,5151766696.7,1082898109.48,161649410.0,33978604.0,52.70046916,63.28268236,9.74523117,7.30836071,-165.66055425,2.94716125
2021-11-19,31.7,-0.533417006589,5124286297.0,1077121746.8,161649410.0,33978604.0,52.41935589,62.94512177,9.69324845,7.26937667,-164.77689268,2.93144059
2021-11-22,32.3,1.892744479495,5221275943.0,1097508909.2,161649410.0,33978604.0,53.41152036,64.13651209,9.87671687,7.4069674,-167.89569822,2.98692527
2021-11-23,32.62,0.990712074303,5273003754.2,1108382062.48,161649410.0,33978604.0,53.94067474,64.77192026,9.9745667,7.48034912,-169.55906117,3.0165171
2021-11-24,32.04,-1.778050275904,5179247096.4,1088674472.16,161649410.0,33978604.0,52.98158242,63.62024295,9.79721389,7.34734475,-166.54421582,2.96288191
2021-11-25,32.89,2.652933832709,5316649094.9,1117556285.56,161649410.0,33978604.0,54.38714875,65.3080459,10.05712749,7.54226494,-170.96252367,3.0414852
2021-11-26,30.2,-8.178777743995,4881812182.0,1026153840.8,161649410.0,33978604.0,49.93894473,59.96664598,9.23457739,6.92539986,-156.97987883,2.79272889
2021-11-29,29.05,-3.807947019868,4695915360.5,987078446.2,161649410.0,33978604.0,48.03729617,57.68314787,8.88292957,6.6616843,-151.00216821,2.68638325
2021-11-30,29.0,-0.172117039587,4687832890.0,985379516.0,161649410.0,33978604.0,47.9546158,57.58386535,8.86764054,6.6502184,-150.74226775,2.68175953
2021-12-01,29.14,0.48275862069,4710463807.4,990136520.56,161649410.0,33978604.0,48.18612084,57.86185642,8.91044984,6.68232291,-151.46998904,2.69470596
2021-12-02,27.31,-6.280027453672,4414645387.1,927955675.24,161649410.0,33978604.0,45.16001922,54.22811595,8.35087114,6.26267119,-141.95763215,2.52547768
2021-12-03,27.45,0.512632735262,4437276304.5,932712679.8,161649410.0,33978604.0,45.39152427,54.50610703,8.39368044,6.2947757,-142.68535344,2.53842411
2021-12-06,26.75,-2.550091074681,4324121717.5,908927657.0,161649410.0,33978604.0,44.23399906,53.11615166,8.17963394,6.13425318,-139.04674698,2.47369198
2021-12-07,26.23,-1.943925233645,4240064024.3,891258782.92,161649410.0,33978604.0,43.37412319,52.08361338,8.02062798,6.01500789,-136.34378218,2.42560526
2021-12-08,26.47,0.914982844072,4278859882.7,899413647.88,161649410.0,33978604.0,43.77098897,52.56016951,8.09401535,6.07004418,-137.59130439,2.44779913
2021-12-09,26.69,0.831129580657,4314422752.9,906888940.76,161649410.0,33978604.0,44.13478261,52.99701262,8.1612871,6.12049411,-138.73486642,2.46814351
2021-12-10,26.76,0.262270513301,4325738211.6,909267443.04,161649410.0,33978604.0,44.25053513,53.13600816,8.18269175,6.13654636,-139.09872707,2.47461672
2021-12-13,26.95,0.710014947683,4356451599.5,915723377.8,161649410.0,33978604.0,44.56472054,53.51328176,8.24079009,6.18011676,-140.08634882,2.49218687
2021-12-14,27.63,2.52319109462,4466373198.3,938828828.52,161649410.0,33978604.0,45.6891736,54.86352412,8.44872097,6.33605291,-143.6209951,2.55506951
2021-12-15,27.88,0.904813608397,4506785550.8,947323479.52,161649410.0,33978604.0,46.10257546,55.35993675,8.52516614,6.39338238,-144.92049741,2.57818813
2021-12-16,28.08,0.717360114778,4539115432.8,954119200.32,161649410.0,33978604.0,46.43329695,55.75706686,8.58632229,6.43924596,-145.96009926,2.59668302
2021-12-17,26.95,-4.024216524217,4356451599.5,915723377.8,161649410.0,33978604.0,44.56472054,53.51328176,8.24079009,6.18011676,-140.08634882,2.49218687
2021-12-20,25.85,-4.081632653061,4178637248.5,878346913.4,161649410.0,33978604.0,42.74575236,51.32906618,7.90443131,5.9278671,-134.36853867,2.39046496
2021-12-21,26.24,1.508704061896,4241680518.4,891598568.96,161649410.0,33978604.0,43.39065926,52.10346989,8.02368578,6.01730107,-136.39576227,2.42653
2021-12-22,25.92,-1.219512195122,4189952707.2,880725415.68,161649410.0,33978604.0,42.86150488,51.46806172,7.92583596,5.94391935,-134.73239931,2.39693817
2021-12-23,25.35,-2.199074074074,4097812543.5,861357611.4,161649410.0,33978604.0,41.91894864,50.33624091,7.75154095,5.81320816,-131.76953405,2.34422773
2021-12-24,24.2,-4.536489151874,3911915722.0,822282216.8,161649410.0,33978604.0,40.01730008,48.05274281,7.39989314,5.5494926,-125.79182343,2.23788209
2021-12-27,24.5,1.239669421488,3960410545.0,832475798.0,161649410.0,33978604.0,40.51338231,48.64843796,7.49162735,5.61828796,-127.3512262,2.26562443
2021-12-28,24.57,0.285714285714,3971726003.7,834854300.28,161649410.0,33978604.0,40.62913483,48.7874335,7.513032,5.63434021,-127.71508685,2.27209764
2021-12-29,24.82,1.017501017501,4012138356.2,843348951.28,161649410.0,33978604.0,41.04253669,49.28384613,7.58947718,5.69166968,-129.01458916,2.29521626
2021-12-30,24.68,-0.564061240935,3989507438.8,838591946.72,161649410.0,33978604.0,40.81103165,49.00585506,7.54666788,5.65956518,-128.28686787,2.28226983
2021-12-31,24.87,0.769854132901,4020220826.7,845047881.48,161649410.0,33978604.0,41.12521707,45.71820709,3.81064069,5.70313558,-129.27448962,2.29983998
2022-01-04,24.7,-0.683554483313,3992740427.0,839271518.8,161649410.0,33978604.0,40.8441038,45.40569824,3.78459288,-4.97602485,-128.39082805,2.28411932
2022-01-05,23.88,-3.31983805668,3860187910.8,811409063.52,161649410.0,33978604.0,39.4881457,43.89830259,3.65895053,-4.81082888,-124.12846048,2.20829026
2022-01-06,24.38,2.093802345059,3941012615.8,828398365.52,161649410.0,33978604.0,40.31494942,44.81744627,3.73556172,-4.91155813,-126.7274651,2.25452749
2022-01-07,23.78,-2.461033634126,3844022969.8,808011203.12,161649410.0,33978604.0,39.32278496,43.71447385,3.64362829,-4.79068303,-123.60865956,2.19904281
2022-01-10,24.25,1.976450798991,3919998192.5,823981147.0,161649410.0,33978604.0,40.09998045,44.57846892,3.71564281,-4.88536853,-126.0517239,2.24250581
2022-01-11,24.68,1.773195876289,3989507438.8,838591946.72,161649410.0,33978604.0,40.81103165,45.36893249,3.78152843,-4.97199568,-128.28686787,2.28226983
2022-01-12,24.93,1.012965964344,4029919791.3,847086597.72,161649410.0,33978604.0,41.22443351,45.82850433,3.81983403,-5.0223603,-129.58637017,2.30538845
2022-01-13,24.4,-2.125952667469,3944245604.0,829077937.6,161649410.0,33978604.0,40.34802157,44.85421202,3.73862617,-4.9155873,-126.83142528,2.25637698
2022-01-14,23.99,-1.680327868852,3877969345.9,815146709.96,161649410.0,33978604.0,39.67004252,44.1005142,3.67580499,-4.83298932,-124.7002415,2.21846245
2022-01-17,24.44,1.875781575657,3950711580.4,830437081.76,161649410.0,33978604.0,40.41416587,44.92774352,3.74475506,-4.92364564,-127.03934565,2.26007596
2022-01-18,24.37,-0.286415711948,3939396121.7,828058579.48,161649410.0,33978604.0,40.29841335,44.7990634,3.73402949,-4.90954355,-126.675485,2.25360275
2022-01-19,24.7,1.354123922856,3992740427.0,839271518.8,161649410.0,33978604.0,40.8441038,45.40569824,3.78459288,-4.97602485,-128.39082805,2.28411932
2022-01-20,23.91,-3.198380566802,3865037393.1,812428421.64,161649410.0,33978604.0,39.53775392,43.95345121,3.6635472,-4.81687264,-124.28440076,2.2110645
2022-01-21,22.99,-3.847762442493,3716319935.9,781168105.96,161649410.0,33978604.0,38.01643508,42.26222682,3.5225826,-4.63153082,-119.50223226,2.12598799
2022-01-24,22.73,-1.130926489778,3674291089.3,772333668.92,161649410.0,33978604.0,37.58649714,41.7842721,3.48274478,-4.57915161,-118.15074986,2.10194462
2022-01-25,21.52,-5.323361196656,3478695303.2,731219558.08,161649410.0,33978604.0,35.58563214,39.55994437,3.2973457,-4.33538683,-111.86115869,1.99005052
2022-01-26,21.77,1.161710037175,3519107655.7,739714209.08,161649410.0,33978604.0,35.999034,40.01951622,3.3356513,-4.38575146,-113.160661,2.01316914
2022-01-27,20.46,-6.017455213597,3307346928.6,695202237.84,161649410.0,33978604.0,33.83280825,37.61135975,3.13492997,-4.12184083,-106.3512689,1.89202759
2022-01-28,21.11,3.176930596285,3412419045.1,717288330.44,161649410.0,33978604.0,34.90765309,38.80624655,3.23452452,-4.25278885,-109.7299749,1.95213599
2022-02-07,21.53,1.989578398863,3480311797.3,731559344.12,161649410.0,33978604.0,35.60216821,39.57832725,3.29887792,-4.33740142,-111.91313878,1.99097526
2022-02-08,21.79,1.207617278216,3522340643.9,740393781.16,161649410.0,33978604.0,36.03210615,40.05628197,3.33871574,-4.38978063,-113.26462118,2.01501863
2022-02-09,21.82,0.137677833869,3527190126.2,741413139.28,161649410.0,33978604.0,36.08171437,40.11143059,3.34331242,-4.39582438,-113.42056146,2.01779286
2022-02-10,21.56,-1.191567369386,3485161279.6,732578702.24,161649410.0,33978604.0,35.65177644,39.63347587,3.3034746,-4.34344517,-112.06907906,1.9937495
2022-02-11,20.79,-3.571428571429,3360691233.9,706415177.16,161649410.0,33978604.0,34.37849871,38.21799459,3.18549336,-4.18832213,-108.06661195,1.92254416
2022-02-14,20.97,0.865800865801,3389788127.7,712531325.88,161649410.0,33978604.0,34.67614805,38.54888632,3.21307339,-4.22458466,-109.00225361,1.93918956
2022-02-15,21.24,1.287553648069,3433433468.4,721705548.96,161649410.0,33978604.0,35.12262205,39.04522391,3.25444343,-4.27897845,-110.40571611,1.96415767
2022-02-16,21.64,1.883239171375,3498093232.4,735296990.56,161649410.0,33978604.0,35.78406503,39.78053886,3.31573239,-4.35956185,-112.4849198,2.00114746
2022-02-17,21.45,-0.878003696858,3467379844.5,728841055.8,161649410.0,33978604.0,35.46987962,39.43126426,3.28662013,-4.32128474,-111.49729804,1.98357731
2022-02-18,21.77,1.491841491841,3519107655.7,739714209.08,161649410.0,33978604.0,35.999034,40.01951622,3.3356513,-4.38575146,-113.160661,2.01316914
2022-02-21,21.85,0.367478180983,3532039608.5,742432497.4,161649410.0,33978604.0,36.13132259,40.16657921,3.34790909,-4.40186814,-113.57650174,2.02056709
2022-02-22,22.34,2.242562929062,3611247819.4,759082013.36,161649410.0,33978604.0,36.94159024,41.06734002,3.42298805,-4.5005828,-116.12352626,2.06587958
2022-02-23,22.42,0.358102059087,3624179772.2,761800301.68,161649410.0,33978604.0,37.07387884,41.21440301,3.43524585,-4.51669948,-116.539367,2.07327754
2022-02-24,21.86,-2.49776984835,3533656102.6,742772283.44,161649410.0,33978604.0,36.14785867,40.18496208,3.34944131,-4.40388272,-113.62848183,2.02149184
2022-02-25,22.27,1.875571820677,3599932360.7,756703511.08,161649410.0,33978604.0,36.82583772,40.93865991,3.41226249,-4.48648071,-115.75966561,2.05940637
2022-02-28,22.37,0.449034575662,3616097301.7,760101371.48,161649410.0,33978604.0,36.99119846,41.12248864,3.42758473,-4.50662655,-116.27946654,2.06865382
2022-03-01,22.5,0.581135449262,3637111725.0,764518590.0,161649410.0,33978604.0,37.20616743,41.361466,3.44750364,-4.53281616,-116.95520774,2.0806755
2022-03-02,22.68,0.8,3666208618.8,770634738.72,161649410.0,33978604.0,37.50381677,41.69235773,3.47508367,-4.56907869,-117.8908494,2.0973209
2022-03-03,22.79,0.485008818342,3683990053.9,774372385.16,161649410.0,33978604.0,37.68571359,41.89456934,3.49193813,-4.59123912,-118.46263042,2.10749309
2022-03-04,22.1,-3.027643703379,3572451961.0,750927148.4,161649410.0,33978604.0,36.54472445,40.62615105,3.38621468,-4.45223276,-114.87600405,2.04368571
2022-03-07,21.45,-2.941176470588,3467379844.5,728841055.8,161649410.0,33978604.0,35.46987962,39.43126426,3.28662013,-4.32128474,-111.49729804,1.98357731
2022-03-08,20.56,-4.149184149184,3323511869.6,698600098.24,161649410.0,33978604.0,33.99816899,37.79518849,3.15025221,-4.14198668,-106.87106983,1.90127503
2022-03-09,21.87,6.371595330739,3535272596.7,743112069.48,161649410.0,33978604.0,36.16439474,40.20334496,3.35097353,-4.40589731,-113.68046192,2.02241658
2022-03-10,22.2,1.508916323731,3588616902.0,754325008.8,161649410.0,33978604.0,36.7100852,40.80997979,3.40153692,-4.47237861,-115.39580497,2.05293316
2022-03-11,22.69,2.207207207207,3667825112.9,770974524.76,161649410.0,33978604.0,37.52035284,41.71074061,3.47661589,-4.57109327,-117.94282949,2.09824565
2022-03-14,21.63,-4.671661524901,3496476738.3,734957204.52,161649410.0,33978604.0,35.76752896,39.76215599,3.31420016,-4.35754727,-112.43293971,2.00022271
2022-03-15,20.28,-6.24133148405,3278250034.8,689086089.12,161649410.0,33978604.0,33.53515891,37.28046803,3.10734994,-4.0855783,-105.41562724,1.87538218
2022-03-16,20.24,-0.197238658777,3271784058.4,687726944.96,161649410.0,33978604.0,33.46901461,37.20693653,3.10122105,-4.07751996,-105.20770687,1.8716832
2022-03-17,20.69,2.223320158103,3344526292.9,703017316.76,161649410.0,33978604.0,34.21313796,38.03416585,3.17017112,-4.16817628,-107.54681103,1.91329671
2022-03-18,21.53,4.059932334461,3480311797.3,731559344.12,161649410.0,33978604.0,35.60216821,39.57832725,3.29887792,-4.33740142,-111.91313878,1.99097526
2022-03-21,21.93,1.857872735718,3544971561.3,745150785.72,161649410.0,33978604.0,36.26361119,40.3136422,3.36016688,-4.41798482,-113.99234248,2.02796505
2022-03-22,21.61,-1.459188326493,3493243750.1,734277632.44,161649410.0,33978604.0,35.73445681,39.72539024,3.31113571,-4.3535181,-112.32897952,1.99837322
2022-03-23,22.25,2.961591855622,3596699372.5,756023939.0,161649410.0,33978604.0,36.79276557,40.90189416,3.40919804,-4.48245154,-115.65570543,2.05755688
2022-03-24,21.32,-4.179775280899,3446365421.2,724423837.28,161649410.0,33978604.0,35.25491065,39.1922869,3.26670122,-4.29509513,-110.82155684,1.97155563
2022-03-25,21.12,-0.93808630394,3414035539.2,717628116.48,161649410.0,33978604.0,34.92418916,38.82462942,3.23605675,-4.25480343,-109.781955,1.95306073
2022-03-28,20.27,-4.024621212121,3276633540.7,688746303.08,161649410.0,33978604.0,33.51862284,37.26208515,3.10581772,-4.08356371,-105.36364715,1.87445744
2022-03-29,19.41,-4.24272323631,3137615048.1,659524703.64,161649410.0,33978604.0,32.09652044,35.68115801,2.97404647,-3.91030941,-100.89335921,1.7949294
2022-03-30,19.73,1.648634724369,3189342859.3,670397856.92,161649410.0,33978604.0,32.62567482,36.26940997,3.02307763,-3.97477613,-102.55672216,1.82452122
2022-03-31,19.6,-0.658895083629,3168328436.0,665980638.4,161649410.0,33978604.0,32.41070585,36.03043261,2.9281075,-3.94858652,-101.88098096,1.81249954
2022-04-01,18.95,-3.316326530612,3063256319.5,643894545.8,161649410.0,33978604.0,31.33586101,34.83554581,2.8310019,-3.8176385,-98.50227496,1.75239114
2022-04-06,18.97,0.105540897098,3066489307.7,644574117.88,161649410.0,33978604.0,31.36893316,34.87231156,2.83398976,-3.82166767,-98.60623515,1.75424063
